,Unnamed: 0,latitude,longitude,d50,beach_slope_average,mstr,code,hs_mean,dir,tp,geometry,index_right,ID_Region,Descriptio
2,2,-38.04574537403142,140.79077281891446,0.13584,0.0207106928835819,1.1527223587036133,3.0,2.443827345291703,229.1750071977781,12.52256823720956,POINT (140.79077281891446 -38.04574537403142),5,3,Southern Coasts
5,5,-37.44336014717841,139.95916723326764,0.16586,0.0395543457635688,1.1543360948562622,3.0,2.976242972551434,230.871960075218,12.961769107905,POINT (139.95916723326764 -37.44336014717841),5,3,Southern Coasts
9,9,-40.89047245930358,144.6951542452418,0.17678,0.0403405011890651,1.1603097915649414,3.0,2.7551103879566163,241.7742356962478,12.326085356469251,POINT (144.6951542452418 -40.89047245930358),4,3,Southern Coasts
10,10,-38.719088734138566,145.8156371804051,0.18175,0.0560427833612749,2.8512842655181885,3.0,1.8029840728781177,229.44799962211465,11.401887029655668,POINT (145.8156371804051 -38.719088734138566),5,3,Southern Coasts
11,11,-40.86009336179852,145.41268753133966,0.15177,0.0666322212572333,3.0492806434631348,3.0,1.4033720667331109,230.70149557788343,9.965802519682144,POINT (145.41268753133966 -40.86009336179852),4,3,Southern Coasts
13,13,-33.87645546287317,123.0834486583128,0.15713,0.0563501598547705,1.1412023305892944,3.0,1.740452097153419,196.282278388848,10.857907510590111,POINT (123.0834486583128 -33.87645546287317),5,3,Southern Coasts
14,14,-38.0187663036394,140.57150279975016,0.11826,0.0338720946169483,1.154625654220581,3.0,2.7206740886236807,230.8881955519273,12.943602733670083,POINT (140.57150279975016 -38.0187663036394),5,3,Southern Coasts
15,15,-33.93684782733345,122.54290087150753,0.15713,0.0484347117868603,1.122778296470642,3.0,1.740452097153419,196.282278388848,10.857907510590111,POINT (122.54290087150753 -33.93684782733345),5,3,Southern Coasts
17,17,-33.24614564250226,124.079145961943,0.16267,0.0624432362224385,1.2709019184112549,3.0,1.1649993765638875,156.62183109336468,8.785630849850484,POINT (124.079145961943 -33.24614564250226),5,3,Southern Coasts
20,20,-32.2932787902159,126.80782594169114,0.12674,0.0468096352029015,1.3048698902130127,3.0,1.9909854140265484,187.9810371181211,11.901646205154726,POINT (126.80782594169114 -32.2932787902159),5,3,Southern Coasts
23,23,-37.44336014717841,139.95916723326764,0.16586,0.0395543457635688,1.1543360948562622,3.0,2.976242972551434,230.871960075218,12.961769107905,POINT (139.95916723326764 -37.44336014717841),5,3,Southern Coasts
27,27,-38.0528048297101,140.7230855577622,0.15604,0.0280665265046421,1.1527223587036133,3.0,2.7206740886236807,230.8881955519273,12.943602733670083,POINT (140.7230855577622 -38.0528048297101),5,3,Southern Coasts
30,30,-38.45290689113076,144.86299312160813,0.26794,0.0770000739529001,2.6226089000701904,3.0,1.6673898149240196,229.01521154152576,12.25918118229375,POINT (144.86299312160813 -38.45290689113076),5,3,Southern Coasts
41,41,-35.233968318488,138.46916557669027,0.19888,0.0782982505010205,2.4207406044006348,3.0,0.8021711623577716,201.64850728955588,8.796167763684037,POINT (138.46916557669027 -35.233968318488),5,3,Southern Coasts
55,55,-34.99075847432996,118.0852146550296,0.19479,0.0417406024719157,0.970139741897583,3.0,2.384722681148736,197.9850158437368,12.2782412906563,POINT (118.0852146550296 -34.99075847432996),5,3,Southern Coasts
60,60,-38.28403479662172,144.58676969423647,0.27739,0.0515230114010168,2.56840181350708,3.0,1.6598696845032743,220.8829619609596,12.03193654477836,POINT (144.58676969423647 -38.28403479662172),5,3,Southern Coasts
61,61,-38.58774262371328,142.8386686446988,0.35355,0.032534137200254,1.208622694015503,3.0,2.359513190582047,226.79135210635613,12.283198563767456,POINT (142.8386686446988 -38.58774262371328),5,3,Southern Coasts
70,70,-38.58774262371328,142.8386686446988,0.35355,0.032534137200254,1.208622694015503,3.0,2.359513190582047,226.79135210635613,12.283198563767456,POINT (142.8386686446988 -38.58774262371328),5,3,Southern Coasts
84,84,-40.82780270948628,147.65850961533803,0.31644,0.0310222741081453,2.7231693267822266,3.0,1.452689708423421,222.414841238438,7.622028356207169,POINT (147.65850961533803 -40.82780270948628),4,3,Southern Coasts
94,94,-32.67201560150306,134.2909264268509,0.42928,0.0471402525771108,1.9037960767745967,3.0,1.4044196759895384,216.8987201168238,12.325971950739708,POINT (134.2909264268509 -32.67201560150306),5,3,Southern Coasts
103,103,-32.63972519832816,134.2793255950267,0.42928,0.0830282747819922,1.906948447227478,3.0,1.4044196759895384,216.8987201168238,12.325971950739708,POINT (134.2793255950267 -32.63972519832816),5,3,Southern Coasts
104,104,-32.63972519832816,134.2793255950267,0.42928,0.0830282747819922,1.906948447227478,3.0,1.4044196759895384,216.8987201168238,12.325971950739708,POINT (134.2793255950267 -32.63972519832816),5,3,Southern Coasts
105,105,-34.067544536088626,137.55545787563082,0.38689,0.0742072528777372,1.517688870429993,3.0,0.8485467713695493,208.8064091847542,8.462415243883177,POINT (137.55545787563082 -34.067544536088626),5,3,Southern Coasts
107,107,-38.67739348469656,145.6088828775148,0.41466,0.0299955306136715,2.840671300888061,3.0,1.3251497645575236,228.60315658678908,12.156084517747605,POINT (145.6088828775148 -38.67739348469656),5,3,Southern Coasts
111,111,-38.67398460496749,145.60014372703256,0.41466,0.0856038047286644,2.840671300888061,3.0,1.3251497645575236,228.60315658678908,12.156084517747605,POINT (145.60014372703256 -38.67398460496749),5,3,Southern Coasts
117,117,-34.36306938078357,135.35720011394463,0.36602,0.0594435904672766,1.436161756515503,3.0,1.6384865534898136,224.63451970311905,12.940095661004849,POINT (135.35720011394463 -34.36306938078357),5,3,Southern Coasts
119,119,-38.67739348469656,145.6088828775148,0.41466,0.0299955306136715,2.840671300888061,3.0,1.3251497645575236,228.60315658678908,12.156084517747605,POINT (145.6088828775148 -38.67739348469656),5,3,Southern Coasts
133,133,-33.81816683016889,121.38101596104474,0.49312,0.0369538373062123,1.0731027126312256,3.0,2.163046943653121,202.60608955539573,12.638337615892608,POINT (121.38101596104474 -33.81816683016889),5,3,Southern Coasts
148,148,-38.557364408492646,145.4853103891792,0.49312,0.0880152854052776,2.78615140914917,3.0,1.3251497645575236,228.60315658678908,12.156084517747605,POINT (145.4853103891792 -38.557364408492646),5,3,Southern Coasts
154,154,-34.34861614937156,115.42918916647204,0.6029,0.0395995128411159,0.9223286509513856,3.0,2.7912352838173744,220.363970181852,12.916895161959516,POINT (115.42918916647204 -34.34861614937156),5,3,Southern Coasts
156,156,-34.36870860193567,115.14241510248164,0.61985,0.0355070463493789,0.90594083070755,3.0,3.0787086086574087,219.7385681521881,12.925368138177824,POINT (115.14241510248164 -34.36870860193567),5,3,Southern Coasts
162,162,-34.370467534776,115.46420934625412,0.6029,0.0388688723448889,0.9223286509513856,3.0,2.7912352838173744,220.363970181852,12.916895161959516,POINT (115.46420934625412 -34.370467534776),5,3,Southern Coasts
170,170,-38.28495225971591,144.45049633560205,0.6029,0.0499760175287058,2.5328590869903564,3.0,1.6598696845032743,220.8829619609596,12.03193654477836,POINT (144.45049633560205 -38.28495225971591),5,3,Southern Coasts
171,171,-34.370467534776,115.46420934625412,0.6029,0.0388688723448889,0.9223286509513856,3.0,2.7912352838173744,220.363970181852,12.916895161959516,POINT (115.46420934625412 -34.370467534776),5,3,Southern Coasts
173,173,-38.28495225971591,144.45049633560205,0.6029,0.0499760175287058,2.5328590869903564,3.0,1.6598696845032743,220.8829619609596,12.03193654477836,POINT (144.45049633560205 -38.28495225971591),5,3,Southern Coasts
175,175,-34.31639527216057,115.29480085132565,0.6029,0.0432302585128229,0.9172024726867676,3.0,2.7912352838173744,220.363970181852,12.916895161959516,POINT (115.29480085132565 -34.31639527216057),5,3,Southern Coasts
176,176,-34.41236677416658,115.53960791498903,0.54715,0.0308284286992013,0.9210171699523926,3.0,2.7912352838173744,220.363970181852,12.916895161959516,POINT (115.53960791498903 -34.41236677416658),5,3,Southern Coasts
180,180,-38.64464144312823,145.5578608922486,0.70222,0.0767906110322342,2.82299280166626,3.0,1.3251497645575236,228.60315658678908,12.156084517747605,POINT (145.5578608922486 -38.64464144312823),5,3,Southern Coasts
186,186,-38.64464144312823,145.5578608922486,0.70222,0.0767906110322342,2.82299280166626,3.0,1.3251497645575236,228.60315658678908,12.156084517747605,POINT (145.5578608922486 -38.64464144312823),5,3,Southern Coasts
200,200,-32.58149525575461,134.26465988330023,0.63288,0.1103966484616383,1.906948447227478,3.0,1.4044196759895384,216.8987201168238,12.325971950739708,POINT (134.26465988330023 -32.58149525575461),5,3,Southern Coasts
201,201,-38.64044703894434,145.55540273337002,0.70222,0.0546688218827652,2.82299280166626,3.0,1.3251497645575236,228.60315658678908,12.156084517747605,POINT (145.55540273337002 -38.64044703894434),5,3,Southern Coasts
204,204,-38.64044703894434,145.55540273337002,0.70222,0.0546688218827652,2.82299280166626,3.0,1.3251497645575236,228.60315658678908,12.156084517747605,POINT (145.55540273337002 -38.64044703894434),5,3,Southern Coasts
206,206,-38.65237653734997,145.56311204567905,0.70222,0.049697473137445,2.82299280166626,3.0,1.3251497645575236,228.60315658678908,12.156084517747605,POINT (145.56311204567905 -38.65237653734997),5,3,Southern Coasts
211,211,-33.174472098285364,134.3777404498054,0.77378,0.0583700997379954,1.6478142738342283,3.0,1.6740761247963074,220.61408399020823,13.132466178386162,POINT (134.3777404498054 -33.174472098285364),5,3,Southern Coasts
228,228,-38.60583673446434,145.53174744573454,0.76844,0.081935540401259,2.7989654541015625,3.0,1.3251497645575236,228.60315658678908,12.156084517747605,POINT (145.53174744573454 -38.60583673446434),5,3,Southern Coasts
244,244,-32.13083107703837,133.67166289129557,0.8827,0.0586698945082906,1.9224176406860352,3.0,2.0437051709608745,213.3745320461433,12.697815894164146,POINT (133.67166289129557 -32.13083107703837),5,3,Southern Coasts
246,246,-32.13083107703837,133.67166289129557,0.8827,0.0586698945082906,1.9224176406860352,3.0,2.0437051709608745,213.3745320461433,12.697815894164146,POINT (133.67166289129557 -32.13083107703837),5,3,Southern Coasts
254,254,-35.018653364335954,136.9457564803239,0.89503,0.0639401965944118,1.2797348499298096,3.0,1.5173056677491816,226.71932338678585,12.433300030074244,POINT (136.9457564803239 -35.018653364335954),5,3,Southern Coasts
257,257,-32.12384350915691,133.6715126861715,0.8827,0.0786120174988262,1.9224176406860352,3.0,2.0437051709608745,213.3745320461433,12.697815894164146,POINT (133.6715126861715 -32.12384350915691),5,3,Southern Coasts
258,258,-32.13083107703837,133.67166289129557,0.8827,0.0586698945082906,1.9224176406860352,3.0,2.0437051709608745,213.3745320461433,12.697815894164146,POINT (133.67166289129557 -32.13083107703837),5,3,Southern Coasts
