,Unnamed: 0,latitude,longitude,d50,beach_slope_average,mstr,code,hs_mean,dir,tp,geometry,index_right,ID_Region,Descriptio
78,78,-28.48391837507334,114.5171255494937,0.31208,0.0668119861155132,0.8277100920677185,3.0,1.7470381968223732,211.90433847698608,12.084757881783332,POINT (114.5171255494937 -28.48391837507334),6,4,Western Coasts
90,90,-22.516873413556123,113.7068777512509,0.44751,0.0804746605859718,1.5280585289001465,3.0,2.091829094449655,214.43704245260844,13.060297712232533,POINT (113.7068777512509 -22.516873413556123),6,4,Western Coasts
92,92,-32.188960779188825,115.77477832711688,0.37631,0.0745475993938668,0.7652959227561951,3.0,2.294686123798856,225.74004601317463,12.628869940828327,POINT (115.77477832711688 -32.188960779188825),6,4,Western Coasts
100,100,-31.86950494629107,115.75195496643636,0.42045,0.0628720330427276,0.7682378888130188,3.0,2.294686123798856,225.74004601317463,12.628869940828327,POINT (115.75195496643636 -31.86950494629107),6,4,Western Coasts
114,114,-22.516873413556123,113.7068777512509,0.44751,0.0804746605859718,1.5280585289001465,3.0,2.091829094449655,214.43704245260844,13.060297712232533,POINT (113.7068777512509 -22.516873413556123),6,4,Western Coasts
121,121,-23.34612089796905,113.78911137389376,0.47303,0.0905925694324173,1.4629392623901367,3.0,1.71872351934948,217.33540998276757,12.906707488021636,POINT (113.78911137389376 -23.34612089796905),6,4,Western Coasts
122,122,-24.169492578121087,113.44408501361214,0.48297,0.1049062537533021,1.4039206504821775,3.0,1.595227940579955,217.22332450405875,13.007287756882874,POINT (113.44408501361214 -24.169492578121087),6,4,Western Coasts
125,125,-24.379490575987656,113.40341054926732,0.48633,0.0705836396619671,1.4077632427215576,3.0,1.595227940579955,217.22332450405875,13.007287756882874,POINT (113.40341054926732 -24.379490575987656),6,4,Western Coasts
130,130,-24.50406023141668,113.42372802767608,0.5,0.072922321341906,1.432944893836975,3.0,2.2582885077221366,209.5881565396361,12.63713262407119,POINT (113.42372802767608 -24.50406023141668),6,4,Western Coasts
137,137,-22.231689171845183,113.8410750645936,0.46652,0.1013065724646604,1.5621094703674316,3.0,1.4983286174505548,219.8579516293634,13.071502513428744,POINT (113.8410750645936 -22.231689171845183),6,4,Western Coasts
