,Unnamed: 0,latitude,longitude,d50,beach_slope_average,mstr,code,hs_mean,dir,tp,geometry,index_right,ID_Region,Descriptio,dataset
21,21,-15.320525010247582,141.55461724515044,0.16267,0.0469733278710278,2.186677932739258,3.0,0.3731878169161897,201.6377887318656,3.5392833401105737,POINT (141.55461724515044 -15.320525010247582),1,6,Carpentaria Gulf Coasts,Short (2022)
35,35,-16.36068767423933,141.31251868964608,0.24316,0.0812358697990246,2.759080171585083,3.0,0.4703806262787645,199.2149885393029,3.515715124885329,POINT (141.31251868964608 -16.36068767423933),1,6,Carpentaria Gulf Coasts,Short (2022)
52,52,-16.36068767423933,141.31251868964608,0.24316,0.0812358697990246,2.759080171585083,3.0,0.4703806262787645,199.2149885393029,3.515715124885329,POINT (141.31251868964608 -16.36068767423933),1,6,Carpentaria Gulf Coasts,Short (2022)
58,58,-17.014478822285938,140.95448626242836,0.18946,0.0279324773189711,3.137380361557007,3.0,0.4634087547147488,202.9689641539116,3.3189917872737555,POINT (140.95448626242836 -17.014478822285938),1,6,Carpentaria Gulf Coasts,Short (2022)
61,61,-15.993082077933378,141.402281705118,0.34869,0.0272012102345093,2.5876967906951904,3.0,0.3653618181748215,216.2412881473525,3.9275532089688503,POINT (141.402281705118 -15.993082077933378),1,6,Carpentaria Gulf Coasts,Short (2022)
88,88,-15.993082077933378,141.402281705118,0.34869,0.0272012102345093,2.5876967906951904,3.0,0.3653618181748215,216.2412881473525,3.9275532089688503,POINT (141.402281705118 -15.993082077933378),1,6,Carpentaria Gulf Coasts,Short (2022)
91,91,-15.579539212552376,141.45753211378235,0.37113,0.0628083999003443,2.299114465713501,3.0,0.3731878169161897,201.6377887318656,3.5392833401105737,POINT (141.45753211378235 -15.579539212552376),1,6,Carpentaria Gulf Coasts,Short (2022)
100,100,-12.569047594733526,141.65250192733006,0.38156,0.056862128116505,2.274075746536255,3.0,0.5836136847717633,186.4142869984057,4.197827259148133,POINT (141.65250192733006 -12.569047594733526),1,6,Carpentaria Gulf Coasts,Short (2022)
121,121,-12.543359763211114,141.60322093009893,0.51406,0.0678690701974812,2.318375587463379,3.0,0.5836136847717633,186.4142869984057,4.197827259148133,POINT (141.60322093009893 -12.543359763211114),1,6,Carpentaria Gulf Coasts,Short (2022)
122,122,-14.254917054139517,141.59568338040296,0.48633,0.0697452834983065,1.7932040691375732,3.0,0.5805337249940248,196.01185714884983,4.241737770958842,POINT (141.59568338040296 -14.254917054139517),1,6,Carpentaria Gulf Coasts,Short (2022)
134,134,-10.926016976733695,142.17199606896028,0.47303,0.0505644980418079,3.242623805999756,3.0,0.6552692137754846,159.7501428405721,4.353381740730291,POINT (142.17199606896028 -10.926016976733695),1,6,Carpentaria Gulf Coasts,Short (2022)
139,139,-12.543359763211114,141.60322093009893,0.51406,0.0678690701974812,2.318375587463379,3.0,0.5836136847717633,186.4142869984057,4.197827259148133,POINT (141.60322093009893 -12.543359763211114),1,6,Carpentaria Gulf Coasts,Short (2022)
145,145,-12.785720486000312,141.76926292216012,0.46009,0.0888116247976937,2.210597515106201,3.0,0.5603157995245841,191.9003630671393,4.23659538708217,POINT (141.76926292216012 -12.785720486000312),1,6,Carpentaria Gulf Coasts,Short (2022)
