,Unnamed: 0,latitude,longitude,d50,beach_slope_average,mstr,code,hs_mean,dir,tp,geometry,index_right,ID_Region,Descriptio,dataset
1,1,-27.42455261453857,153.52456835332762,0.18175,0.0516461918089146,1.988240361213684,3.0,1.1393276672280073,105.53384222767656,8.728909793526125,POINT (153.52456835332762 -27.42455261453857),3,2,South-eastern Coasts,Short (2022)
3,3,-29.30996583186353,153.35134744254557,0.1723,0.0514319726051026,1.9414187669754028,3.0,1.5856934194020575,117.72073247800144,9.064267031329418,POINT (153.35134744254557 -29.30996583186353),3,2,South-eastern Coasts,Short (2022)
6,6,-29.643768953781997,153.32641070668396,0.1599,0.0516052226102795,1.919720768928528,3.0,1.5885657607544814,117.75991591334112,8.89716783575594,POINT (153.32641070668396 -29.643768953781997),3,2,South-eastern Coasts,Short (2022)
18,18,-35.49819381826512,150.3910718557761,0.1794,0.0706311565002064,1.6590973138809204,3.0,1.4944167689137555,125.2582968720027,8.861750193388744,POINT (150.3910718557761 -35.49819381826512),3,2,South-eastern Coasts,Short (2022)
20,20,-27.42455261453857,153.52456835332762,0.18175,0.0516461918089146,1.988240361213684,3.0,1.1393276672280073,105.53384222767656,8.728909793526125,POINT (153.52456835332762 -27.42455261453857),3,2,South-eastern Coasts,Short (2022)
24,24,-30.17574383126086,153.18998077836812,0.16,0.05,1.88853657245636,3.0,1.6351264182080314,117.6059020626407,8.9323807098709,POINT (153.18998077836812 -30.17574383126086),3,2,South-eastern Coasts,Short (2022)
28,28,-42.90978427013251,147.3542931280985,0.1426,0.0523077269820193,1.2144465446472168,3.0,0.7527638545636366,180.81391621443572,9.243877495622923,POINT (147.3542931280985 -42.90978427013251),3,2,South-eastern Coasts,Short (2022)
30,30,-30.770982382858843,152.9970805680811,0.2359,0.0521540571510045,1.86944317817688,3.0,1.4752543809074743,116.50928660577054,9.15530055458056,POINT (152.9970805680811 -30.770982382858843),3,2,South-eastern Coasts,Short (2022)
31,31,-29.85738682113716,153.27244484855026,0.2228,0.0728515952538681,1.9003089666366575,3.0,1.6351264182080314,117.6059020626407,8.9323807098709,POINT (153.27244484855026 -29.85738682113716),3,2,South-eastern Coasts,Short (2022)
34,34,-36.07544693160237,150.1338550923767,0.2512,0.0486495320649459,1.6410571336746216,3.0,1.2089764137005157,120.25667647494431,8.645725015336325,POINT (150.1338550923767 -36.07544693160237),3,2,South-eastern Coasts,Short (2022)
35,35,-28.863656906872507,153.59522044058295,0.2624,0.0526831223566052,1.944563388824463,3.0,1.5856934194020575,117.72073247800144,9.064267031329418,POINT (153.59522044058295 -28.863656906872507),3,2,South-eastern Coasts,Short (2022)
36,36,-35.993437601194145,150.16074617636028,0.2382,0.09,1.6423344612121582,3.0,1.2089764137005157,120.25667647494431,8.645725015336325,POINT (150.16074617636028 -35.993437601194145),3,2,South-eastern Coasts,Short (2022)
37,37,-27.83115461063155,153.43480299664446,0.26425,0.0448201379605479,1.9840892553329468,3.0,1.1393276672280073,105.53384222767656,8.728909793526125,POINT (153.43480299664446 -27.83115461063155),3,2,South-eastern Coasts,Short (2022)
38,38,-32.92137985390024,151.79632565002746,0.2672,0.0558021881753992,1.7807109355926514,3.0,1.6310581313075816,136.746304641811,9.197172409008422,POINT (151.79632565002746 -32.92137985390024),3,2,South-eastern Coasts,Short (2022)
40,40,-27.055419252872426,153.18348719744137,0.23488,0.1006984112408525,2.156903982162476,3.0,1.3723572516175775,106.32981364364136,8.103506225525901,POINT (153.18348719744137 -27.055419252872426),3,2,South-eastern Coasts,Short (2022)
43,43,-33.74710144629303,151.3048123921386,0.2331,0.0551744352879671,1.7356716394424438,3.0,1.4340967057712255,131.46454218568243,8.956954446706074,POINT (151.3048123921386 -33.74710144629303),3,2,South-eastern Coasts,Short (2022)
44,44,-35.388756471044175,150.45419062540608,0.2696,0.0577708509251261,1.661839723587036,3.0,1.7771442865702658,132.2892833446387,8.96398193267294,POINT (150.45419062540608 -35.388756471044175),3,2,South-eastern Coasts,Short (2022)
