,Unnamed: 0,latitude,longitude,d50,beach_slope_average,mstr,code,hs_mean,dir,tp,geometry,index_right,ID_Region,Descriptio,dataset
0,0,-38.05317470605154,140.9298116028305,0.18175,0.0283618509744264,1.1532564163208008,3.0,2.443827345291703,229.1750071977781,12.52256823720956,POINT (140.9298116028305 -38.05317470605154),5,3,Southern Coasts,Short (2022)
1,1,-31.82305334329337,131.9211028847586,0.14132,0.0598046531277302,1.7716946601867676,3.0,2.194675966292868,209.84350690306167,12.94696390745299,POINT (131.9211028847586 -31.82305334329337),5,3,Southern Coasts,Short (2022)
4,4,-31.94517315535221,132.51449393655022,0.16199,0.051213591095601,1.7963429689407349,3.0,1.9866517936808772,208.31373181229336,12.9026570601561,POINT (132.51449393655022 -31.94517315535221),5,3,Southern Coasts,Short (2022)
5,5,-38.04574537403142,140.79077281891446,0.13584,0.0207106928835819,1.1527223587036133,3.0,2.443827345291703,229.1750071977781,12.52256823720956,POINT (140.79077281891446 -38.04574537403142),5,3,Southern Coasts,Short (2022)
6,6,-33.87645546287317,123.0834486583128,0.15713,0.0563501598547705,1.1412023305892944,3.0,1.740452097153419,196.282278388848,10.857907510590111,POINT (123.0834486583128 -33.87645546287317),5,3,Southern Coasts,Short (2022)
15,15,-32.94813824657212,124.39898873811477,0.16267,0.0518076650175184,1.2809195518493652,3.0,1.549061468900104,166.78366378671984,10.095718271653414,POINT (124.39898873811477 -32.94813824657212),5,3,Southern Coasts,Short (2022)
18,18,-38.505407020034575,145.25547219511472,0.18049,0.050128369300386,2.74216103553772,3.0,1.3251497645575236,228.60315658678908,12.156084517747605,POINT (145.25547219511472 -38.505407020034575),5,3,Southern Coasts,Short (2022)
20,20,-34.65208814857321,135.34730651668184,0.17556,0.0537886759872516,1.2819771766662598,3.0,1.6384865534898136,224.63451970311905,12.940095661004849,POINT (135.34730651668184 -34.65208814857321),5,3,Southern Coasts,Short (2022)
26,26,-33.83483094238033,121.95932702214704,0.16724,0.0326404107749089,1.0914485454559326,3.0,2.163046943653121,202.60608955539573,12.638337615892608,POINT (121.95932702214704 -33.83483094238033),5,3,Southern Coasts,Short (2022)
31,31,-33.902233883555155,121.77969924144574,0.25349,0.0415048735973934,1.084217548370361,3.0,2.163046943653121,202.60608955539573,12.638337615892608,POINT (121.77969924144574 -33.902233883555155),5,3,Southern Coasts,Short (2022)
32,32,-35.250246497514524,136.97647748794068,0.26609,0.0549173798612544,1.2332969903945925,3.0,1.5173056677491816,226.71932338678585,12.433300030074244,POINT (136.97647748794068 -35.250246497514524),5,3,Southern Coasts,Short (2022)
34,34,-34.81021801999267,116.00109032423109,0.22531,0.0277673210084192,0.8746845722198486,3.0,2.897082027372808,218.99282627163956,12.701847916927203,POINT (116.00109032423109 -34.81021801999267),5,3,Southern Coasts,Short (2022)
38,38,-33.85084617399264,121.1125862928935,0.26981,0.0415748055012316,1.0652002096176147,3.0,2.117882590894594,197.41387086290095,12.433939860047396,POINT (121.1125862928935 -33.85084617399264),5,3,Southern Coasts,Short (2022)
39,39,-38.35867435887422,142.32220783254525,0.18946,0.0250480042430321,1.164797306060791,3.0,2.359513190582047,226.79135210635613,12.283198563767456,POINT (142.32220783254525 -38.35867435887422),5,3,Southern Coasts,Short (2022)
41,41,-35.13130055666163,138.4689781717169,0.26794,0.0757121282891612,2.5307743549346924,3.0,0.8021711623577716,201.64850728955588,8.796167763684037,POINT (138.4689781717169 -35.13130055666163),5,3,Southern Coasts,Short (2022)
46,46,-31.54353132409383,131.37012995940498,0.20877,0.079230839971142,1.7966995239257812,3.0,1.9482987004997565,199.72642618607185,12.563042558841737,POINT (131.37012995940498 -31.54353132409383),5,3,Southern Coasts,Short (2022)
49,49,-38.471463828677386,144.0619098367761,0.25,0.0544161686605277,2.3705501556396484,3.0,1.5755602869712462,214.2650410848148,12.274756561667402,POINT (144.0619098367761 -38.471463828677386),5,3,Southern Coasts,Short (2022)
54,54,-35.233968318488,138.46916557669027,0.19888,0.0782982505010205,2.4207406044006348,3.0,0.8021711623577716,201.64850728955588,8.796167763684037,POINT (138.46916557669027 -35.233968318488),5,3,Southern Coasts,Short (2022)
66,66,-35.149566689976744,136.91626715763508,0.31208,0.0420472772580786,1.2260098457336426,3.0,1.5173056677491816,226.71932338678585,12.433300030074244,POINT (136.91626715763508 -35.149566689976744),5,3,Southern Coasts,Short (2022)
83,83,-38.36051014226758,142.3933901538088,0.274,0.0292078301859672,1.165705680847168,3.0,2.359513190582047,226.79135210635613,12.283198563767456,POINT (142.3933901538088 -38.36051014226758),5,3,Southern Coasts,Short (2022)
89,89,-38.28403479662172,144.58676969423647,0.27739,0.0515230114010168,2.56840181350708,3.0,1.6598696845032743,220.8829619609596,12.03193654477836,POINT (144.58676969423647 -38.28403479662172),5,3,Southern Coasts,Short (2022)
95,95,-38.34731200020583,144.3090604037535,0.41754,0.0691206777824483,2.493212938308716,3.0,1.6598696845032743,220.8829619609596,12.03193654477836,POINT (144.3090604037535 -38.34731200020583),5,3,Southern Coasts,Short (2022)
102,102,-31.95095221506379,132.69035048258527,0.36602,0.0983624744755192,1.800727367401123,3.0,1.9866517936808772,208.31373181229336,12.9026570601561,POINT (132.69035048258527 -31.95095221506379),5,3,Southern Coasts,Short (2022)
107,107,-34.99078936465078,135.96400816065534,0.43528,0.0366353760375258,1.3570343255996704,3.0,2.2301079167568374,219.44547478382384,12.815570256352007,POINT (135.96400816065534 -34.99078936465078),5,3,Southern Coasts,Short (2022)
111,111,-38.408072486687296,142.5301114106254,0.399,0.0297102013322516,1.1706938743591309,3.0,2.359513190582047,226.79135210635613,12.283198563767456,POINT (142.5301114106254 -38.408072486687296),5,3,Southern Coasts,Short (2022)
114,114,-33.91167596635046,137.63052410806966,0.40053,0.0121513975835847,1.650426149368286,3.0,0.8485467713695493,208.8064091847542,8.462415243883177,POINT (137.63052410806966 -33.91167596635046),5,3,Southern Coasts,Short (2022)
115,115,-34.8435121659014,116.07367459893054,0.39229,0.0310725261904481,0.8665503859519958,3.0,2.897082027372808,218.99282627163956,12.701847916927203,POINT (116.07367459893054 -34.8435121659014),5,3,Southern Coasts,Short (2022)
116,116,-31.95095221506379,132.69035048258527,0.36602,0.0983624744755192,1.800727367401123,3.0,1.9866517936808772,208.31373181229336,12.9026570601561,POINT (132.69035048258527 -31.95095221506379),5,3,Southern Coasts,Short (2022)
118,118,-38.67398460496749,145.60014372703256,0.41466,0.0856038047286644,2.840671300888061,3.0,1.3251497645575236,228.60315658678908,12.156084517747605,POINT (145.60014372703256 -38.67398460496749),5,3,Southern Coasts,Short (2022)
131,131,-38.557364408492646,145.4853103891792,0.49312,0.0880152854052776,2.78615140914917,3.0,1.3251497645575236,228.60315658678908,12.156084517747605,POINT (145.4853103891792 -38.557364408492646),5,3,Southern Coasts,Short (2022)
133,133,-33.8779889615054,120.82546343631044,0.53589,0.0673070645826035,1.0553324222564695,3.0,2.117882590894594,197.41387086290095,12.433939860047396,POINT (120.82546343631044 -33.8779889615054),5,3,Southern Coasts,Short (2022)
137,137,-33.81816683016889,121.38101596104474,0.49312,0.0369538373062123,1.0731027126312256,3.0,2.163046943653121,202.60608955539573,12.638337615892608,POINT (121.38101596104474 -33.81816683016889),5,3,Southern Coasts,Short (2022)
142,142,-38.557364408492646,145.4853103891792,0.49312,0.0880152854052776,2.78615140914917,3.0,1.3251497645575236,228.60315658678908,12.156084517747605,POINT (145.4853103891792 -38.557364408492646),5,3,Southern Coasts,Short (2022)
144,144,-33.81816683016889,121.38101596104474,0.49312,0.0369538373062123,1.0731027126312256,3.0,2.163046943653121,202.60608955539573,12.638337615892608,POINT (121.38101596104474 -33.81816683016889),5,3,Southern Coasts,Short (2022)
157,157,-34.36870860193567,115.14241510248164,0.61985,0.0355070463493789,0.90594083070755,3.0,3.0787086086574087,219.7385681521881,12.925368138177824,POINT (115.14241510248164 -34.36870860193567),5,3,Southern Coasts,Short (2022)
158,158,-34.34861614937156,115.42918916647204,0.6029,0.0395995128411159,0.9223286509513856,3.0,2.7912352838173744,220.363970181852,12.916895161959516,POINT (115.42918916647204 -34.34861614937156),5,3,Southern Coasts,Short (2022)
161,161,-34.41236677416658,115.53960791498903,0.54715,0.0308284286992013,0.9210171699523926,3.0,2.7912352838173744,220.363970181852,12.916895161959516,POINT (115.53960791498903 -34.41236677416658),5,3,Southern Coasts,Short (2022)
163,163,-35.021346777935086,116.78195060905604,0.57834,0.0306714762334107,0.8869099617004395,3.0,2.6481506770683887,218.2040592652812,12.877691836677997,POINT (116.78195060905604 -35.021346777935086),5,3,Southern Coasts,Short (2022)
164,164,-34.36870860193567,115.14241510248164,0.61985,0.0355070463493789,0.90594083070755,3.0,3.0787086086574087,219.7385681521881,12.925368138177824,POINT (115.14241510248164 -34.36870860193567),5,3,Southern Coasts,Short (2022)
166,166,-38.28495225971591,144.45049633560205,0.6029,0.0499760175287058,2.5328590869903564,3.0,1.6598696845032743,220.8829619609596,12.03193654477836,POINT (144.45049633560205 -38.28495225971591),5,3,Southern Coasts,Short (2022)
170,170,-38.28495225971591,144.45049633560205,0.6029,0.0499760175287058,2.5328590869903564,3.0,1.6598696845032743,220.8829619609596,12.03193654477836,POINT (144.45049633560205 -38.28495225971591),5,3,Southern Coasts,Short (2022)
181,181,-38.65237653734997,145.56311204567905,0.70222,0.049697473137445,2.82299280166626,3.0,1.3251497645575236,228.60315658678908,12.156084517747605,POINT (145.56311204567905 -38.65237653734997),5,3,Southern Coasts,Short (2022)
187,187,-38.65237653734997,145.56311204567905,0.70222,0.049697473137445,2.82299280166626,3.0,1.3251497645575236,228.60315658678908,12.156084517747605,POINT (145.56311204567905 -38.65237653734997),5,3,Southern Coasts,Short (2022)
197,197,-38.65237653734997,145.56311204567905,0.70222,0.049697473137445,2.82299280166626,3.0,1.3251497645575236,228.60315658678908,12.156084517747605,POINT (145.56311204567905 -38.65237653734997),5,3,Southern Coasts,Short (2022)
200,200,-32.58149525575461,134.26465988330023,0.63288,0.1103966484616383,1.906948447227478,3.0,1.4044196759895384,216.8987201168238,12.325971950739708,POINT (134.26465988330023 -32.58149525575461),5,3,Southern Coasts,Short (2022)
205,205,-38.65237653734997,145.56311204567905,0.70222,0.049697473137445,2.82299280166626,3.0,1.3251497645575236,228.60315658678908,12.156084517747605,POINT (145.56311204567905 -38.65237653734997),5,3,Southern Coasts,Short (2022)
220,220,-33.174472098285364,134.3777404498054,0.77378,0.0583700997379954,1.6478142738342283,3.0,1.6740761247963074,220.61408399020823,13.132466178386162,POINT (134.3777404498054 -33.174472098285364),5,3,Southern Coasts,Short (2022)
229,229,-38.60583673446434,145.53174744573454,0.76844,0.081935540401259,2.7989654541015625,3.0,1.3251497645575236,228.60315658678908,12.156084517747605,POINT (145.53174744573454 -38.60583673446434),5,3,Southern Coasts,Short (2022)
231,231,-38.60583673446434,145.53174744573454,0.76844,0.081935540401259,2.7989654541015625,3.0,1.3251497645575236,228.60315658678908,12.156084517747605,POINT (145.53174744573454 -38.60583673446434),5,3,Southern Coasts,Short (2022)
242,242,-32.12384350915691,133.6715126861715,0.8827,0.0786120174988262,1.9224176406860352,3.0,2.0437051709608745,213.3745320461433,12.697815894164146,POINT (133.6715126861715 -32.12384350915691),5,3,Southern Coasts,Short (2022)
243,243,-35.018653364335954,136.9457564803239,0.89503,0.0639401965944118,1.2797348499298096,3.0,1.5173056677491816,226.71932338678585,12.433300030074244,POINT (136.9457564803239 -35.018653364335954),5,3,Southern Coasts,Short (2022)
256,256,-35.018653364335954,136.9457564803239,0.89503,0.0639401965944118,1.2797348499298096,3.0,1.5173056677491816,226.71932338678585,12.433300030074244,POINT (136.9457564803239 -35.018653364335954),5,3,Southern Coasts,Short (2022)
261,261,-32.13083107703837,133.67166289129557,0.8827,0.0586698945082906,1.9224176406860352,3.0,2.0437051709608745,213.3745320461433,12.697815894164146,POINT (133.67166289129557 -32.13083107703837),5,3,Southern Coasts,Short (2022)
262,262,-32.13083107703837,133.67166289129557,0.8827,0.0586698945082906,1.9224176406860352,3.0,2.0437051709608745,213.3745320461433,12.697815894164146,POINT (133.67166289129557 -32.13083107703837),5,3,Southern Coasts,Short (2022)
263,263,-32.12384350915691,133.6715126861715,0.8827,0.0786120174988262,1.9224176406860352,3.0,2.0437051709608745,213.3745320461433,12.697815894164146,POINT (133.6715126861715 -32.12384350915691),5,3,Southern Coasts,Short (2022)
264,264,-32.12384350915691,133.6715126861715,0.8827,0.0786120174988262,1.9224176406860352,3.0,2.0437051709608745,213.3745320461433,12.697815894164146,POINT (133.6715126861715 -32.12384350915691),5,3,Southern Coasts,Short (2022)
269,269,-32.13083107703837,133.67166289129557,0.8827,0.0586698945082906,1.9224176406860352,3.0,2.0437051709608745,213.3745320461433,12.697815894164146,POINT (133.67166289129557 -32.13083107703837),5,3,Southern Coasts,Short (2022)
277,277,-33.441978576523454,134.8415906846822,0.99309,0.053449048873939,1.6089892387390137,3.0,2.3077634454106657,222.0311264582436,13.13879958849274,POINT (134.8415906846822 -33.441978576523454),5,3,Southern Coasts,Short (2022)
280,280,-32.15050586822038,133.68598703787995,0.93303,0.0492058227886533,1.9224176406860352,3.0,2.0437051709608745,213.3745320461433,12.697815894164146,POINT (133.68598703787995 -32.15050586822038),5,3,Southern Coasts,Short (2022)
