,Unnamed: 0,latitude,longitude,d50,beach_slope_average,mstr,code,hs_mean,dir,tp,geometry,index_right,ID_Region,Descriptio,dataset
62,62,-23.176973861163933,113.7669380032368,0.29525,0.0885486140971029,1.4719101190567017,3.0,2.0951352055135293,215.4464881210832,13.069788604614844,POINT (113.7669380032368 -23.176973861163933),6,4,Western Coasts,Short (2022)
81,81,-21.86984424854267,114.01039410422746,0.29321,0.0866593548418252,1.6520075798034668,3.0,1.4983286174505548,219.8579516293634,13.071502513428744,POINT (114.01039410422746 -21.86984424854267),6,4,Western Coasts,Short (2022)
89,89,-22.001334150501517,113.92978991191484,0.30145,0.0885005994795038,1.6023352146148682,3.0,1.4983286174505548,219.8579516293634,13.071502513428744,POINT (113.92978991191484 -22.001334150501517),6,4,Western Coasts,Short (2022)
106,106,-22.516873413556123,113.7068777512509,0.44751,0.0804746605859718,1.5280585289001465,3.0,2.091829094449655,214.43704245260844,13.060297712232533,POINT (113.7068777512509 -22.516873413556123),6,4,Western Coasts,Short (2022)
111,111,-31.846097439082783,115.75106795487568,0.37893,0.0610692341669937,0.7682378888130188,3.0,2.294686123798856,225.74004601317463,12.628869940828327,POINT (115.75106795487568 -31.846097439082783),6,4,Western Coasts,Short (2022)
114,114,-22.09968146534716,113.88690885653696,0.42045,0.1041062026425613,1.590869426727295,3.0,1.4983286174505548,219.8579516293634,13.071502513428744,POINT (113.88690885653696 -22.09968146534716),6,4,Western Coasts,Short (2022)
116,116,-22.09968146534716,113.88690885653696,0.42045,0.1041062026425613,1.590869426727295,3.0,1.4983286174505548,219.8579516293634,13.071502513428744,POINT (113.88690885653696 -22.09968146534716),6,4,Western Coasts,Short (2022)
121,121,-24.169492578121087,113.44408501361214,0.48297,0.1049062537533021,1.4039206504821775,3.0,1.595227940579955,217.22332450405875,13.007287756882874,POINT (113.44408501361214 -24.169492578121087),6,4,Western Coasts,Short (2022)
126,126,-23.34612089796905,113.78911137389376,0.47303,0.0905925694324173,1.4629392623901367,3.0,1.71872351934948,217.33540998276757,12.906707488021636,POINT (113.78911137389376 -23.34612089796905),6,4,Western Coasts,Short (2022)
127,127,-33.96917877391547,114.9836030162218,0.46009,0.0536585541382551,0.8478540778160095,3.0,2.4009476406506454,224.9381369032337,12.790937962693256,POINT (114.9836030162218 -33.96917877391547),6,4,Western Coasts,Short (2022)
129,129,-33.96917877391547,114.9836030162218,0.46009,0.0536585541382551,0.8478540778160095,3.0,2.4009476406506454,224.9381369032337,12.790937962693256,POINT (114.9836030162218 -33.96917877391547),6,4,Western Coasts,Short (2022)
130,130,-23.34612089796905,113.78911137389376,0.47303,0.0905925694324173,1.4629392623901367,3.0,1.71872351934948,217.33540998276757,12.906707488021636,POINT (113.78911137389376 -23.34612089796905),6,4,Western Coasts,Short (2022)
132,132,-23.34612089796905,113.78911137389376,0.47303,0.0905925694324173,1.4629392623901367,3.0,1.71872351934948,217.33540998276757,12.906707488021636,POINT (113.78911137389376 -23.34612089796905),6,4,Western Coasts,Short (2022)
136,136,-22.231689171845183,113.8410750645936,0.46652,0.1013065724646604,1.5621094703674316,3.0,1.4983286174505548,219.8579516293634,13.071502513428744,POINT (113.8410750645936 -22.231689171845183),6,4,Western Coasts,Short (2022)
139,139,-24.379490575987656,113.40341054926732,0.48633,0.0705836396619671,1.4077632427215576,3.0,1.595227940579955,217.22332450405875,13.007287756882874,POINT (113.40341054926732 -24.379490575987656),6,4,Western Coasts,Short (2022)
144,144,-22.231689171845183,113.8410750645936,0.46652,0.1013065724646604,1.5621094703674316,3.0,1.4983286174505548,219.8579516293634,13.071502513428744,POINT (113.8410750645936 -22.231689171845183),6,4,Western Coasts,Short (2022)
166,166,-28.40202382112007,114.44127542399424,0.59874,0.0573513527916073,0.8318844437599182,3.0,1.7470381968223732,211.90433847698608,12.084757881783332,POINT (114.44127542399424 -28.40202382112007),6,4,Western Coasts,Short (2022)
167,167,-31.85993929054167,115.75194513749716,0.61557,0.0711558529969464,0.7682378888130188,3.0,2.294686123798856,225.74004601317463,12.628869940828327,POINT (115.75194513749716 -31.85993929054167),6,4,Western Coasts,Short (2022)
169,169,-24.126160283678598,113.43630920032562,0.5905,0.0764308478494509,1.4046651124954224,3.0,1.595227940579955,217.22332450405875,13.007287756882874,POINT (113.43630920032562 -24.126160283678598),6,4,Western Coasts,Short (2022)
178,178,-28.40202382112007,114.44127542399424,0.59874,0.0573513527916073,0.8318844437599182,3.0,1.7470381968223732,211.90433847698608,12.084757881783332,POINT (114.44127542399424 -28.40202382112007),6,4,Western Coasts,Short (2022)
198,198,-21.907508765486558,114.14367799848084,0.67362,0.0837067905836659,2.125734567642212,3.0,1.4983286174505548,219.8579516293634,13.071502513428744,POINT (114.14367799848084 -21.907508765486558),6,4,Western Coasts,Short (2022)
200,200,-21.907508765486558,114.14367799848084,0.67362,0.0837067905836659,2.125734567642212,3.0,1.4983286174505548,219.8579516293634,13.071502513428744,POINT (114.14367799848084 -21.907508765486558),6,4,Western Coasts,Short (2022)
202,202,-21.907508765486558,114.14367799848084,0.67362,0.0837067905836659,2.125734567642212,3.0,1.4983286174505548,219.8579516293634,13.071502513428744,POINT (114.14367799848084 -21.907508765486558),6,4,Western Coasts,Short (2022)
209,209,-33.88239627758988,114.98326015443308,0.67362,0.0396576411347373,0.8342962861061096,3.0,2.4009476406506454,224.9381369032337,12.790937962693256,POINT (114.98326015443308 -33.88239627758988),6,4,Western Coasts,Short (2022)
217,217,-23.950818117841514,113.46897879972708,0.72699,0.0652920474587695,1.4131911993026731,3.0,1.595227940579955,217.22332450405875,13.007287756882874,POINT (113.46897879972708 -23.950818117841514),6,4,Western Coasts,Short (2022)
243,243,-33.868798269162326,114.97814472943644,0.85263,0.0341037780771743,0.8342962861061096,3.0,2.4009476406506454,224.9381369032337,12.790937962693256,POINT (114.97814472943644 -33.868798269162326),6,4,Western Coasts,Short (2022)
250,250,-33.868798269162326,114.97814472943644,0.85263,0.0341037780771743,0.8342962861061096,3.0,2.4009476406506454,224.9381369032337,12.790937962693256,POINT (114.97814472943644 -33.868798269162326),6,4,Western Coasts,Short (2022)
252,252,-33.868798269162326,114.97814472943644,0.85263,0.0341037780771743,0.8342962861061096,3.0,2.4009476406506454,224.9381369032337,12.790937962693256,POINT (114.97814472943644 -33.868798269162326),6,4,Western Coasts,Short (2022)
276,276,-33.89557365668836,114.98562979206838,0.92019,0.0310956542317348,0.8342962861061096,3.0,2.4009476406506454,224.9381369032337,12.790937962693256,POINT (114.98562979206838 -33.89557365668836),6,4,Western Coasts,Short (2022)
