,latitude,longitude,d50,beach_slope_average,mstr,code,hs_mean,tp
0,55.2308398,-6.5191838,0.28,0.0329,1.5,8.0,2.18,6.88
1,55.06595545,-6.060965799,0.169,0.034,1.4,8.0,1.36,4.71
2,54.84199,-8.443956,0.18,0.0218,3.4,8.0,2.18,6.88
3,55.20230445,-6.655600131,0.186,0.032,1.5,8.0,2.34,7.17
4,55.16482,-6.7884142,0.166,0.0214,1.5,8.0,2.26,7.11
5,54.7038025,-6.363023532,0.214,0.0161,4.0,8.0,1.53,4.88
6,54.2214981,-5.888508073,0.15,0.0095,5.0,8.0,1.38,4.72
7,55.20230445,-6.655600131,0.186,0.032,1.5,8.0,2.34,7.17
8,55.2065203,-6.613315323,0.197,0.0352,1.5,8.0,2.34,7.17
9,55.16358,-6.877426824,0.157,0.0194,1.6,8.0,2.05,6.89
10,54.5543518,-8.2097755,0.14,0.0139,3.3,8.0,2.18,6.88
11,54.5543518,-8.2097755,0.14,0.0139,3.3,8.0,2.18,6.88
12,55.2308398,-6.5191838,0.28,0.0329,1.5,8.0,2.18,6.88
13,55.06595545,-6.060965799,0.169,0.034,1.4,8.0,1.36,4.71
14,54.84199,-8.443956,0.18,0.0218,3.4,8.0,2.18,6.88
15,54.6754993,-5.7360033,0.248,0.0522,3.3,8.0,1.37,4.7
16,55.1829096,-6.7187008,0.157,0.0246,1.5,8.0,2.26,7.11
17,54.25,-5.766667,0.137,0.0088,5.0,8.0,1.38,4.72
18,54.84199,-8.443956,0.18,0.0218,3.4,8.0,2.18,6.88
19,54.30013545,-5.558462473,0.286,0.0337,3.8,8.0,1.38,4.72
20,55.1929825,-7.8366689,0.14,0.0134,3.4,8.0,2.18,6.88
21,54.6754993,-5.7360033,0.248,0.0522,3.3,8.0,1.37,4.7
22,55.06595545,-6.060965799,0.169,0.034,1.4,8.0,1.36,4.71
23,54.30013545,-5.558462473,0.286,0.0337,3.8,8.0,1.38,4.72
24,55.1929825,-7.8366689,0.14,0.0134,3.4,8.0,2.18,6.88
25,54.8980658,-5.857875,0.218,0.0639,1.9,8.0,1.52,4.89
26,54.7038025,-6.363023532,0.214,0.0161,4.0,8.0,1.53,4.88
27,55.2308398,-6.5191838,0.28,0.0329,1.5,8.0,2.18,6.88
28,54.6754993,-5.7360033,0.248,0.0522,3.3,8.0,1.37,4.7
29,55.15283,-8.155428,0.21,0.0202,3.4,8.0,2.18,6.88
30,55.2308398,-6.5191838,0.28,0.0329,1.5,8.0,2.18,6.88
31,55.2869665,-7.166544,0.23,0.0446,2.9,8.0,2.18,6.88
32,54.7038025,-6.363023532,0.214,0.0161,4.0,8.0,1.53,4.88
33,55.16358,-6.877426824,0.157,0.0194,1.6,8.0,2.05,6.89
34,55.20230445,-6.655600131,0.186,0.032,1.5,8.0,2.34,7.17
35,55.2351801,-6.4035644,0.229,0.035,1.2,8.0,2.41,7.22
36,54.7038025,-6.363023532,0.214,0.0161,4.0,8.0,1.53,4.88
37,55.2351801,-6.4035644,0.229,0.035,1.2,8.0,2.41,7.22
38,55.1929825,-7.8366689,0.14,0.0134,3.4,8.0,2.18,6.88
39,55.06595545,-6.060965799,0.169,0.034,1.4,8.0,1.36,4.71
40,55.20230445,-6.655600131,0.186,0.032,1.5,8.0,2.34,7.17
41,55.2869665,-7.166544,0.23,0.0446,2.9,8.0,2.18,6.88
42,55.14923165,-6.911043807,0.19,0.0375,1.6,8.0,2.18,6.88
43,54.2214981,-5.888508073,0.15,0.0095,5.0,8.0,1.38,4.72
44,55.16482,-6.7884142,0.166,0.0214,1.5,8.0,2.26,7.11
45,54.7038025,-6.363023532,0.214,0.0161,4.0,8.0,1.53,4.88
46,54.6754993,-5.7360033,0.248,0.0522,3.3,8.0,1.37,4.7
47,55.1929825,-7.8366689,0.14,0.0134,3.4,8.0,2.18,6.88
48,54.30013545,-5.558462473,0.286,0.0337,3.8,8.0,1.38,4.72
49,55.20230445,-6.655600131,0.186,0.032,1.5,8.0,2.34,7.17
50,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
51,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
52,55.2006882,-6.250282,0.634,0.0823,0.9,8.0,2.52,7.36
53,55.2006882,-6.250282,0.634,0.0823,0.9,8.0,2.52,7.36
54,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
55,55.2006882,-6.250282,0.634,0.0823,0.9,8.0,2.52,7.36
56,55.2006882,-6.250282,0.634,0.0823,0.9,8.0,2.52,7.36
57,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
58,55.2006882,-6.250282,0.634,0.0823,0.9,8.0,2.52,7.36
59,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
60,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
61,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
62,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
63,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
64,55.2006882,-6.250282,0.634,0.0823,0.9,8.0,2.52,7.36
65,55.2006882,-6.250282,0.634,0.0823,0.9,8.0,2.52,7.36
66,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
67,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
68,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
69,55.2006882,-6.250282,0.634,0.0823,0.9,8.0,2.52,7.36
70,55.2006882,-6.250282,0.634,0.0823,0.9,8.0,2.52,7.36
71,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
72,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
73,55.2006882,-6.250282,0.634,0.0823,0.9,8.0,2.52,7.36
74,55.2006882,-6.250282,0.634,0.0823,0.9,8.0,2.52,7.36
75,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
76,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
77,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
78,55.2006882,-6.250282,0.634,0.0823,0.9,8.0,2.52,7.36
79,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
80,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
81,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
82,55.2006882,-6.250282,0.634,0.0823,0.9,8.0,2.52,7.36
83,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
84,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
85,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
86,55.2006882,-6.250282,0.634,0.0823,0.9,8.0,2.52,7.36
87,55.2006882,-6.250282,0.634,0.0823,0.9,8.0,2.52,7.36
88,55.2006882,-6.250282,0.634,0.0823,0.9,8.0,2.52,7.36
89,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
90,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
91,55.2006882,-6.250282,0.634,0.0823,0.9,8.0,2.52,7.36
92,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
93,55.2006882,-6.250282,0.634,0.0823,0.9,8.0,2.52,7.36
94,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
95,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
96,55.2006882,-6.250282,0.634,0.0823,0.9,8.0,2.52,7.36
97,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
98,55.2006882,-6.250282,0.634,0.0823,0.9,8.0,2.52,7.36
99,55.2006882,-6.250282,0.634,0.0823,0.9,8.0,2.52,7.36
