,Sample_ID,d5,d10,d16,d25,d30,d50,d65,d75,d84,d90,d95,dataset,Date,beach_slope,lower_conf_bound,upper_conf_bound,width_ci,quality_flag,sl_points,trend,latitude,longitude,geometry,dir,hs_mean,hs_max,tp,dist
1075,McGill 30th Street,0.494462255948152,0.535137484569802,0.583947758915782,0.644970646641817,0.677962103645027,0.809927931657867,0.916980702446368,1.04847233687727,1.16681480786508,1.31630170964032,1.44087412778635,sandsnap,2021-06-11,0.15,0.1089,0.2,0.0911,Low,362.0,0.46799749353455306,25.803980848611303,-80.12259131872153,POINT (-80.12259131872153 25.803980848611303),95.51347134013028,0.48349321372935844,0.5862837014217532,5.683103628109475,5.683103628109475
1076,McGill 30th Street,0.494462255948152,0.535137484569802,0.583947758915782,0.644970646641817,0.677962103645027,0.809927931657867,0.916980702446368,1.04847233687727,1.16681480786508,1.31630170964032,1.44087412778635,sandsnap,2021-06-11,0.135,0.0971,0.2,0.1029,Low,416.0,1.0404652639927616,25.80439779757909,-80.12239897385764,POINT (-80.12239897385764 25.80439779757909),93.52148094965868,0.42436032268743806,0.5155406670764764,5.777091633571591,5.777091633571591
1077,McGill 30th Street,0.494462255948152,0.535137484569802,0.583947758915782,0.644970646641817,0.677962103645027,0.809927931657867,0.916980702446368,1.04847233687727,1.16681480786508,1.31630170964032,1.44087412778635,sandsnap,2021-06-11,0.175,0.0942,0.2,0.1058,Low,416.0,1.7595476173996059,25.804825213197894,-80.12224372171829,POINT (-80.12224372171829 25.804825213197894),83.69691489332388,0.3626989273570316,0.43609945863886135,6.142300943229996,6.142300943229996
1078,McGill 30th Street,0.494462255948152,0.535137484569802,0.583947758915782,0.644970646641817,0.677962103645027,0.809927931657867,0.916980702446368,1.04847233687727,1.16681480786508,1.31630170964032,1.44087412778635,sandsnap,2021-06-11,0.175,0.0858,0.2,0.1142,Low,418.0,2.3085731787113417,25.80525138975052,-80.12208415672333,POINT (-80.12208415672333 25.80525138975052),84.70841024224472,0.3337394803281405,0.40466194078657414,5.996292719901714,5.996292719901714
1079,McGill 30th Street,0.494462255948152,0.535137484569802,0.583947758915782,0.644970646641817,0.677962103645027,0.809927931657867,0.916980702446368,1.04847233687727,1.16681480786508,1.31630170964032,1.44087412778635,sandsnap,2021-06-11,0.17,0.0856,0.2,0.1144,Low,422.0,2.4364200047992512,25.80567392757819,-80.12191158672269,POINT (-80.12191158672269 25.80567392757819),72.7983066065512,0.7287242388950574,0.8816549528783458,6.648247630441155,6.648247630441155
1080,McGill 30th Street,0.494462255948152,0.535137484569802,0.583947758915782,0.644970646641817,0.677962103645027,0.809927931657867,0.916980702446368,1.04847233687727,1.16681480786508,1.31630170964032,1.44087412778635,sandsnap,2021-06-11,0.11,0.0912,0.1441,0.0529,Low,383.0,2.815407985374066,25.806099288595462,-80.12174918358693,POINT (-80.12174918358693 25.806099288595462),73.71198139341736,0.720257415774253,0.8717541330152951,6.658795205991078,6.658795205991078
2153,HBFL01,0.29063854908125,0.314510226243627,0.34315623883848,0.379159164165976,0.398646376983928,0.476595228255736,0.53963769840669,0.617060912382959,0.686741804961601,0.774848935957621,0.848271545120971,sandsnap,2021-06-11,0.11,0.0865,0.1454,0.0589,Low,461.0,0.06983194216112491,26.29368189840988,-80.076653267278,POINT (-80.076653267278 26.29368189840988),75.47178010016144,0.7024638522451494,0.8502010373764339,6.655644251449794,6.655644251449794
2154,HBFL01,0.29063854908125,0.314510226243627,0.34315623883848,0.379159164165976,0.398646376983928,0.476595228255736,0.53963769840669,0.617060912382959,0.686741804961601,0.774848935957621,0.848271545120971,sandsnap,2021-06-11,0.12,0.0912,0.1762,0.085,Low,454.0,0.051352733106174796,26.294131500826236,-80.07660810757724,POINT (-80.07660810757724 26.294131500826236),77.56454811968561,0.6938655546227165,0.8390192151928905,6.651345453916159,6.651345453916159
2155,HBFL01,0.29063854908125,0.314510226243627,0.34315623883848,0.379159164165976,0.398646376983928,0.476595228255736,0.53963769840669,0.617060912382959,0.686741804961601,0.774848935957621,0.848271545120971,sandsnap,2021-06-11,0.095,0.0775,0.129,0.0515,Low,437.0,-0.008809367550308566,26.29458050869207,-80.0765562544681,POINT (-80.0765562544681 26.29458050869207),74.17154162678091,0.6948416940822829,0.8361122710033989,6.858538180833452,6.858538180833452
2156,HBFL01,0.29063854908125,0.314510226243627,0.34315623883848,0.379159164165976,0.398646376983928,0.476595228255736,0.53963769840669,0.617060912382959,0.686741804961601,0.774848935957621,0.848271545120971,sandsnap,2021-06-11,0.095,0.0752,0.1268,0.0516,Low,444.0,0.010766390827621576,26.29503057156907,-80.0765162690791,POINT (-80.0765162690791 26.29503057156907),71.26726427798752,0.6800988337830336,0.8169551042938676,7.0919312120651465,7.0919312120651465
