/* DATA DESCRIPTION:
Citation:	INDIA Project Members (1999): Sample collection and characterization for the evaluation of coastal processes related to the dynamics of Ancao inlet within the frame of the INDIA project. PANGAEA, https://doi.org/10.1594/PANGAEA.883076, 
	In supplement to: Costas, Susana; Ramires, Margarida; de Sousa, Luisa B; Mendes, Isabel Maria de Paiva Pinto; Ferreira, Óscar (2018): Surficial sediment texture database for the south-western Iberian Atlantic margin. Earth System Science Data, 10(2), 1185-1195, https://doi.org/10.5194/essd-10-1185-2018
Original version:	Original data of surficial sediment texture from the Iberian Atlantic Margin Sediments Database (IBAM-Sed) (URI: https://store.pangaea.de/Publications/Coasta-etal_2017/PLOSscripts.zip)
Further details:	Costas, Susana; Ramires, Margarida; de Sousa, Luisa B; Mendes, Isabel Maria de Paiva Pinto; Ferreira, Óscar (2018): Shape files of surficial sediment texture from the Iberian Atlantic Margin Sediments Database (IBAM-Sed). PANGAEA, https://doi.org/10.1594/PANGAEA.890946
Coverage:	MEDIAN LATITUDE: 36.987818 * MEDIAN LONGITUDE: -7.965226 * SOUTH-BOUND LATITUDE: 36.983159 * WEST-BOUND LONGITUDE: -7.971246 * NORTH-BOUND LATITUDE: 36.992395 * EAST-BOUND LONGITUDE: -7.959329
	DATE/TIME START: 1997-01-01T00:00:00 * DATE/TIME END: 1999-02-02T00:00:00
	MINIMUM ELEVATION: 1.14 m a.s.l. * MAXIMUM ELEVATION: 5.04 m a.s.l.
Event(s):	IBAM-Sed_INDIA * LATITUDE: 36.986200 * LONGITUDE: -7.959400 * DATE/TIME START: 1997-01-01T00:00:00 * DATE/TIME END: 1999-02-02T00:00:00
Comment:	INDIA (1999). Inlet Dynamics Initiative: Algarve
Parameter(s):	Kurtosis (Kurt) * PI: INDIA Project Members * METHOD/DEVICE: Grain size, sieving, Folk and Ward method
	Sample ID (Sample ID) * PI: INDIA Project Members * COMMENT: Sample number
	Sample ID (Sample ID) * PI: INDIA Project Members * COMMENT: Acess number from laboratory
	Sample ID (Sample ID) * PI: INDIA Project Members * COMMENT: Reference sample in the collect
	Sample comment (Sample comment) * PI: INDIA Project Members
	DATE/TIME (Date/Time) * GEOCODE * PI: INDIA Project Members * COMMENT: of collecting
	Project (Project) * PI: INDIA Project Members
	LATITUDE (Latitude) * GEOCODE * PI: INDIA Project Members
	LONGITUDE (Longitude) * GEOCODE * PI: INDIA Project Members
	ELEVATION [m a.s.l.] (Elevation) * GEOCODE * PI: INDIA Project Members * COMMENT: Relative to mean sea level (m)
	Gravel [%] (Gravel) * PI: INDIA Project Members * METHOD/DEVICE: Grain size, sieving
	Sandstone [%] (Sdst) * PI: INDIA Project Members * METHOD/DEVICE: Grain size, sieving
	Mudstone [%] (Mudstone) * PI: INDIA Project Members * METHOD/DEVICE: Grain size, sieving
	Grain size, mean [phi] (Grain size mean) * PI: INDIA Project Members * METHOD/DEVICE: Grain size, sieving, Folk and Ward method
	Standard deviation [±] (Std dev) * PI: INDIA Project Members * METHOD/DEVICE: Grain size, sieving, Folk and Ward method * COMMENT: Of sample value
	Skewness (Skew) * PI: INDIA Project Members * METHOD/DEVICE: Grain size, sieving, Folk and Ward method
	Kurtosis (Kurt) * PI: INDIA Project Members * METHOD/DEVICE: Grain size, sieving, Folk and Ward method
	Mode, grain size [phi] (Mode) * PI: INDIA Project Members * METHOD/DEVICE: Grain size, sieving, Folk and Ward method * COMMENT: 1st Mode sample value
	Mode, grain size [phi] (Mode) * PI: INDIA Project Members * METHOD/DEVICE: Grain size, sieving, Folk and Ward method * COMMENT: 2nd Mode sample value
	Mode, grain size [phi] (Mode) * PI: INDIA Project Members * METHOD/DEVICE: Grain size, sieving, Folk and Ward method * COMMENT: 3rd Mode sample value
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	3156 data points
*/
Kurt (Grain size, sieving, Folk and...)	Sample ID (Sample number)	Sample ID (Acess number from laboratory)	Sample ID (Reference sample in the collect)	Sample comment	Date/Time (of collecting)	Project	Latitude	Longitude	Elevation [m a.s.l.] (Relative to mean sea level (m))	Gravel [%] (Grain size, sieving)	Sdst [%] (Grain size, sieving)	Mudstone [%] (Grain size, sieving)	Grain size mean [phi] (Grain size, sieving, Folk and...)	Std dev [±] (Of sample value, Grain size, ...)	Skew (Grain size, sieving, Folk and...)	Kurt (Grain size, sieving, Folk and...)	Mode [phi] (1st Mode sample value, Grain ...)	Mode [phi] (2nd Mode sample value, Grain ...)	Mode [phi] (3rd Mode sample value, Grain ...)
1.024	1	501A	A1		1997-01-01	INDIA	36.986988200	-7.971246040		0.10	99.90	0.0	1.613	0.661	0.107	1.024	1.247		
0.988	2	502A	A8		1997-01-01	INDIA	36.988578300	-7.969257090		0.10	99.90	0.0	1.410	0.651	0.065	0.988	1.247		
0.976	3	503A	C4		1997-01-01	INDIA	36.987304000	-7.969259790		1.30	98.70	0.0	1.001	0.804	-0.110	0.976	1.247		
1.041	4	504A	C8		1997-01-01	INDIA	36.987940100	-7.968464180		0.60	99.40	0.0	0.995	0.733	-0.059	1.041	1.247		
0.939	5	505A	D3		1997-01-01	INDIA	36.986666900	-7.969261030		0.00	100.00	0.0	1.360	0.651	0.014	0.939	1.247		
0.973	6	506A	D4		1997-01-01	INDIA	36.986984900	-7.968863290		0.80	99.20	0.0	1.238	0.752	-0.125	0.973	1.747		
1.004	7	507A	D5		1997-01-01	INDIA	36.987143900	-7.968664360		0.90	99.10	0.0	0.939	0.715	-0.027	1.004	0.747		
1.002	8	508A	D6		1997-01-01	INDIA	36.987302900	-7.968465430		2.10	97.90	0.0	0.516	0.689	-0.033	1.002	0.247		
1.058	9	509A	D7		1997-01-01	INDIA	36.987462000	-7.968266500		0.60	99.40	0.0	1.131	0.676	0.050	1.058	1.247		
1.034	10	510A	D8		1997-01-01	INDIA	36.987620900	-7.968067680		3.90	96.10	0.0	0.614	0.842	-0.109	1.034	0.747		
1.015	11	511A	D9		1997-01-01	INDIA	36.987780000	-7.967868740		1.80	98.20	0.0	0.773	0.756	-0.076	1.015	0.747		
0.934	12	512A	F3		1997-01-01	INDIA	36.986347700	-7.968864530		1.90	98.10	0.0	1.342	0.865	-0.238	0.934	1.747		
0.927	13	513A	F4		1997-01-01	INDIA	36.986665700	-7.968466790		1.10	98.90	0.0	1.091	0.799	-0.056	0.927	0.747	1.747	
0.857	14	514A	F5		1997-01-01	INDIA	36.986824700	-7.968267860		0.80	99.20	0.0	1.046	0.724	0.054	0.857	0.747	1.747	
0.989	15	515A	F6		1997-01-01	INDIA	36.986983800	-7.968068920		0.10	99.90	0.0	1.318	0.604	-0.089	0.989	1.247		
1.044	16	516A	F7		1997-01-01	INDIA	36.987142800	-7.967869990		0.10	99.90	0.0	1.370	0.563	-0.120	1.044	1.747		
1.102	17	517A	F8		1997-01-01	INDIA	36.987301800	-7.967671170		0.10	99.90	0.0	1.364	0.553	-0.123	1.102	1.247		
1.028	18	518A	F9		1997-01-01	INDIA	36.987460800	-7.967472240		0.00	100.00	0.0	1.431	0.476	0.023	1.028	1.247		
0.967	19	519A	H3		1997-01-01	INDIA	36.986028700	-7.968468140		0.20	99.80	0.0	1.737	0.540	-0.121	0.967	1.747		
0.964	20	520A	H4		1997-01-01	INDIA	36.986346600	-7.968070400		7.40	92.60	0.0	0.712	1.049	-0.215	0.964	1.247		
0.957	21	521A	H5		1997-01-01	INDIA	36.986505700	-7.967871470		10.30	89.70	0.0	0.513	1.122	-0.208	0.957	1.247		
1.325	22	522A	H6		1997-01-01	INDIA	36.986664700	-7.967672540		0.40	99.60	0.0	1.343	0.551	-0.129	1.325	1.247		
1.485	23	523A	H7		1997-01-01	INDIA	36.986823700	-7.967473610		13.20	86.80	0.0	0.098	1.107	-0.276	1.485	0.247		
1.565	24	524A	H8		1997-01-01	INDIA	36.986982700	-7.967274790		20.10	79.90	0.0	-0.509	1.663	-0.531	1.565	0.247	-3.743	
1.093	25	525A	H9		1997-01-01	INDIA	36.987141700	-7.967075850		2.60	97.40	0.0	0.636	0.629	-0.165	1.093	0.747		
0.995	26	526A	J1		1997-01-01	INDIA	36.985073400	-7.968867350		0.00	100.00	0.0	1.434	0.647	-0.031	0.995	1.247		
1.076	27	527A	J3		1997-01-01	INDIA	36.985709500	-7.968071760		1.50	98.50	0.0	0.988	0.689	-0.196	1.076	1.247		
1.048	28	528A	J4		1997-01-01	INDIA	36.986027500	-7.967674010		0.30	99.70	0.0	1.593	0.632	-0.166	1.048	1.747		
1.111	29	529A	J5		1997-01-01	INDIA	36.986186500	-7.967475080		3.60	96.40	0.0	0.484	0.744	-0.127	1.111	0.747		
1.006	30	530A	J6		1997-01-01	INDIA	36.986345500	-7.967276150		0.10	99.90	0.0	0.864	0.590	-0.010	1.006	0.747		
1.017	31	531A	J7		1997-01-01	INDIA	36.986504600	-7.967077220		0.50	99.50	0.0	0.462	0.561	0.042	1.017	0.247		
