/* DATA DESCRIPTION:
Citation:	MICORE Project Members (2011): Sediment sampling at Praia de Faro beach to study the morphological changes within the frame of the MICORE project. PANGAEA, https://doi.org/10.1594/PANGAEA.883081, 
	In supplement to: Costas, Susana; Ramires, Margarida; de Sousa, Luisa B; Mendes, Isabel Maria de Paiva Pinto; Ferreira, Óscar (2018): Surficial sediment texture database for the south-western Iberian Atlantic margin. Earth System Science Data, 10(2), 1185-1195, https://doi.org/10.5194/essd-10-1185-2018
Original version:	Original data of surficial sediment texture from the Iberian Atlantic Margin Sediments Database (IBAM-Sed) (URI: https://store.pangaea.de/Publications/Coasta-etal_2017/PLOSscripts.zip)
Further details:	Costas, Susana; Ramires, Margarida; de Sousa, Luisa B; Mendes, Isabel Maria de Paiva Pinto; Ferreira, Óscar (2018): Shape files of surficial sediment texture from the Iberian Atlantic Margin Sediments Database (IBAM-Sed). PANGAEA, https://doi.org/10.1594/PANGAEA.890946
Coverage:	MEDIAN LATITUDE: 37.006164 * MEDIAN LONGITUDE: -7.993131 * SOUTH-BOUND LATITUDE: 37.005971 * WEST-BOUND LONGITUDE: -7.993518 * NORTH-BOUND LATITUDE: 37.006358 * EAST-BOUND LONGITUDE: -7.992745
	DATE/TIME START: 2009-03-26T00:00:00 * DATE/TIME END: 2009-03-26T00:00:00
Event(s):	IBAM-Sed_MICORE * LATITUDE: 37.004000 * LONGITUDE: -7.989200 * DATE/TIME START: 2009-03-26T00:00:00 * DATE/TIME END: 2009-03-26T00:00:00 * METHOD/DEVICE: Sampling by hand (HAND)
Comment:	MICORE (2011). Morphological Impacts and COastal Risks induced by Extreme storm events
Parameter(s):	Sample ID (Sample ID) * PI: MICORE Project Members * COMMENT: Sample number
	Sample ID (Sample ID) * PI: MICORE Project Members * COMMENT: Acess number from laboratory
	Sample ID (Sample ID) * PI: MICORE Project Members * COMMENT: Reference sample in the collect
	Sample comment (Sample comment) * PI: MICORE Project Members
	DATE/TIME (Date/Time) * GEOCODE * PI: MICORE Project Members * COMMENT: of collecting
	Project (Project) * PI: MICORE Project Members
	Sample method (Sample method) * PI: MICORE Project Members
	LATITUDE (Latitude) * GEOCODE * PI: MICORE Project Members
	LONGITUDE (Longitude) * GEOCODE * PI: MICORE Project Members
	Gravel [%] (Gravel) * PI: MICORE Project Members * METHOD/DEVICE: Grain size, sieving
	Sandstone [%] (Sdst) * PI: MICORE Project Members * METHOD/DEVICE: Grain size, sieving
	Mudstone [%] (Mudstone) * PI: MICORE Project Members * METHOD/DEVICE: Grain size, sieving
	Grain size, mean [phi] (Grain size mean) * PI: MICORE Project Members * METHOD/DEVICE: Grain size, sieving, Folk and Ward method
	Standard deviation [±] (Std dev) * PI: MICORE Project Members * METHOD/DEVICE: Grain size, sieving, Folk and Ward method * COMMENT: Of sample value
	Skewness (Skew) * PI: MICORE Project Members * METHOD/DEVICE: Grain size, sieving, Folk and Ward method
