/* DATA DESCRIPTION:
Citation:	MOSES Project Members (2015): Sediment characterization and variability along the rocky beaches of the Rocky Coast of Algarve within the frame of the MOSES project. PANGAEA, https://doi.org/10.1594/PANGAEA.883084, 
	In supplement to: Costas, Susana; Ramires, Margarida; de Sousa, Luisa B; Mendes, Isabel Maria de Paiva Pinto; Ferreira, Óscar (2018): Surficial sediment texture database for the south-western Iberian Atlantic margin. Earth System Science Data, 10(2), 1185-1195, https://doi.org/10.5194/essd-10-1185-2018
Related to:	Oliveira, Sonia; Moura, Antonio D; Horta, Paulo Antunes; Nascimento, Herique E M; Gomes, Ana; Veiga-Pires, Cristina (2017): The morphosedimentary behaviour of a headland-beach system: Quantifying sediment transport using fluorescent tracers. Marine Geology, 388, 62-73, https://doi.org/10.1016/j.margeo.2017.02.010
Original version:	Original data of surficial sediment texture from the Iberian Atlantic Margin Sediments Database (IBAM-Sed) (URI: https://store.pangaea.de/Publications/Coasta-etal_2017/PLOSscripts.zip)
Further details:	Costas, Susana; Ramires, Margarida; de Sousa, Luisa B; Mendes, Isabel Maria de Paiva Pinto; Ferreira, Óscar (2018): Shape files of surficial sediment texture from the Iberian Atlantic Margin Sediments Database (IBAM-Sed). PANGAEA, https://doi.org/10.1594/PANGAEA.890946
Coverage:	MEDIAN LATITUDE: 37.080850 * MEDIAN LONGITUDE: -8.316861 * SOUTH-BOUND LATITUDE: 37.078672 * WEST-BOUND LONGITUDE: -8.319432 * NORTH-BOUND LATITUDE: 37.082691 * EAST-BOUND LONGITUDE: -8.313000
	DATE/TIME START: 2011-03-29T09:00:00 * DATE/TIME END: 2011-06-11T15:00:01
Event(s):	IBAM-Sed_MOSES * LATITUDE: 37.076600 * LONGITUDE: -8.308300 * DATE/TIME START: 2011-03-29T09:00:00 * DATE/TIME END: 2011-06-11T15:00:01 * METHOD/DEVICE: Sampling by hand (HAND)
Comment:	MOSES (2015). Moving Sands Equilibrium State of Crenulated Coasts
Parameter(s):	Sample ID (Sample ID) * PI: MOSES Project Members * COMMENT: Sample number
	Sample ID (Sample ID) * PI: MOSES Project Members * COMMENT: Acess number from laboratory
	Sample ID (Sample ID) * PI: MOSES Project Members * COMMENT: Reference sample in the collect
	DATE/TIME (Date/Time) * GEOCODE * PI: MOSES Project Members * COMMENT: of collecting
	Project (Project) * PI: MOSES Project Members
	Sample method (Sample method) * PI: MOSES Project Members
	LATITUDE (Latitude) * GEOCODE * PI: MOSES Project Members
	LONGITUDE (Longitude) * GEOCODE * PI: MOSES Project Members
	Gravel [%] (Gravel) * PI: MOSES Project Members * METHOD/DEVICE: Grain size, sieving
	Sandstone [%] (Sdst) * PI: MOSES Project Members * METHOD/DEVICE: Grain size, sieving
	Mudstone [%] (Mudstone) * PI: MOSES Project Members * METHOD/DEVICE: Grain size, settling tube
	Grain size, mean [phi] (Grain size mean) * PI: MOSES Project Members * METHOD/DEVICE: Grain size, sieving/settling tube, Folk and Ward method
	Standard deviation [±] (Std dev) * PI: MOSES Project Members * METHOD/DEVICE: Grain size, sieving/settling tube, Folk and Ward method * COMMENT: Of sample value
	Skewness (Skew) * PI: MOSES Project Members * METHOD/DEVICE: Grain size, sieving/settling tube, Folk and Ward method
	Kurtosis (Kurt) * PI: MOSES Project Members * METHOD/DEVICE: Grain size, sieving/settling tube, Folk and Ward method
	Mode, grain size [phi] (Mode) * PI: MOSES Project Members * METHOD/DEVICE: Grain size, sieving/settling tube, Folk and Ward method * COMMENT: 1st Mode sample value
	Mode, grain size [phi] (Mode) * PI: MOSES Project Members * METHOD/DEVICE: Grain size, sieving/settling tube, Folk and Ward method * COMMENT: 2nd Mode sample value
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	15214 data points
*/
Sample ID (Sample number)	Sample ID (Acess number from laboratory)	Sample ID (Reference sample in the collect)	Date/Time (of collecting)	Project	Sample method	Latitude	Longitude	Gravel [%] (Grain size, sieving)	Sdst [%] (Grain size, sieving)	Mudstone [%] (Grain size, settling tube)	Grain size mean [phi] (Grain size, sieving/settling ...)	Std dev [±] (Of sample value, Grain size, ...)	Skew (Grain size, sieving/settling ...)	Kurt (Grain size, sieving/settling ...)	Mode [phi] (1st Mode sample value, Grain ...)	Mode [phi] (2nd Mode sample value, Grain ...)
1	1378A	BG-P10-A1	2011-03-29	MOSES	Hand-Collecting	37.0804	-8.3163	0.00	100.00	0.00	1.574	0.437	-0.046	0.996	1.747	
2	1379A	BG-P10-A2	2011-03-29	MOSES	Hand-Collecting	37.0804	-8.3163	0.00	100.00	0.00	1.651	0.535	-0.057	1.007	1.747	
3	1380A	BG-P1-A3	2011-03-29	MOSES	Hand-Collecting	37.0817	-8.3175	0.10	99.90	0.00	0.850	0.655	0.040	0.917	0.747	
4	1381A	BG-P1-A4	2011-03-29	MOSES	Hand-Collecting	37.0816	-8.3176	0.10	99.90	0.00	1.242	0.520	-0.124	1.103	1.247	
5	1382A	BG-P1-A5	2011-03-29	MOSES	Hand-Collecting	37.0815	-8.3177	0.00	100.00	0.00	1.773	0.480	-0.046	0.890	1.747	
6	1383A	BG-P1-A6	2011-03-29	MOSES	Hand-Collecting	37.0815	-8.3177	0.00	100.00	0.00	1.487	0.601	-0.212	1.051	1.747	
7	1384A	BG-P1-A7	2011-03-29	MOSES	Hand-Collecting	37.0814	-8.3178	0.00	100.00	0.00	1.840	0.429	0.001	0.991	1.747	
8	1385A	BG-P1-A8	2011-03-29	MOSES	Hand-Collecting	37.0813	-8.3179	0.00	100.00	0.00	2.051	0.418	0.036	0.941	2.237	
9	1386A	BG-P1-A9	2011-03-29	MOSES	Hand-Collecting	37.0812	-8.3180	0.10	99.90	0.00	2.166	0.501	-0.038	1.031	2.237	
10	1387A	BG-P2-A10	2011-03-29	MOSES	Hand-Collecting	37.0811	-8.3178	0.10	99.90	0.00	2.195	0.583	-0.140	1.087	2.237	
11	1388A	BG-P2-A3	2011-03-29	MOSES	Hand-Collecting	37.0816	-8.3174	0.10	99.90	0.00	0.872	0.664	0.038	0.913	0.747	
12	1389A	BG-P2-A4	2011-03-29	MOSES	Hand-Collecting	37.0815	-8.3174	0.00	100.00	0.00	1.315	0.540	-0.175	1.050	1.247	
13	1390A	BG-P2-A5	2011-03-29	MOSES	Hand-Collecting	37.0814	-8.3175	0.00	100.00	0.00	1.451	0.480	-0.042	1.045	1.247	
14	1391A	BG-P2-A6	2011-03-29	MOSES	Hand-Collecting	37.0814	-8.3176	0.10	99.90	0.00	1.621	0.561	-0.247	1.392	1.747	
15	1392A	BG-P2-A7	2011-03-29	MOSES	Hand-Collecting	37.0813	-8.3176	0.00	100.00	0.00	1.724	0.441	-0.013	1.057	1.747	
16	1393A	BG-P2-A8	2011-03-29	MOSES	Hand-Collecting	37.0812	-8.3177	0.00	100.00	0.00	2.085	0.419	-0.002	0.954	2.237	
17	1394A	BG-P2-A9	2011-03-29	MOSES	Hand-Collecting	37.0811	-8.3178	0.00	100.00	0.00	2.134	0.485	-0.051	1.071	2.237	
18	1395A	BG-P3-A10	2011-03-29	MOSES	Hand-Collecting	37.0810	-8.3176	0.00	100.00	0.00	2.256	0.478	-0.022	0.916	2.237	
19	1396A	BG-P3-A3	2011-03-29	MOSES	Hand-Collecting	37.0815	-8.3171	0.10	99.90	0.00	1.149	0.598	-0.099	0.916	1.247	
20	1397A	BG-P3-A4	2011-03-29	MOSES	Hand-Collecting	37.0814	-8.3172	0.00	100.00	0.00	1.383	0.523	-0.076	1.026	1.247	
21	1398A	BG-P3-A5	2011-03-29	MOSES	Hand-Collecting	37.0814	-8.3173	0.10	99.90	0.00	1.312	0.551	-0.030	1.054	1.247	
22	1399A	BG-P3-A6	2011-03-29	MOSES	Hand-Collecting	37.0813	-8.3173	0.00	100.00	0.00	1.477	0.442	-0.003	1.015	1.247	
23	1400A	BG-P3-A7	2011-03-29	MOSES	Hand-Collecting	37.0812	-8.3174	0.00	100.00	0.00	1.583	0.450	-0.064	1.012	1.747	
24	1401A	BG-P3-A8	2011-03-29	MOSES	Hand-Collecting	37.0811	-8.3175	0.00	100.00	0.00	1.909	0.492	0.022	1.038	1.747	
25	1402A	BG-P3-A9	2011-03-29	MOSES	Hand-Collecting	37.0811	-8.3176	0.00	100.00	0.00	2.188	0.459	0.026	0.942	2.237	
26	1403A	BG-P4-A10	2011-03-29	MOSES	Hand-Collecting	37.0809	-8.3175	0.00	100.00	0.00	2.298	0.440	0.004	1.003	2.237	
