/* DATA DESCRIPTION:
Citation:	SIRIA Project Members (2010): Sediment characterization of Guadiana inlet and adjacent Portuguese and Spanish continental shelf to stablish the reference situation at the Algarve Coastal Region influenced by Alqueva dam within the frame of the SIRIA project. PANGAEA, https://doi.org/10.1594/PANGAEA.883074, 
	In supplement to: Costas, Susana; Ramires, Margarida; de Sousa, Luisa B; Mendes, Isabel Maria de Paiva Pinto; Ferreira, Óscar (2018): Surficial sediment texture database for the south-western Iberian Atlantic margin. Earth System Science Data, 10(2), 1185-1195, https://doi.org/10.5194/essd-10-1185-2018
Related to:	Gonzalez, R; Dias, Joao Alveirinho; Lobo, Francisco J; Mendes, Isabel Maria de Paiva Pinto (2004): Sedimentological and paleoenvironmental characterisation of transgressive sediments on the Guadiana Shelf (Northern Gulf of Cadiz, SW Iberia). Quaternary International, 120(1), 133-144, https://doi.org/10.1016/j.quaint.2004.01.012
	Mendes, Isabel Maria de Paiva Pinto (2010): Benthic foraminifera as palaeo-environmental indicators in the Northern Gulf of Cadiz. Faculty of Science and Technology, University of Algarve
Original version:	Original data of surficial sediment texture from the Iberian Atlantic Margin Sediments Database (IBAM-Sed) (URI: https://store.pangaea.de/Publications/Coasta-etal_2017/PLOSscripts.zip)
Further details:	Costas, Susana; Ramires, Margarida; de Sousa, Luisa B; Mendes, Isabel Maria de Paiva Pinto; Ferreira, Óscar (2018): Shape files of surficial sediment texture from the Iberian Atlantic Margin Sediments Database (IBAM-Sed). PANGAEA, https://doi.org/10.1594/PANGAEA.890946
Coverage:	MEDIAN LATITUDE: 36.971847 * MEDIAN LONGITUDE: -7.132587 * SOUTH-BOUND LATITUDE: 36.502510 * WEST-BOUND LONGITUDE: -7.586892 * NORTH-BOUND LATITUDE: 37.191945 * EAST-BOUND LONGITUDE: -6.470706
	DATE/TIME START: 1999-01-13T00:00:00 * DATE/TIME END: 2001-11-14T00:00:00
	MINIMUM DEPTH, water: -422.00 m * MAXIMUM DEPTH, water: -3.00 m
Event(s):	IBAM-Sed_SIRIA * LATITUDE: 37.937800 * LONGITUDE: -7.003200 * DATE/TIME START: 1999-01-13T00:00:00 * DATE/TIME END: 2001-11-14T00:00:00 * METHOD/DEVICE: Dredge (DRG)
Comment:	SIRIA (2001). Reference Situation in the Algarve Coastal Region Influenced by Alqueva Dam
Parameter(s):	Sample ID (Sample ID) * PI: SIRIA Project Members * COMMENT: Sample number
	Sample ID (Sample ID) * PI: SIRIA Project Members * COMMENT: Acess number from laboratory
	Sample ID (Sample ID) * PI: SIRIA Project Members * COMMENT: Reference sample in the collect
	DATE/TIME (Date/Time) * GEOCODE * PI: SIRIA Project Members * COMMENT: of collecting
	Project (Project) * PI: SIRIA Project Members
	Sample method (Sample method) * PI: SIRIA Project Members
	LATITUDE (Latitude) * GEOCODE * PI: SIRIA Project Members * METHOD/DEVICE: Grain size, sieving
	LONGITUDE (Longitude) * GEOCODE * PI: SIRIA Project Members * METHOD/DEVICE: Grain size, sieving
	DEPTH, water [m] (Depth water) * GEOCODE * PI: SIRIA Project Members * METHOD/DEVICE: Grain size, sieving/pipette
	Gravel [%] (Gravel) * PI: SIRIA Project Members * METHOD/DEVICE: Grain size, sieving/pipette, moments method
	Sandstone [%] (Sdst) * PI: SIRIA Project Members * METHOD/DEVICE: Grain size, sieving/pipette, moments method
	Mudstone [%] (Mudstone) * PI: SIRIA Project Members * METHOD/DEVICE: Grain size, sieving/pipette, moments method
	Grain size, mean [phi] (Grain size mean) * PI: SIRIA Project Members * METHOD/DEVICE: Grain size, sieving/pipette, moments method
	Standard deviation [±] (Std dev) * PI: SIRIA Project Members * METHOD/DEVICE: Grain size, sieving/pipette, moments method * COMMENT: Of sample value
	Skewness (Skew) * PI: SIRIA Project Members * METHOD/DEVICE: Grain size, sieving/pipette, moments method
	Kurtosis (Kurt) * PI: SIRIA Project Members * METHOD/DEVICE: Grain size, sieving/pipette, moments method
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	6264 data points
*/
Sample ID (Sample number)	Sample ID (Acess number from laboratory)	Sample ID (Reference sample in the collect)	Date/Time (of collecting)	Project	Sample method	Latitude (Grain size, sieving)	Longitude (Grain size, sieving)	Depth water [m] (Grain size, sieving/pipette)	Gravel [%] (Grain size, sieving/pipette, ...)	Sdst [%] (Grain size, sieving/pipette, ...)	Mudstone [%] (Grain size, sieving/pipette, ...)	Grain size mean [phi] (Grain size, sieving/pipette, ...)	Std dev [±] (Of sample value, Grain size, ...)	Skew (Grain size, sieving/pipette, ...)	Kurt (Grain size, sieving/pipette, ...)
1	1	1	1999-01-13	SIRIA	SMT-Dredge SmitMacIntyre	37.0049	-7.4089	-92.80	0.06	0.94	99.00	8.260	2.140	-0.290	2.330
2	3	3	1999-01-13	SIRIA	SMT-Dredge SmitMacIntyre	37.0355	-7.4070	-74.90	0.00	0.60	99.40	8.330	2.150	-0.330	2.200
3	4	4	1999-01-13	SIRIA	SMT-Dredge SmitMacIntyre	37.0692	-7.4059	-42.50	0.00	1.10	98.90	7.850	2.250	-0.040	1.910
4	5	5	1999-01-13	SIRIA	SMT-Dredge SmitMacIntyre	37.0857	-7.4043	-29.70	9.06	23.26	67.68	4.930	3.840	-0.230	2.240
5	6	6	1999-01-13	SIRIA	SMT-Dredge SmitMacIntyre	37.1024	-7.4024	-16.90	16.45	74.75	8.80	0.380	2.630	2.250	8.860
6	7	7	1999-01-13	SIRIA	SMT-Dredge SmitMacIntyre	37.1161	-7.4083	-12.00	12.59	80.72	6.69	0.490	2.220	2.530	11.470
7	8	8	1999-01-13	SIRIA	SMT-Dredge SmitMacIntyre	37.1336	-7.4006	-8.70	1.99	63.05	34.96	3.440	2.440	1.010	4.980
8	9	9	1999-01-13	SIRIA	SMT-Dredge SmitMacIntyre	37.1418	-7.4321	-8.70	3.78	43.56	52.66	3.700	2.600	0.200	4.400
9	10	10	1999-01-13	SIRIA	SMT-Dredge SmitMacIntyre	37.1461	-7.4696	-8.70	26.84	51.55	21.61	1.210	3.420	1.270	3.920
10	11	11	1999-01-13	SIRIA	SMT-Dredge SmitMacIntyre	37.1414	-7.5055	-8.70	10.20	89.02	0.78	0.420	1.210	0.720	10.050
11	12	12	1999-01-13	SIRIA	SMT-Dredge SmitMacIntyre	37.1301	-7.5312	-9.80	7.30	92.00	0.70	0.480	1.040	0.190	13.170
12	13	13	1999-01-13	SIRIA	SMT-Dredge SmitMacIntyre	37.1201	-7.5600	-11.60	13.80	85.20	1.00	0.410	1.480	0.520	11.430
13	14	14	1999-01-13	SIRIA	SMT-Dredge SmitMacIntyre	37.1220	-7.4989	-19.00	15.20	68.90	15.90	1.190	2.800	0.960	5.110
14	15	15	1999-01-13	SIRIA	SMT-Dredge SmitMacIntyre	37.1077	-7.4951	-18.10	2.30	24.30	73.40	4.760	2.790	0.140	3.640
15	16	16	1999-01-13	SIRIA	SMT-Dredge SmitMacIntyre	37.0742	-7.4872	-42.40	0.00	1.00	99.00	7.920	2.220	-0.030	1.860
16	18	18	1999-01-13	SIRIA	SMT-Dredge SmitMacIntyre	37.0399	-7.4780	-79.20	0.00	0.70	99.30	8.440	2.050	-0.250	1.970
17	19	19	1999-01-13	SIRIA	SMT-Dredge SmitMacIntyre	37.0060	-7.4631	-91.40	1.50	19.70	78.80	6.910	3.190	-0.520	2.580
18	20	20	1999-01-13	SIRIA	SMT-Dredge SmitMacIntyre	37.0156	-7.5312	-96.00	2.00	18.60	79.40	6.930	3.290	-0.580	2.620
19	21	21	1999-01-13	SIRIA	SMT-Dredge SmitMacIntyre	37.0491	-7.5485	-75.00	0.00	1.50	98.50	8.040	2.220	-0.080	1.730
20	22	22	1999-01-13	SIRIA	SMT-Dredge SmitMacIntyre	37.0797	-7.5674	-28.00	17.20	78.00	4.80	0.200	2.090	3.090	15.000
21	23	23	1999-01-13	SIRIA	SMT-Dredge SmitMacIntyre	37.0936	-7.5745	-22.60	12.00	85.70	2.30	0.360	1.620	2.180	16.950
22	24	24	1999-01-13	SIRIA	SMT-Dredge SmitMacIntyre	37.1075	-7.5869	-12.00	5.70	93.40	0.90	0.720	1.110	1.050	13.990
23	27	27	1999-09-08	SIRIA	SMT-Dredge SmitMacIntyre	37.1383	-7.3857	-13.00	3.34	66.03	30.63	3.540	2.280	0.490	6.960
24	28	28	1999-09-08	SIRIA	SMT-Dredge SmitMacIntyre	37.1319	-7.3663	-14.00	1.50	92.00	6.50	1.840	1.640	2.910	15.890
25	29	29	1999-09-08	SIRIA	SMT-Dredge SmitMacIntyre	36.9955	-7.3352	-95.00	0.00	2.60	97.40	7.990	2.270	-0.130	1.850
26	30	30	1999-09-08	SIRIA	SMT-Dredge SmitMacIntyre	37.0326	-7.3170	-69.00	0.00	10.80	89.20	7.560	2.710	-0.390	2.160
27	31	31	1999-09-08	SIRIA	SMT-Dredge SmitMacIntyre	37.0603	-7.3236	-50.00	0.00	3.00	97.00	7.820	2.350	-0.080	1.770
28	32	32	1999-09-08	SIRIA	SMT-Dredge SmitMacIntyre	37.0856	-7.3295	-33.00	14.40	36.80	48.80	3.810	4.440	0.190	1.730
