,Sample_ID,d50,dataset,Date,tanBeta,latitude,longitude,geometry,dir,hs_mean,hs_max,tp,dist
998,McGill 30th Street,0.8099279316578671,sandsnap,2021-06-11,0.175,25.80536,-80.12286,POINT (-80.12286 25.80536),,,,,0.011730846457581955
1001,10514,0.39777617915714203,rossi,1992-08-18,0.115,25.97585,-80.11782,POINT (-80.11781999999999 25.97585),30.70000029,0.34000000399999997,0.349999994,8.146250188,0.05660661711160376
1002,10515,1.1080298875014198,rossi,1992-08-18,0.115,25.97585,-80.11780999999999,POINT (-80.11780999999999 25.97585),30.70000029,0.34000000399999997,0.349999994,8.146250188,0.05659756428345116
1003,10516,0.8597592982621222,rossi,1992-08-18,0.115,25.97585,-80.1178,POINT (-80.1178 25.97585),30.70000029,0.34000000399999997,0.349999994,8.146250188,0.05658851177421542
1004,10517,0.164488241809699,rossi,1992-08-18,0.115,25.97585,-80.11779,POINT (-80.11779 25.97585),30.70000029,0.34000000399999997,0.349999994,8.146250188,0.05657945958402388
1005,10518,0.183525564396577,rossi,1992-08-18,0.115,25.97585,-80.11777,POINT (-80.11776999999999 25.97585),30.70000029,0.34000000399999997,0.349999994,8.146250188,0.056561356161424756
1006,10519,0.119581516795703,rossi,1992-08-18,0.115,25.97585,-80.11776,POINT (-80.11776 25.97585),30.70000029,0.34000000399999997,0.349999994,8.146250188,0.056552304929336626
1007,10508,0.390942769121627,rossi,1992-08-18,0.11,25.99525,-80.11717,POINT (-80.11717 25.99525),30.70000029,0.34000000399999997,0.349999994,8.146250188,0.05080868086085768
1008,10510,0.48802345853955603,rossi,1992-08-18,0.11,25.99525,-80.11714,POINT (-80.11714000000001 25.99525),30.70000029,0.34000000399999997,0.349999994,8.146250188,0.05077880657145222
1009,10511,0.18213160303208803,rossi,1992-08-18,0.11,25.99525,-80.11713,POINT (-80.11713 25.99525),30.70000029,0.34000000399999997,0.349999994,8.146250188,0.050768848507925
1010,10509,0.326925748725472,rossi,1992-08-18,0.11,25.99525,-80.11716,POINT (-80.11716 25.99525),30.70000029,0.34000000399999997,0.349999994,8.146250188,0.050798722747921174
1011,10512,0.159768762874383,rossi,1992-08-18,0.11,25.99525,-80.11712,POINT (-80.11712 25.99525),30.70000029,0.34000000399999997,0.349999994,8.146250188,0.05075889046088692
1012,10513,0.142898309840569,rossi,1992-08-18,0.11,25.99525,-80.11711,POINT (-80.11711 25.99525),30.70000029,0.34000000399999997,0.349999994,8.146250188,0.0507489324303477
1013,10501,0.423674093093585,rossi,1992-08-18,,26.017,-80.11525,POINT (-80.11525 26.017),30.70000029,0.34000000399999997,0.349999994,8.146250188,0.05159380626413023
1014,10500,0.45597433366142104,rossi,1992-08-18,,26.017,-80.11525999999999,POINT (-80.11525999999999 26.017),30.70000029,0.34000000399999997,0.349999994,8.146250188,0.051603240817021646
1015,10505,0.207624570825019,rossi,1992-08-18,,26.017,-80.11522,POINT (-80.11521999999999 26.017),30.70000029,0.34000000399999997,0.349999994,8.146250188,0.051565503884085886
1016,10504,0.400265338230365,rossi,1992-08-18,,26.017,-80.11523000000001,POINT (-80.11523000000001 26.017),30.70000029,0.34000000399999997,0.349999994,8.146250188,0.0515749377975521
1017,10503,1.13131144158406,rossi,1992-08-18,,26.017,-80.11524,POINT (-80.11524 26.017),30.70000029,0.34000000399999997,0.349999994,8.146250188,0.05158437192425914
1018,10506,0.167595553635906,rossi,1992-08-18,,26.01701,-80.1152,POINT (-80.1152 26.01701),30.70000029,0.34000000399999997,0.349999994,8.146250188,0.0515499558954266
1019,10494,0.520157492435186,rossi,1992-08-18,0.09,26.039379999999998,-80.11401,POINT (-80.11400999999999 26.03938),31.64625001,0.335000001,0.360000014,8.137500048,0.05467230624212198
1020,10499,0.214351154915605,rossi,1992-08-18,0.09,26.039379999999998,-80.11394,POINT (-80.11394 26.03938),31.64625001,0.335000001,0.360000014,8.137500048,0.054611582506213445
1021,10498,0.260804735425866,rossi,1992-08-18,0.09,26.039379999999998,-80.11395999999999,POINT (-80.11395999999999 26.03938),31.64625001,0.335000001,0.360000014,8.137500048,0.054628929879984044
1022,10497,0.506635906791746,rossi,1992-08-18,0.09,26.039379999999998,-80.11397,POINT (-80.11396999999999 26.03938),31.64625001,0.335000001,0.360000014,8.137500048,0.05463760424682358
1023,10496,0.9408273496748829,rossi,1992-08-18,0.09,26.039379999999998,-80.11398,POINT (-80.11398 26.03938),31.64625001,0.335000001,0.360000014,8.137500048,0.05464627906667402
1024,10495,0.499314839326603,rossi,1992-08-18,0.09,26.039379999999998,-80.11399,POINT (-80.11399 26.03938),31.64625001,0.335000001,0.360000014,8.137500048,0.054654954339319654
1025,10492,0.18150148917042602,rossi,1992-08-18,0.155,26.05046,-80.11211999999999,POINT (-80.11211999999999 26.05046),31.64625001,0.335000001,0.360000014,8.137500048,0.04830863632759585
1026,10491,0.23998972883834602,rossi,1992-08-18,0.155,26.05046,-80.11213000000001,POINT (-80.11213000000001 26.05046),31.64625001,0.335000001,0.360000014,8.137500048,0.048318064549746784
1027,10488,0.536265541472147,rossi,1992-08-18,0.155,26.05046,-80.11216999999999,POINT (-80.11216999999999 26.05046),31.64625001,0.335000001,0.360000014,8.137500048,0.04835577973554003
1028,10490,0.456923471584529,rossi,1992-08-18,0.155,26.05046,-80.11214,POINT (-80.11214 26.05046),31.64625001,0.335000001,0.360000014,8.137500048,0.04832749300173237
1029,10487,0.652031403463052,rossi,1992-08-18,0.155,26.05046,-80.11218000000001,POINT (-80.11218000000001 26.05046),31.64625001,0.335000001,0.360000014,8.137500048,0.04836520910565414
1030,10489,1.1072621424381202,rossi,1992-08-18,0.155,26.05046,-80.11215,POINT (-80.11215 26.05046),31.64625001,0.335000001,0.360000014,8.137500048,0.048336921683458295
1032,10484,0.279523174957072,rossi,1991-07-24,0.11,26.07231,-80.10984,POINT (-80.10984000000001 26.07231),133.0125008,0.2225,0.25999999,2.627500027,0.043645963557163533
1034,10483,1.15909224779422,rossi,1991-07-24,0.11,26.0724,-80.11039,POINT (-80.11039 26.0724),133.0125008,0.2225,0.25999999,2.627500027,0.04420302871786418
1035,10482,0.558650609518722,rossi,1991-07-24,0.11,26.0724,-80.11049,POINT (-80.11049 26.0724),133.0125008,0.2225,0.25999999,2.627500027,0.04430215488926715
1036,10481,0.339629509910525,rossi,1991-07-24,0.11,26.07241,-80.11063,POINT (-80.11063 26.07241),133.0125008,0.2225,0.25999999,2.627500027,0.04444225272005025
1038,10478,0.16911253423730202,rossi,1991-07-24,0.13,26.08081,-80.10908,POINT (-80.10908000000001 26.08081),133.0125008,0.2225,0.25999999,2.627500027,0.044830107258774274
1040,10477,0.869949976173726,rossi,1991-07-24,0.13,26.08087,-80.10946,POINT (-80.10946 26.08087),133.0125008,0.2225,0.25999999,2.627500027,0.04520951982528265
1041,10476,0.489039308638281,rossi,1991-07-24,0.13,26.08087,-80.10951,POINT (-80.10951 26.08087),133.0125008,0.2225,0.25999999,2.627500027,0.045256952756817015
1042,10475,0.279716988625421,rossi,1991-07-24,0.13,26.08091,-80.11007,POINT (-80.11006999999999 26.08091),133.0125008,0.2225,0.25999999,2.627500027,0.04580108916643926
1045,10472,0.970635095965,rossi,1991-07-24,0.1,26.089029999999998,-80.10885999999999,POINT (-80.10885999999999 26.08903),133.0125008,0.2225,0.25999999,2.627500027,0.04788401773903247
1046,10471,0.48431669513356895,rossi,1991-07-24,0.1,26.08904,-80.10902,POINT (-80.10902 26.08904),133.0125008,0.2225,0.25999999,2.627500027,0.048030049862901554
1047,10469,0.529249486736145,rossi,1991-07-24,0.1,26.08904,-80.10904000000001,POINT (-80.10904000000001 26.08904),133.0125008,0.2225,0.25999999,2.627500027,0.04804772550114468
1049,10581,0.878432932774612,rossi,1981-01-01,,26.2428,-80.08707,POINT (-80.08707 26.2428),,,,,0.03138123717934791
1050,10580,0.6935209784234251,rossi,1981-01-01,,26.242820000000002,-80.0872,POINT (-80.0872 26.24282),,,,,0.031451196226952936
1051,10579,0.57435607122742,rossi,1981-01-01,,26.24284,-80.08731999999999,POINT (-80.08731999999999 26.24284),,,,,0.031514965069092904
1052,HBFL01,0.476595228255736,sandsnap,2021-06-11,0.095,26.294590000000003,-80.07762,POINT (-80.07762 26.29459),,,,,0.030124758809101086
1054,10153,0.23261975738441298,rossi,2004-04-24,0.075,26.34177,-80.06953,POINT (-80.06953 26.34177),100.73500059999999,0.530000001,0.699999988,3.852499992,0.009036170546804941
1055,10152,0.31165816331334806,rossi,2004-04-24,0.075,26.341790000000003,-80.06979,POINT (-80.06979 26.34179),100.73500059999999,0.530000001,0.699999988,3.852499992,0.009143249277525863
1057,10155,0.30376703220987605,rossi,2004-04-24,0.075,26.341820000000002,-80.07011999999999,POINT (-80.07011999999999 26.34182),100.73500059999999,0.530000001,0.699999988,3.852499992,0.009292192591143117
1058,10154,0.296075703189014,rossi,2004-04-24,0.075,26.34184,-80.07034,POINT (-80.07034 26.34184),100.73500059999999,0.530000001,0.699999988,3.852499992,0.009396669641472786
1059,PBCFL-R219-012720,0.421527065714894,sandsnap,2021-09-15,0.075,26.347279999999998,-80.07016999999999,POINT (-80.07016999999999 26.34728),,,,,0.014501921967478038
1062,10147,0.238828136872846,rossi,2004-04-24,0.07,26.35032,-80.06885,POINT (-80.06885 26.35032),100.73500059999999,0.530000001,0.699999988,3.852499992,0.01723991494036266
1063,10146,0.329884896555797,rossi,2004-04-24,0.07,26.35035,-80.06917,POINT (-80.06917 26.35035),100.73500059999999,0.530000001,0.699999988,3.852499992,0.017314730288136525
1064,10150,0.295665548352618,rossi,2004-04-24,0.07,26.35036,-80.0693,POINT (-80.0693 26.35036),100.73500059999999,0.530000001,0.699999988,3.852499992,0.017344572625201598
1065,10149,0.260443441599869,rossi,2004-04-24,0.07,26.350379999999998,-80.06956,POINT (-80.06956 26.35038),100.73500059999999,0.530000001,0.699999988,3.852499992,0.017407033887220737
1066,01282020 DELRAY FL,0.119090842104821,sandsnap,2021-09-15,0.17,26.44128,-80.06045,POINT (-80.06045 26.44128),,,,,0.06560921455614643
1068,01282020 Delray Beach 3,0.842604915865985,sandsnap,2021-09-15,0.09,26.47232,-80.05573000000001,POINT (-80.05573000000001 26.47232),,,,,0.05611750981890963
1078,22707,0.25828616494725803,rossi,2007-02-07,0.075,26.60385,-80.03690999999999,POINT (-80.03690999999999 26.60385),27.74750018,0.802499995,1.039999962,5.581250012000001,0.037211863859601485
1099,01292020 Boynton Beach Inlet,0.987732821946695,sandsnap,2021-09-15,0.075,26.544079999999997,-80.04351,POINT (-80.04351 26.54408),,,,,0.044930834706571346
1117,15603,0.4710733123413429,rossi,1995-01-06,0.105,27.0525,-80.10833000000001,POINT (-80.10833000000001 27.0525),67.7324996,1.147499993,1.4400000569999998,5.642499924,0.04406216312515711
1118,15605,0.23037336698535602,rossi,1995-01-06,0.105,27.0525,-80.10833000000001,POINT (-80.10833000000001 27.0525),67.7324996,1.147499993,1.4400000569999998,5.642499924,0.04406216312515711
1119,15598,0.503485253353237,rossi,1995-01-06,0.105,27.0525,-80.10833000000001,POINT (-80.10833000000001 27.0525),67.7324996,1.147499993,1.4400000569999998,5.642499924,0.04406216312515711
1120,15608,0.18416270518602199,rossi,1995-01-06,0.105,27.0525,-80.10833000000001,POINT (-80.10833000000001 27.0525),67.7324996,1.147499993,1.4400000569999998,5.642499924,0.04406216312515711
1121,15599,0.44659071857611,rossi,1995-01-06,0.105,27.0525,-80.10833000000001,POINT (-80.10833000000001 27.0525),67.7324996,1.147499993,1.4400000569999998,5.642499924,0.04406216312515711
1122,15601,0.7264875495211559,rossi,1995-01-06,0.105,27.0525,-80.10833000000001,POINT (-80.10833000000001 27.0525),67.7324996,1.147499993,1.4400000569999998,5.642499924,0.04406216312515711
