Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Sample comment,Date/Time (of collecting),Project,Sample method,Latitude,Longitude,Elevation [m a.s.l.] (Relative to mean sea level (m)),"Gravel [%] (Grain size, sieving)","Sdst [%] (Grain size, sieving)","Mudstone [%] (Grain size, sieving/pipette)","Grain size mean [phi] (Grain size, sieving/pipette, ...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving/pipette, ...)","Kurt (Grain size, sieving/pipette, ...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)","Mode [phi] (3rd Mode sample value, Grain ...)"
1,2243,FN_P1_Face,Beach face,2/6/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0593,-8.0846,1.49,0,100,0,1.594,0.479,0.003,0.99,1.747,,
2,2244,FN_P1_Berma,Berm,2/6/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0595,-8.0845,4.29,0.2,99.3,0.5,0.979,0.63,0.098,1.019,0.747,,
3,2247,FN_P2_Face,Beach face,2/6/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0596,-8.0851,1.4,0.1,99.9,0,0.869,0.524,0.112,1.08,0.747,,
4,2248,FN_P2_Berma,Berm,2/6/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0597,-8.085,3.81,0.2,99.8,0,1.152,0.626,-0.014,0.99,1.247,,
5,2251,FN_P3_Face,Beach face,2/6/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0598,-8.0856,1.29,0.2,99.8,0,1.46,0.477,0.062,1.045,1.247,,
6,2252,FN_P3_Berma,Berm,2/6/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.06,-8.0854,3.46,0,100,0,1.544,0.538,-0.033,1.021,1.747,,
7,2254,FN_P4_ Face,Beach face,2/6/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0601,-8.086,1.26,0.5,99.5,0,1.061,0.822,-0.11,0.938,1.247,,
8,2255,FN_P4_Berma,Berm,2/6/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0602,-8.0859,3.56,0,100,0,1.253,0.572,-0.007,1.026,1.247,,
9,2258,FN_P5_Face,Beach face,2/6/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0603,-8.0865,1.45,0,100,0,1.416,0.551,-0.042,0.986,1.747,,
10,2259,FN_P5_Berma,Berm,2/6/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0604,-8.0864,3.36,0.4,99.6,0,1.227,0.889,-0.088,0.885,1.747,,
11,2261,FN_P6_Face,Beach face,2/6/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0606,-8.087,0.98,0.8,99.2,0,1.27,0.646,-0.039,0.996,1.247,,
12,2262,FN_P6_Berma,Berm,2/6/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0607,-8.0869,2.8,0.1,99.9,0,1.206,0.657,-0.051,0.996,1.247,,
13,2265,FN_P7_Face,Beach face,2/6/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0608,-8.0874,1.26,0,100,0,1.196,0.473,0.033,0.924,1.247,,
14,2266,FN_P7_Berma,Berm,2/6/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0609,-8.0873,3.29,0.2,99.8,0,0.835,0.671,-0.011,0.953,0.747,,
15,2268,FN_P8_Face,Beach face,2/6/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0611,-8.0879,1.15,0.3,99.7,0,0.953,0.468,0.083,1.06,0.747,,
16,2269,FN_P8_Berma,Berm,2/6/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0613,-8.0878,3.52,0.1,99.9,0,1.272,0.538,0.016,1.01,1.247,,
17,1137A,Deposito,Deposit,2/6/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0614,-8.0879,3.66,0,85.9,14.1,1.522,1.713,0.451,1.89,1.247,0.247,
18,1138A,Arriba,Cliff,2/6/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0606,-8.0866,13.31,1.5,84.4,14.2,1.415,1.722,0.461,1.925,0.247,1.247,
19,2357,FN_P1_Face,Beach face,7/16/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.059,-8.0849,1.73,0,100,0,1.645,0.657,0.233,1.006,1.247,,
20,2358,FN_P1_BermaI a,Berm,7/16/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0593,-8.0847,3.89,21.2,78.8,0,-0.18,1.113,-0.123,1.071,-0.243,-2.743,
21,2359,FN_P1_BermaF b,Berm,7/16/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0591,-8.0848,3.81,15.5,84.5,0,0.035,1.017,-0.079,1.007,0.747,,
22,2360,FN_P2_Face,Beach face,7/16/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0592,-8.0854,1.46,0,100,0,1.464,0.61,0.233,1.074,1.247,,
23,2361,FN_P2_BermaI a,Berm,7/16/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0596,-8.0851,4.05,12.1,87.9,0,0.164,0.981,-0.11,1.082,0.747,,
24,2362,FN_P2_BermaF b,Berm,7/16/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0594,-8.0853,3.76,12.4,87.5,0.1,0.415,1.275,-0.07,1.172,0.747,,
25,2363,FN_P3_Face,Beach face,7/16/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0595,-8.0859,1.27,0.2,99.8,0,1.548,0.643,0.119,0.978,1.247,,
26,2364,FN_P3_BermaI a,Berm,7/16/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0599,-8.0856,4.08,19.7,80.3,0,-0.107,1.088,-0.149,1.022,0.247,-2.743,
27,2365,FN_P3_BermaF b,Berm,7/16/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0596,-8.0858,3.85,19.6,80.4,0,-0.16,0.988,-0.064,0.934,-0.243,,
28,2366,FN_P4_Face,Beach face,7/16/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0597,-8.0863,1.15,0,100,0,1.294,0.62,0.254,1.011,1.247,,
29,2367,FN_P4_BermaI a,Berm,7/16/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0601,-8.086,3.9,26.6,73.4,0,-0.396,1.037,-0.108,1.052,-0.243,-3.243,
30,2368,FN_P4_BermaF b,Berm,7/16/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0599,-8.0862,3.84,14.6,85.4,0,0.058,0.987,-0.123,0.969,0.747,,
31,2369,FN_P5_Face,Beach face,7/16/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.06,-8.0868,1.31,0.8,99.2,0,1.499,0.726,0.127,0.914,1.247,,
32,2370,FN_P5_BermaI a,Berm,7/16/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0604,-8.0865,3.83,30.1,69.9,0,-0.485,1.063,-0.099,0.975,-0.743,-3.243,
33,2371,FN_P5_BermaF b,Berm,7/16/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0601,-8.0867,3.69,23.1,76.9,0,-0.265,1.039,-0.102,1.007,0.247,,
34,2372,FN_P6_Face,Beach face,7/16/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0603,-8.0873,1.28,0,100,0,1.264,0.58,0.225,1.183,1.247,,
35,2373,FN_P6_BermaI a,Berm,7/16/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0606,-8.0869,3.86,34.6,65.4,0,-0.679,1.147,-0.157,1.121,-0.743,-3.243,
36,2374,FN_P6_BermaF b,Berm,7/16/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0604,-8.0872,3.8,23.2,76.8,0,-0.278,0.984,-0.056,0.936,-0.243,,
37,2375,FN_P7_Face,Beach face,7/16/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0605,-8.0877,1.71,0,100,0,1.581,0.648,0.222,1.023,1.247,,
38,2376,FN_P7_BermaI a,Berm,7/16/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0609,-8.0874,3.85,33.7,66.3,0,-0.666,1.317,-0.239,1.103,-0.743,-2.743,-4.243
39,2377,FN_P7_BermaF b,Berm,7/16/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0606,-8.0876,3.73,17.4,82.6,0,-0.076,,-0.134,0.985,0.747,,
40,2378,FN_P8_Face,Beach face,7/16/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0608,-8.0881,1.81,0,100,0,1.704,0.521,0.148,0.933,1.747,,
41,2379,FN_P8_BermaI a,Berm,7/16/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0612,-8.0878,3.81,27.1,72.9,0,-0.415,1.081,-0.145,1.081,-0.243,-2.743,
42,2380,FN_P8_BermaF b,Berm,7/16/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0609,-8.088,3.71,20.8,79.2,0,-0.218,1.013,-0.046,1.016,-0.243,,
43,2408,FN_P3_Sup a,Cliff face,7/15/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0607,-8.0868,5.85,3.6,87.1,9.3,1.144,1.776,0.408,1.498,0.247,3.237,
44,2409,FN_P3_Inf b,Cliff face,7/15/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0607,-8.0868,5.85,0.2,89.4,10.4,1.396,1.397,0.276,2.233,1.247,,
45,2410,FN_P5_Sup a,Cliff face,7/15/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0603,-8.0859,5.73,1.5,87.2,11.3,1.288,1.725,0.377,1.612,0.247,,
46,2411,FN_P5_Inf b,Cliff face,7/15/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0603,-8.0859,5.73,0.5,84.5,15,1.583,1.747,0.42,2.105,1.247,,
47,2412,FN_P7_Sup a,Cliff face,7/15/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0597,-8.085,4,0.9,88,11.1,1.369,1.678,0.303,1.606,1.247,0.247,
48,2413,FN_P7_Sup_Solo c,Cliff face,7/15/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0597,-8.085,4,2.3,77.2,20.5,2.486,2.067,0.537,1.763,1.747,,
49,2414,FN_P7_Inf b,Cliff face,7/15/2010,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0597,-8.085,4,0.8,85.3,13.9,1.615,1.696,0.246,1.878,1.747,,
50,2456,FN_P3_FP,Beach face,1/31/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0593,-8.0853,1.89,0.1,99.9,0,0.981,0.52,0.019,1.026,0.747,,
51,2455,FN_P3_BA,Berm,1/31/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0593,-8.0853,2.44,0.2,99.8,0,0.779,0.55,-0.006,1.03,0.747,,
52,2454,FN_P3_BNA,Berm,1/31/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0594,-8.0852,3.88,0.2,99.8,0,0.891,0.581,0.036,1.053,0.747,,
53,2453,FN_P3_E,Landslide,1/31/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0598,-8.085,4.87,1.2,86.8,12,1.533,1.688,0.178,1.739,1.747,,
54,2452,FN_P5_FP,Beach face,1/31/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0597,-8.0863,1.42,0.2,99.8,0,0.622,0.594,-0.016,1.012,0.747,,
55,2451,FN_P5_BA,Berm,1/31/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0598,-8.0863,2.76,0.8,99.2,0,0.391,0.524,-0.005,1.011,0.247,,
56,2450,FN_P5_BNA,Berm,1/31/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0599,-8.0862,4.63,1.8,98.2,0,0.801,0.64,-0.022,1.125,0.747,,
