Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Sample comment,Date/Time (of collecting),Project,Sample method,Latitude (WGS1984),Longitude (WGS1984),Elevation [m a.s.l.] (Relative to mean sea level (m)),"Gravel [%] (Grain size, sieving)","Sdst [%] (Grain size, sieving)","Mudstone [%] (Grain size, sieving/pipette)","Grain size mean [phi] (Grain size, sieving/pipette, ...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving/pipette, ...)","Kurt (Grain size, sieving/pipette, ...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)","Obs (Grain size, sieving/pipette, ...)"
1,1A,P1/cabecoBMB,Berm,11/14/1996,Coastal Monitoring,Hand-Collecting,37.1454,-7.567,8,3.12,96.88,0,0.44,0.612,-0.19,,,,Before beach nourishment
2,2A,P1/MM.Face_Praia,Beach face,11/14/1996,Coastal Monitoring,Hand-Collecting,37.1449,-7.567,4,3.54,96.46,0,1.055,0.993,-0.914,,1.75,,Before beach nourishment
3,3A,P1/MB.Terraco,Low tide terrace,11/14/1996,Coastal Monitoring,Hand-Collecting,37.1445,-7.567,3,3.44,96.56,0,0.572,0.773,-0.279,,0.75,,Before beach nourishment
4,4A,P2/GO.Galgamento,Nourishment,11/14/1996,Coastal Monitoring,Hand-Collecting,37.1465,-7.562,1,0,100,0,1.43,0.214,-0.077,,,,Before beach nourishment
5,5A,P2/D.Duna,Dune,11/14/1996,Coastal Monitoring,Hand-Collecting,37.1464,-7.562,8,0,100,0,1.634,0.173,-0.362,,1.25,,Before beach nourishment
6,6A,P2/MM.Face_Praia,Beach face,11/14/1996,Coastal Monitoring,Hand-Collecting,37.1462,-7.562,4,0.36,99.64,0,0.78,0.675,0.121,,0.25,,Before beach nourishment
7,7A,P2/MB.Terraco,Low tide terrace,11/14/1996,Coastal Monitoring,Hand-Collecting,37.1459,-7.562,3,4.5,95.5,0,0.887,1.119,-0.481,,1.75,0.25,Before beach nourishment
8,8A,P3/D.Duna,Dune,11/14/1996,Coastal Monitoring,Hand-Collecting,37.148,-7.557,7,0,100,0,1.796,0.181,-0.311,,1.75,,Before beach nourishment
9,9A,P3/MA.Berma,Berm,11/14/1996,Coastal Monitoring,Hand-Collecting,37.1479,-7.557,5,0.92,99.08,0,1.257,0.626,-0.876,,1.75,,Before beach nourishment
10,10A,P3/MM.Face_Praia,Beach face,11/14/1996,Coastal Monitoring,Hand-Collecting,37.1477,-7.557,3,0.27,99.73,0,1.152,0.538,-0.331,,1.75,,Before beach nourishment
