Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Date/Time (of collecting),Project,Sample method,Latitude,Longitude,"Gravel [%] (Grain size, sieving)","Sdst [%] (Grain size, sieving)","Mudstone [%] (Grain size, sieving)","Grain size mean [phi] (Grain size, sieving, Folk and...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving, Folk and...)","Kurt (Grain size, sieving, Folk and...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)","Mode [phi] (3rd Mode sample value, Grain ...)"
1,940,HM1,7/31/2003,CRIDA_HM.Beaches Guadiana,Hand-Collecting,37.16861,-7.403056,4,95.5,0.5,1.797,1.049,-0.236,0.756,2.737,1.747,0.747
2,941,HM2,7/31/2003,CRIDA_HM.Beaches Guadiana,Hand-Collecting,37.17022,-7.408139,2,97.8,0.2,1.131,0.751,0.336,1.082,0.747,1.747,
3,942,HM3,7/31/2003,CRIDA_HM.Beaches Guadiana,Hand-Collecting,37.1715,-7.413444,5.7,94.2,0.1,1.143,0.912,0.111,1.38,1.747,0.747,2.737
4,943,HM4,7/31/2003,CRIDA_HM.Beaches Guadiana,Hand-Collecting,37.17381,-7.424417,1.7,98,0.3,2.115,0.622,0.2,0.844,1.747,2.737,
5,944,HM5,7/31/2003,CRIDA_HM.Beaches Guadiana,Hand-Collecting,37.17597,-7.436528,0,99.9,0.1,1.393,0.52,-0.454,0.588,1.747,0.747,
6,945,HM6,7/31/2003,CRIDA_HM.Beaches Guadiana,Hand-Collecting,37.17653,-7.447917,0.1,99.8,0.1,1.444,0.656,-0.214,0.89,1.747,0.747,2.737
7,946,HM7,7/31/2003,CRIDA_HM.Beaches Guadiana,Hand-Collecting,37.17664,-7.45925,0,9.9,0.1,1.974,0.612,0.255,2.331,1.747,2.737,0.747
8,947,HM8,7/31/2003,CRIDA_HM.Beaches Guadiana,Hand-Collecting,37.17533,-7.470611,0.5,99.4,0.1,1.479,0.613,-0.285,0.99,1.747,0.747,
9,948,HM9,7/31/2003,CRIDA_HM.Beaches Guadiana,Hand-Collecting,37.17319,-7.481667,0.6,99.3,0.1,0.768,0.408,0.035,2.55,0.747,1.747,
10,949,HM10,7/31/2003,CRIDA_HM.Beaches Guadiana,Hand-Collecting,37.17061,-7.492806,2.3,97.6,0.1,0.459,0.499,-0.545,0.665,0.747,-0.243,
11,950,HM11,7/31/2003,CRIDA_HM.Beaches Guadiana,Hand-Collecting,37.16778,-7.50375,3.1,96.9,0,0.48,0.65,-0.253,0.973,0.747,-0.243,1.747
12,951,HM12,7/31/2003,CRIDA_HM.Beaches Guadiana,Hand-Collecting,37.16711,-7.3785,0,99.9,0.1,1.74,0.37,-0.034,2.463,1.747,,
13,952,HM13,7/31/2003,CRIDA_HM.Beaches Guadiana,Hand-Collecting,37.16744,-7.381778,0,99.9,0.1,1.987,0.46,0.557,1.688,1.747,2.737,
14,953,HM14,7/31/2003,CRIDA_HM.Beaches Guadiana,Hand-Collecting,37.17175,-7.395472,0,99.9,0.1,1.771,0.378,0.069,2.4,1.747,2.737,
15,954,HM15,7/31/2003,CRIDA_HM.Beaches Guadiana,Hand-Collecting,37.18369,-7.400528,0.3,99.6,0.1,2.037,0.579,0.32,0.903,1.747,2.737,
16,955,HM16,7/31/2003,CRIDA_HM.Beaches Guadiana,Hand-Collecting,37.17814,-7.397194,11.5,88.3,0.2,1.051,1.375,-0.019,0.903,1.747,0.747,-0.243
17,956,HM17,7/31/2003,CRIDA_HM.Beaches Guadiana,Hand-Collecting,37.17467,-7.386917,13.5,85.3,1.2,1.165,1.406,-0.674,2.299,1.747,0.747,
18,957,HM18,7/31/2003,CRIDA_HM.Beaches Guadiana,Hand-Collecting,37.17192,-7.376111,32.5,67.4,0.1,0.127,1.884,-0.419,0.747,1.747,-2.243,0.747
19,958,HM19,7/31/2003,CRIDA_HM.Beaches Guadiana,Hand-Collecting,37.17331,-7.366306,3.1,96.7,0.2,1.615,1.059,-0.004,0.733,0.747,2.737,1.747
20,959,HM20,7/31/2003,CRIDA_HM.Beaches Guadiana,Hand-Collecting,37.17592,-7.355472,0.7,98.9,0.4,1.913,0.961,-0.016,1.051,2.737,1.747,0.747
21,960,HM21,7/31/2003,CRIDA_HM.Beaches Guadiana,Hand-Collecting,37.17933,-7.345306,0.9,99,0.1,1.745,0.712,-0.009,2.428,1.747,2.737,0.747
22,961,HM22,7/31/2003,CRIDA_HM.Beaches Guadiana,Hand-Collecting,37.19017,-7.32225,0.6,99.2,0.2,1.826,0.803,-0.009,0.944,1.747,2.737,0.747
23,962,HM23,7/31/2003,CRIDA_HM.Beaches Guadiana,Hand-Collecting,37.19336,-7.312472,21.7,78.2,0.1,0.373,1.669,-0.33,1.17,0.747,1.747,-0.243
24,963,HM24,7/31/2003,CRIDA_HM.Beaches Guadiana,Hand-Collecting,37.19825,-7.294778,0.6,99.3,0.1,1.505,0.568,-0.329,2.382,1.747,0.747,
25,964,HM1,12/5/2003,CRIDA_HM.Beaches Guadiana,Hand-Collecting,37.16861,-7.403056,0.1,99.9,0,2.118,0.623,0.199,0.833,1.747,2.737,
26,965,HM2,12/5/2003,CRIDA_HM.Beaches Guadiana,Hand-Collecting,37.17022,-7.408139,0.3,99.7,0,2.139,0.518,0.408,0.585,1.747,2.737,
27,966,HM3,12/5/2003,CRIDA_HM.Beaches Guadiana,Hand-Collecting,37.1715,-7.413444,0,100,0,1.742,0.712,-0.006,2.381,1.747,0.747,2.737
28,967,HM4,12/5/2003,CRIDA_HM.Beaches Guadiana,Hand-Collecting,37.17381,-7.424417,0,100,0,2.087,0.596,0.279,0.819,1.747,2.737,
29,968,HM5,12/5/2003,CRIDA_HM.Beaches Guadiana,Hand-Collecting,37.17597,-7.436528,0.3,99.7,0,1.405,0.679,-0.129,0.851,0.747,1.747,2.737
30,969,HM6,12/5/2003,CRIDA_HM.Beaches Guadiana,Hand-Collecting,37.17653,-7.447917,0.5,99.5,0,1.697,0.75,-0.038,2.281,1.747,0.747,2.737
31,970,HM7,12/5/2003,CRIDA_HM.Beaches Guadiana,Hand-Collecting,37.16694,-7.3775,0.3,99.7,0,1.143,0.733,0.362,1.039,0.747,1.747,
32,971,HM8,12/5/2003,CRIDA_HM.Beaches Guadiana,Hand-Collecting,37.17664,-7.45925,0,100,0,1.535,0.576,-0.283,2.448,1.747,0.747,
33,972,HM9,12/5/2003,CRIDA_HM.Beaches Guadiana,Hand-Collecting,37.17533,-7.470611,1.1,98.9,0,1.394,0.768,-0.312,1.086,1.747,0.747,2.737
34,973,HM10,12/5/2003,CRIDA_HM.Beaches Guadiana,Hand-Collecting,37.17319,-7.481667,1.4,98.6,0,1.097,0.68,0.144,0.865,0.747,1.747,-0.243
35,974,HM11,12/5/2003,CRIDA_HM.Beaches Guadiana,Hand-Collecting,37.17061,-7.492806,4.9,98.1,0,0.689,0.851,0.01,0.927,0.747,-0.243,1.747
36,975,HM12,12/5/2003,CRIDA_HM.Beaches Guadiana,Hand-Collecting,37.16778,-7.50375,0,100,0,2.096,0.505,0.491,0.601,1.747,2.737,
37,976,HM13,12/5/2003,CRIDA_HM.Beaches Guadiana,Hand-Collecting,37.16833,-7.382778,0.1,99.9,0,2.124,0.521,0.407,0.587,1.747,2.737,
38,977,HM14,12/5/2003,CRIDA_HM.Beaches Guadiana,Hand-Collecting,37.17194,-7.395833,0,100,0,1.773,0.404,0.039,2.486,1.747,2.737,
39,978,HM15,12/5/2003,CRIDA_HM.Beaches Guadiana,Hand-Collecting,37.18389,-7.406111,0,100,0,2.115,0.515,0.444,0.59,1.747,2.737,
40,979,HM16,12/5/2003,CRIDA_HM.Beaches Guadiana,Hand-Collecting,37.17806,-7.397222,0,100,0,2.047,0.494,0.537,0.651,1.747,2.737,
41,980,HM17,12/5/2003,CRIDA_HM.Beaches Guadiana,Hand-Collecting,37.17472,-7.386667,1.5,98.5,0,1.948,0.622,0.23,2.44,1.747,2.737,0.747
