Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Date/Time (of collecting),Project,Sample method,Latitude (WGS1984),Longitude (WGS1984),Elevation [m a.s.l.] (Relative to mean sea level (m)),"Gravel [%] (Grain size, sieving)","Sdst [%] (Grain size, sieving)","Mudstone [%] (Grain size, settling tube)","Grain size mean [phi] (Grain size, sieving/settling ...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving/settling ...)","Kurt (Grain size, sieving/settling ...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)","Mode [phi] (3rd Mode sample value, Grain ...)"
1,1131A,OA-P7-A1,2/22/2011,EROS,Hand-Collecting,37.0883,-8.194,1,0.2,99.8,0,2.228,0.485,-0.106,1.347,2.237,,
2,1132A,OA-P7-A2,2/22/2011,EROS,Hand-Collecting,37.0883,-8.194,1.06,0,100,0,2.436,0.417,-0.047,0.959,2.237,,
3,1133A,OA-P7-A3,2/22/2011,EROS,Hand-Collecting,37.0884,-8.194,1.29,0.8,99.2,0,2.319,0.498,-0.119,1.286,2.237,,
4,1134A,OA-P7-A4,2/22/2011,EROS,Hand-Collecting,37.0884,-8.194,1.49,0,100,0,2.352,0.422,-0.015,1.011,2.237,,
5,1135A,OA-P7-A5,2/22/2011,EROS,Hand-Collecting,37.0885,-8.194,2.13,0.4,99.6,0,2.153,0.598,-0.271,1.692,2.237,,
6,1136A,OA-P7-A6,2/22/2011,EROS,Hand-Collecting,37.0886,-8.194,2.51,0.6,99.4,0,1.782,0.752,-0.328,1.311,2.237,,
7,1137A,OA-P7-A7,2/22/2011,EROS,Hand-Collecting,37.0886,-8.194,2.89,0.1,99.9,0,1.843,0.584,-0.211,1.217,2.237,,
8,1138A,OA-P7-A8,2/22/2011,EROS,Hand-Collecting,37.0887,-8.194,3.41,0.3,99.7,0,1.567,0.673,-0.24,1.125,1.747,,
9,1139A,OA-P7-A9,2/22/2011,EROS,Hand-Collecting,37.0887,-8.194,3.93,0,100,0,1.343,0.635,-0.123,1.016,1.747,,
10,1140A,OA-P14-A1,2/22/2011,EROS,Hand-Collecting,37.0891,-8.192,0.63,4.3,95.7,0,2.103,1.092,-0.624,1.931,2.737,,
11,1141A,OA-P14-A2,2/22/2011,EROS,Hand-Collecting,37.0892,-8.192,1.05,0.1,99.9,0,2.531,0.438,-0.224,1.094,2.737,,
