Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Date/Time (of collecting),Project,Sample method,Latitude (WGS1984),Longitude (WGS1984),Chart datum [m] (Relative to the hydrographic ...),"Gravel [%] (Grain size, sieving/pipette)","Sdst [%] (Grain size, sieving/pipette)","Mudstone [%] (Grain size, sieving/pipette)","Grain size mean [phi] (Grain size, sieving/pipette, ...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving/pipette, ...)","Kurt (Grain size, sieving/pipette, ...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)","Mode [phi] (3rd Mode sample value, Grain ...)"
1,1032,001A,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1615,-7.4,-3,39.68,60.16,0.16,-0.72,1.93,-0.29,0.68,0.747,-3.243,
2,1033,001C,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1535,-7.4,-6.6,6.04,77.79,16.17,3.49,1.74,-0.13,5.41,3.237,,
3,1034,001E,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1453,-7.4,-10.2,0.04,22.29,77.67,5.45,1.55,0.02,0.72,3.731,,
4,1035,002B,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1603,-7.4083,-4.8,2.48,90.34,7.17,3.24,0.75,0.1,1.96,3.237,,
5,1036,002D,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1535,-7.4083,-8.4,3.48,51.71,44.81,4.61,1.55,0.57,0.9,3.731,,
6,1037,002E,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1445,-7.4083,-10.2,3.17,47.56,49.28,4.74,1.48,0.65,0.81,3.731,,
7,1038,003B,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1623,-7.4167,-4.8,0.97,94.39,4.64,3.24,0.48,-0.05,1.38,3.237,,
8,1039,003D,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1557,-7.4167,-8.4,1.89,56.87,41.24,4.54,1.49,0.6,0.93,3.731,,
9,1040,003G,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1358,-7.4167,-13.8,3.52,28.38,68.1,5.25,1.79,0.01,0.93,3.731,,
10,1041,004A,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1677,-7.425,-3,1.13,97.38,1.49,2.83,0.47,-0.09,1.17,2.737,,
11,1042,004D,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.158,-7.425,-8.4,5.88,81.93,12.2,3.33,1.64,-0.17,5.05,3.237,,
12,1043,004F,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1392,-7.425,-12,2.87,31.41,65.72,5.2,1.72,0.09,0.87,3.731,,
13,1044,005A,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1705,-7.4333,-3,0.16,95.31,4.53,3.02,0.72,-0.26,1.17,3.237,,
14,1045,005C,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1652,-7.4333,-6.6,7.87,86.49,5.64,2.73,1.58,-0.38,2.54,3.237,,
15,1046,005G,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1358,-7.4333,-13.8,9.67,35.2,55.13,4.89,2.53,0.03,1.79,3.731,-3.743,
16,1047,006B,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1698,-7.4417,-4.8,0.81,95.55,3.63,3.05,0.63,-0.15,1.15,3.237,,
17,1048,006E,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1535,-7.4417,-10.2,4.42,83.36,12.22,3.35,0.94,0.2,2.48,3.237,,
18,1049,006F,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1482,-7.4417,-12,11,52.67,36.33,4.35,2.43,0.1,2.34,3.731,,
19,1050,007D,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.166,-7.45,-8.4,6.28,72.25,21.47,3.87,1.93,0.1,5.14,3.731,,
20,1051,007F,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1512,-7.45,-12,2.77,61.08,36.15,4.45,1.43,0.61,1.1,3.731,,
21,1052,008B,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.173,-7.4583,-4.8,2.3,95.15,2.55,2.51,0.95,-0.24,1.65,2.737,,
22,1053,008E,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.159,-7.4583,-10.2,12.26,59.67,28.07,4.14,2.3,0.08,3.73,3.731,-3.243,
23,1054,009A,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1745,-7.4667,-3,1.2,95.09,3.71,2.9,0.65,0.01,1.09,2.737,,
