Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Date/Time (of collecting),Project,Sample method,Latitude,Longitude,"Gravel [%] (Grain size, sieving)","Sdst [%] (Grain size, sieving)","Mudstone [%] (Grain size, sieving/pipette)","Grain size mean [phi] (Grain size, sieving/pipette, ...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving/pipette, ...)","Kurt (Grain size, sieving/pipette, ...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)","Mode [phi] (3rd Mode sample value, Grain ...)"
1,1323,Perfil1S_A1,8/1/2006,IDEM,Dredge Petit Ponnar,36.9862,-7.9614,3,97,0,1.441,0.687,-0.263,1.16,1.747,,
2,1324,Perfil1_A2,8/1/2006,IDEM,Dredge Petit Ponnar,36.9874,-7.9603,3.9,96.1,0,0.6,0.803,-0.076,1.134,0.747,,
3,1325,Perfil1_A3,8/1/2006,IDEM,Dredge Petit Ponnar,36.9886,-7.9591,5.2,94.8,0,0.233,0.709,-0.05,1.017,0.247,,
4,1326,Perfil1_A4,8/1/2006,IDEM,Dredge Petit Ponnar,36.9899,-7.958,2.6,97.4,0,0.688,0.818,-0.09,0.975,0.747,,
5,1327,Perfil1N_A5,8/1/2006,IDEM,Dredge Petit Ponnar,36.9911,-7.9569,0.9,99.1,0,1.263,0.586,-0.069,1.09,1.247,,
6,1328,Perfil2W_A1,8/1/2006,IDEM,Dredge Petit Ponnar,36.9856,-7.9611,6.3,93.6,0,0.283,0.777,-0.13,1.19,0.247,,
7,1329,Perfil2_A2,8/1/2006,IDEM,Dredge Petit Ponnar,36.985,-7.9601,7.4,92.6,0,-0.162,0.614,-0.061,1.109,-0.243,,
8,1330,Perfil2_A3,8/1/2006,IDEM,Dredge Petit Ponnar,36.9844,-7.9591,4.8,95.2,0,0.024,0.59,-0.032,1.014,0.247,,
9,1331,Perfil2E_A4,8/1/2006,IDEM,Dredge Petit Ponnar,36.9838,-7.958,2.5,97.5,0,0.612,0.623,-0.095,1.099,0.747,0.747,
10,1332,Perfil3S_A1,8/1/2006,IDEM,Dredge Petit Ponnar,36.9839,-7.957,2.4,97.6,0,0.622,0.713,-0.078,1.097,0.747,,
11,1333,Perfil3_A2,8/1/2006,IDEM,Dredge Petit Ponnar,36.985,-7.9559,1.8,75.4,22.8,3.357,1.781,0.319,1.618,3.237,,
12,1334,Perfil3_A3,8/1/2006,IDEM,Dredge Petit Ponnar,36.9861,-7.9547,0.6,95.7,3.8,2.004,0.932,-0.235,1.646,2.237,,
13,1335,Perfil3_A4,8/1/2006,IDEM,Dredge Petit Ponnar,36.9872,-7.9536,1.5,98.1,0.4,1.816,1.035,-0.457,0.978,2.237,,
