"Kurt (Grain size, sieving, Folk and...)",Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Sample comment,Date/Time (of collecting),Project,Latitude,Longitude,Elevation [m a.s.l.] (Relative to mean sea level (m)),"Gravel [%] (Grain size, sieving)","Sdst [%] (Grain size, sieving)","Mudstone [%] (Grain size, sieving)","Grain size mean [phi] (Grain size, sieving, Folk and...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving, Folk and...)","Kurt (Grain size, sieving, Folk and...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)","Mode [phi] (3rd Mode sample value, Grain ...)"
1.024,1,501A,A1,,1/1/1997,INDIA,36.9869882,-7.97124604,,0.1,99.9,0,1.613,0.661,0.107,1.024,1.247,,
0.988,2,502A,A8,,1/1/1997,INDIA,36.9885783,-7.96925709,,0.1,99.9,0,1.41,0.651,0.065,0.988,1.247,,
0.976,3,503A,C4,,1/1/1997,INDIA,36.987304,-7.96925979,,1.3,98.7,0,1.001,0.804,-0.11,0.976,1.247,,
1.041,4,504A,C8,,1/1/1997,INDIA,36.9879401,-7.96846418,,0.6,99.4,0,0.995,0.733,-0.059,1.041,1.247,,
0.939,5,505A,D3,,1/1/1997,INDIA,36.9866669,-7.96926103,,0,100,0,1.36,0.651,0.014,0.939,1.247,,
0.973,6,506A,D4,,1/1/1997,INDIA,36.9869849,-7.96886329,,0.8,99.2,0,1.238,0.752,-0.125,0.973,1.747,,
1.004,7,507A,D5,,1/1/1997,INDIA,36.9871439,-7.96866436,,0.9,99.1,0,0.939,0.715,-0.027,1.004,0.747,,
1.002,8,508A,D6,,1/1/1997,INDIA,36.9873029,-7.96846543,,2.1,97.9,0,0.516,0.689,-0.033,1.002,0.247,,
1.058,9,509A,D7,,1/1/1997,INDIA,36.987462,-7.9682665,,0.6,99.4,0,1.131,0.676,0.05,1.058,1.247,,
1.034,10,510A,D8,,1/1/1997,INDIA,36.9876209,-7.96806768,,3.9,96.1,0,0.614,0.842,-0.109,1.034,0.747,,
1.015,11,511A,D9,,1/1/1997,INDIA,36.98778,-7.96786874,,1.8,98.2,0,0.773,0.756,-0.076,1.015,0.747,,
0.934,12,512A,F3,,1/1/1997,INDIA,36.9863477,-7.96886453,,1.9,98.1,0,1.342,0.865,-0.238,0.934,1.747,,
0.927,13,513A,F4,,1/1/1997,INDIA,36.9866657,-7.96846679,,1.1,98.9,0,1.091,0.799,-0.056,0.927,0.747,1.747,
0.857,14,514A,F5,,1/1/1997,INDIA,36.9868247,-7.96826786,,0.8,99.2,0,1.046,0.724,0.054,0.857,0.747,1.747,
0.989,15,515A,F6,,1/1/1997,INDIA,36.9869838,-7.96806892,,0.1,99.9,0,1.318,0.604,-0.089,0.989,1.247,,
1.044,16,516A,F7,,1/1/1997,INDIA,36.9871428,-7.96786999,,0.1,99.9,0,1.37,0.563,-0.12,1.044,1.747,,
1.102,17,517A,F8,,1/1/1997,INDIA,36.9873018,-7.96767117,,0.1,99.9,0,1.364,0.553,-0.123,1.102,1.247,,
1.028,18,518A,F9,,1/1/1997,INDIA,36.9874608,-7.96747224,,0,100,0,1.431,0.476,0.023,1.028,1.247,,
0.967,19,519A,H3,,1/1/1997,INDIA,36.9860287,-7.96846814,,0.2,99.8,0,1.737,0.54,-0.121,0.967,1.747,,
0.964,20,520A,H4,,1/1/1997,INDIA,36.9863466,-7.9680704,,7.4,92.6,0,0.712,1.049,-0.215,0.964,1.247,,
0.957,21,521A,H5,,1/1/1997,INDIA,36.9865057,-7.96787147,,10.3,89.7,0,0.513,1.122,-0.208,0.957,1.247,,
1.325,22,522A,H6,,1/1/1997,INDIA,36.9866647,-7.96767254,,0.4,99.6,0,1.343,0.551,-0.129,1.325,1.247,,
