Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Date/Time (of collecting),Project,Sample method,Latitude,Longitude,Chart datum [m] (Hydrographic datum (m)),"Gravel [%] (Grain size, sieving)","Sdst [%] (Grain size, sieving)","Mudstone [%] (Grain size, sieving/pipette)","Grain size mean [phi] (Grain size, sieving/pipette, ...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving/pipette, ...)","Kurt (Grain size, sieving/pipette, ...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)","Mode [phi] (3rd Mode sample value, Grain ...)",Obs
1,880A,P0/T1,3/11/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0102,-7.8027,,27.1,72.9,0,-0.892,1.6,-0.52,1.531,-0.243,-4.243,,Approximate coordinates by geo-referencing
2,881A,P0/T2(A),3/11/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0095,-7.8016,-9.3,0.1,17.4,82.5,5.002,2.509,-0.027,1.157,4.477,1.247,,Approximate coordinates by geo-referencing
3,882A,P0/T2(B),3/11/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0095,-7.8016,-9.3,19.2,80.6,0.2,-0.222,1.213,-0.474,1.672,0.247,-3.743,,Approximate coordinates by geo-referencing
4,883A,P0/T3,3/11/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0088,-7.8005,-7.7,5,94.9,0.1,0.505,0.842,-0.117,0.963,0.747,,,Approximate coordinates by geo-referencing
5,884A,P0/T4,3/11/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0081,-7.7994,-0.7,1.4,98.5,0.1,0.694,0.651,0.006,1.109,0.747,,,Approximate coordinates by geo-referencing
6,885A,P0/T5,3/11/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0073,-7.7982,-2.1,0.1,99.8,0.1,1.366,0.59,-0.078,1.039,1.247,,,Approximate coordinates by geo-referencing
7,886A,P0/T6,3/11/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0066,-7.7971,-2.8,0.6,99.3,0.1,0.788,0.602,-0.036,1.055,0.747,,,Approximate coordinates by geo-referencing
8,887A,P2/T1,3/11/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0093,-7.8038,-3,1.2,98.7,0.1,1.794,0.615,-0.282,1.205,2.237,,,Approximate coordinates by geo-referencing
9,888A,P2/T2,3/11/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0086,-7.8027,-3.5,3,96.9,0.1,1.106,0.822,-0.227,1.072,1.247,,,Approximate coordinates by geo-referencing
10,889A,P2/T3,3/11/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0079,-7.8016,1.1,8.9,91,0.1,-0.028,0.761,-0.012,1.041,-0.243,,,Approximate coordinates by geo-referencing
11,890A,P2/T4,3/11/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0072,-7.8005,1.2,0.6,99.3,0.1,0.906,0.654,-0.037,1.088,0.747,,,Approximate coordinates by geo-referencing
12,891A,P2/T5,3/11/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0064,-7.7994,1.2,3,96.9,0.1,0.906,0.877,-0.111,1.014,1.247,,,Approximate coordinates by geo-referencing
13,892A,P2/T6,3/11/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0057,-7.7982,1.1,0.4,99.5,0.1,1.064,0.648,-0.074,1.126,1.247,,,Approximate coordinates by geo-referencing
14,893A,P1/T1,3/11/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0084,-7.805,-0.9,12.8,87.2,0,0.141,1.028,0.023,0.986,-0.243,,,Approximate coordinates by geo-referencing
15,894A,P1/T2,3/11/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0077,-7.8039,-1.1,19.8,80.1,0.1,-0.008,1.366,-0.261,1.241,0.747,,,Approximate coordinates by geo-referencing
16,895A,P1/T3,3/17/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.007,-7.8027,1,14.1,85.9,0,-0.061,1.152,-0.216,1.761,-0.243,-4.243,,Approximate coordinates by geo-referencing
