Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Date/Time (of collecting),Project,Sample method,Latitude,Longitude,"Gravel [%] (Grain size, sieving)","Sdst [%] (Grain size, sieving)","Mudstone [%] (Grain size, settling tube)","Grain size mean [phi] (Grain size, sieving/settling ...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving/settling ...)","Kurt (Grain size, sieving/settling ...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)"
1,1378A,BG-P10-A1,3/29/2011,MOSES,Hand-Collecting,37.0804,-8.3163,0,100,0,1.574,0.437,-0.046,0.996,1.747,
2,1379A,BG-P10-A2,3/29/2011,MOSES,Hand-Collecting,37.0804,-8.3163,0,100,0,1.651,0.535,-0.057,1.007,1.747,
3,1380A,BG-P1-A3,3/29/2011,MOSES,Hand-Collecting,37.0817,-8.3175,0.1,99.9,0,0.85,0.655,0.04,0.917,0.747,
4,1381A,BG-P1-A4,3/29/2011,MOSES,Hand-Collecting,37.0816,-8.3176,0.1,99.9,0,1.242,0.52,-0.124,1.103,1.247,
5,1382A,BG-P1-A5,3/29/2011,MOSES,Hand-Collecting,37.0815,-8.3177,0,100,0,1.773,0.48,-0.046,0.89,1.747,
6,1383A,BG-P1-A6,3/29/2011,MOSES,Hand-Collecting,37.0815,-8.3177,0,100,0,1.487,0.601,-0.212,1.051,1.747,
7,1384A,BG-P1-A7,3/29/2011,MOSES,Hand-Collecting,37.0814,-8.3178,0,100,0,1.84,0.429,0.001,0.991,1.747,
8,1385A,BG-P1-A8,3/29/2011,MOSES,Hand-Collecting,37.0813,-8.3179,0,100,0,2.051,0.418,0.036,0.941,2.237,
9,1386A,BG-P1-A9,3/29/2011,MOSES,Hand-Collecting,37.0812,-8.318,0.1,99.9,0,2.166,0.501,-0.038,1.031,2.237,
10,1387A,BG-P2-A10,3/29/2011,MOSES,Hand-Collecting,37.0811,-8.3178,0.1,99.9,0,2.195,0.583,-0.14,1.087,2.237,
11,1388A,BG-P2-A3,3/29/2011,MOSES,Hand-Collecting,37.0816,-8.3174,0.1,99.9,0,0.872,0.664,0.038,0.913,0.747,
12,1389A,BG-P2-A4,3/29/2011,MOSES,Hand-Collecting,37.0815,-8.3174,0,100,0,1.315,0.54,-0.175,1.05,1.247,
13,1390A,BG-P2-A5,3/29/2011,MOSES,Hand-Collecting,37.0814,-8.3175,0,100,0,1.451,0.48,-0.042,1.045,1.247,
14,1391A,BG-P2-A6,3/29/2011,MOSES,Hand-Collecting,37.0814,-8.3176,0.1,99.9,0,1.621,0.561,-0.247,1.392,1.747,
15,1392A,BG-P2-A7,3/29/2011,MOSES,Hand-Collecting,37.0813,-8.3176,0,100,0,1.724,0.441,-0.013,1.057,1.747,
16,1393A,BG-P2-A8,3/29/2011,MOSES,Hand-Collecting,37.0812,-8.3177,0,100,0,2.085,0.419,-0.002,0.954,2.237,
17,1394A,BG-P2-A9,3/29/2011,MOSES,Hand-Collecting,37.0811,-8.3178,0,100,0,2.134,0.485,-0.051,1.071,2.237,
18,1395A,BG-P3-A10,3/29/2011,MOSES,Hand-Collecting,37.081,-8.3176,0,100,0,2.256,0.478,-0.022,0.916,2.237,
19,1396A,BG-P3-A3,3/29/2011,MOSES,Hand-Collecting,37.0815,-8.3171,0.1,99.9,0,1.149,0.598,-0.099,0.916,1.247,
20,1397A,BG-P3-A4,3/29/2011,MOSES,Hand-Collecting,37.0814,-8.3172,0,100,0,1.383,0.523,-0.076,1.026,1.247,
21,1398A,BG-P3-A5,3/29/2011,MOSES,Hand-Collecting,37.0814,-8.3173,0.1,99.9,0,1.312,0.551,-0.03,1.054,1.247,
22,1399A,BG-P3-A6,3/29/2011,MOSES,Hand-Collecting,37.0813,-8.3173,0,100,0,1.477,0.442,-0.003,1.015,1.247,
23,1400A,BG-P3-A7,3/29/2011,MOSES,Hand-Collecting,37.0812,-8.3174,0,100,0,1.583,0.45,-0.064,1.012,1.747,
24,1401A,BG-P3-A8,3/29/2011,MOSES,Hand-Collecting,37.0811,-8.3175,0,100,0,1.909,0.492,0.022,1.038,1.747,
25,1402A,BG-P3-A9,3/29/2011,MOSES,Hand-Collecting,37.0811,-8.3176,0,100,0,2.188,0.459,0.026,0.942,2.237,
26,1403A,BG-P4-A10,3/29/2011,MOSES,Hand-Collecting,37.0809,-8.3175,0,100,0,2.298,0.44,0.004,1.003,2.237,
27,1404A,BG-P4-A4,3/29/2011,MOSES,Hand-Collecting,37.0813,-8.317,0.8,99.2,0,0.927,0.785,-0.241,0.942,1.247,
28,1405A,BG-P4-A5,3/29/2011,MOSES,Hand-Collecting,37.0813,-8.3171,0.1,99.9,0,1.179,0.553,-0.085,1.011,1.247,
29,1406A,BG-P4-A6,3/29/2011,MOSES,Hand-Collecting,37.0812,-8.3172,0.2,99.8,0,1.49,0.498,-0.098,1.074,1.747,
30,1407A,BG-P4-A7,3/29/2011,MOSES,Hand-Collecting,37.0811,-8.3173,0.1,99.9,0,1.712,0.449,-0.026,1.028,1.747,
31,1408A,BG-P4-A8,3/29/2011,MOSES,Hand-Collecting,37.0811,-8.3173,0,100,0,1.811,0.506,-0.071,1.103,1.747,
32,1409A,BG-P4-A9,3/29/2011,MOSES,Hand-Collecting,37.081,-8.3174,0,100,0,2.03,0.48,-0.042,1.074,2.237,
33,1410A,BG-P5-A2,3/29/2011,MOSES,Hand-Collecting,37.0813,-8.3168,1.8,98.2,0,0.565,0.824,0.038,0.865,0.247,
34,1411A,BG-P5-A3,3/29/2011,MOSES,Hand-Collecting,37.0812,-8.3169,0,99.8,0,1.167,0.604,-0.102,0.946,1.247,
35,1412A,BG-P5-A4,3/29/2011,MOSES,Hand-Collecting,37.0811,-8.317,0.3,99.7,0,1.258,0.649,-0.125,1.026,1.247,
36,1413A,BG-P5-A5,3/29/2011,MOSES,Hand-Collecting,37.0811,-8.3171,0.6,99.4,0,1.401,0.679,-0.306,1.234,1.747,
37,1414A,BG-P5-A6,3/29/2011,MOSES,Hand-Collecting,37.081,-8.3172,0,100,0,1.731,0.41,-0.034,1.213,1.747,
38,1415A,BG-P5-A7,3/29/2011,MOSES,Hand-Collecting,37.081,-8.3172,0,100,0,1.926,0.433,0.055,1.027,1.747,
39,1416A,BG-P5-A8,3/29/2011,MOSES,Hand-Collecting,37.0809,-8.3173,0.1,99.9,0,1.606,0.521,-0.043,1.083,1.747,
40,1417A,BG-P6-A2,3/29/2011,MOSES,Hand-Collecting,37.0811,-8.3167,0.2,99.8,0,1.095,0.702,-0.063,0.926,1.247,
41,1418A,BG-P6-A3,3/29/2011,MOSES,Hand-Collecting,37.081,-8.3168,0.1,99.9,0,1.247,0.717,-0.154,1.135,1.247,-0.243
42,1419A,BG-P6-A4,3/29/2011,MOSES,Hand-Collecting,37.081,-8.3169,0.2,99.8,0,1.519,0.556,-0.211,1.206,1.747,
43,1420A,BG-P6-A5,3/29/2011,MOSES,Hand-Collecting,37.0809,-8.317,0,100,0,1.747,0.467,-0.097,1.274,1.747,
44,1421A,BG-P6-A6,3/29/2011,MOSES,Hand-Collecting,37.0809,-8.317,0,100,0,1.7,0.487,-0.099,1.238,1.747,
45,1422A,BG-P6-A7,3/29/2011,MOSES,Hand-Collecting,37.0808,-8.3171,1.1,98.9,0,1.166,0.9,-0.369,0.978,1.747,
46,1423A,BG-P7-A1,3/29/2011,MOSES,Hand-Collecting,37.081,-8.3165,0.7,99.3,0,0.998,0.751,-0.134,1.015,1.247,
47,1424A,BG-P7-A2,3/29/2011,MOSES,Hand-Collecting,37.0809,-8.3166,0.4,99.6,0,0.603,0.678,0.147,0.939,0.247,
48,1425A,BG-P7-A3,3/29/2011,MOSES,Hand-Collecting,37.0809,-8.3167,0.2,99.8,0,0.978,0.599,-0.048,0.953,1.247,
