Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Sample comment,Date/Time (of collecting),Project,Sample method,Latitude,Longitude,Chart datum [m] (Hydrographic datum (m)),"Gravel [%] (Grain size, sieving)","Sdst [%] (Grain size, sieving)","Mudstone [%] (Grain size, sieving)","Grain size mean [phi] (Grain size, sieving, Folk and...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving, Folk and...)","Kurt (Grain size, sieving, Folk and...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)","Mode [phi] (3rd Mode sample value, Grain ...)"
1,763A,An1.Duna,Dune,2/3/2000,ReqSistLagRFormosa,Hand-Collecting,37.0139,-8.0057,8,0,100,0,1.02,0.67,0.06,1,0.75,,
2,764A,An1.Berma,Berm,2/3/2000,ReqSistLagRFormosa,Hand-Collecting,37.0138,-8.006,4,1.6,98.4,0,0.76,0.68,-0.05,0.93,0.75,,
3,765A,An1.Face,Beach face,2/3/2000,ReqSistLagRFormosa,Hand-Collecting,37.0138,-8.0061,2,0.2,99.8,0,1.28,0.6,-0.15,1.11,1.25,,
4,766A,An1.Terraco,Low tide terrace,2/3/2000,ReqSistLagRFormosa,Hand-Collecting,37.0135,-8.0066,,4.6,95.4,0,0.47,0.79,0.3,0.75,-0.24,,
5,767A,An2.Duna,Dune,2/3/2000,ReqSistLagRFormosa,Hand-Collecting,37.0196,-8.0158,7,0,100,0,1.1,0.55,0.03,1.04,1.25,,
6,768A,An2.Berma,Berm,2/3/2000,ReqSistLagRFormosa,Hand-Collecting,37.0195,-8.016,6,0.9,99.1,0,0.95,0.71,-0.15,0.96,1.25,,
7,769A,An2.Face,Beach face,2/3/2000,ReqSistLagRFormosa,Hand-Collecting,37.0194,-8.0162,2,0.3,99.7,0,1.35,0.65,-0.14,1.07,1.75,,
8,770A,An2.Terraco,Low tide terrace,2/3/2000,ReqSistLagRFormosa,Hand-Collecting,37.0192,-8.0167,,0.3,99.7,0,1.68,0.58,-0.17,1.06,1.75,,
9,771A,An3.Duna,Dune,2/3/2000,ReqSistLagRFormosa,Hand-Collecting,37.0252,-8.0252,9,0.1,99.9,0,0.96,0.62,0.02,0.97,0.75,,
10,772A,An3.Berma,Berm,2/3/2000,ReqSistLagRFormosa,Hand-Collecting,37.0251,-8.0254,5,0.8,99.2,0,0.94,0.53,-0.01,1.01,0.75,,
11,773A,An3.Face,Beach face,2/3/2000,ReqSistLagRFormosa,Hand-Collecting,37.0251,-8.0256,3,0.6,99.4,0,0.91,0.79,-0.14,0.75,1.25,0.247,
12,774A,An3.Terraco,Low tide terrace,2/3/2000,ReqSistLagRFormosa,Hand-Collecting,37.0249,-8.0262,,75.1,24.9,0,-1.55,0.89,0.68,0.79,-2.24,-1.243,-0.243
13,775A,An1.Duna,Dune,8/2/2000,ReqSistLagRFormosa,Hand-Collecting,37.0252,-8.0253,8,2.1,97.9,0,0.79,0.7,-0.1,0.97,0.75,,
14,776A,An1.Berma,Berm,8/2/2000,ReqSistLagRFormosa,Hand-Collecting,37.0251,-8.0256,4,0,100,0,0.47,0.47,0.14,1.05,0.25,,
15,777A,An1.Face,Beach face,8/2/2000,ReqSistLagRFormosa,Hand-Collecting,37.025,-8.0257,2,6,94,0,0.03,0.5,-0.07,1.35,-0.24,,
16,778A,An1.Terraco,Low tide terrace,8/2/2000,ReqSistLagRFormosa,Hand-Collecting,37.0249,-8.0262,0,0,100,0,1.66,0.47,-0.07,1.14,1.75,,
17,779A,An2.aterro,Nourishment,8/2/2000,ReqSistLagRFormosa,Hand-Collecting,37.0195,-8.0159,6,4.4,95.6,0,0.66,0.96,0.33,0.87,-0.24,,
18,780A,An2.Berma,Berm,8/2/2000,ReqSistLagRFormosa,Hand-Collecting,37.0195,-8.0161,6,1.2,98.8,0,0.9,0.85,0,0.92,1.25,,
19,781A,An2.Face,Beach face,8/2/2000,ReqSistLagRFormosa,Hand-Collecting,37.0194,-8.0163,2,1.3,98.7,0,0.92,0.53,-0.05,1.02,0.75,,
20,782A,An2.Terraco,Low tide terrace,8/2/2000,ReqSistLagRFormosa,Hand-Collecting,37.0192,-8.0167,0,11.8,88.2,0,-0.14,0.58,-0.04,2.96,-0.24,,
21,783A,An3.Aterro,Nourishment,8/2/2000,ReqSistLagRFormosa,Hand-Collecting,37.0139,-8.0058,6,11.8,88.2,0,-0.14,0.58,-0.04,2.96,-0.24,,
22,784A,An3.Berma,Berm,8/2/2000,ReqSistLagRFormosa,Hand-Collecting,37.0138,-8.0059,5,0.2,99.8,0,1.22,0.63,-0.06,1.04,1.25,,
23,785A,An3.Face,Beach face,8/2/2000,ReqSistLagRFormosa,Hand-Collecting,37.0137,-8.0062,1,1.9,98.1,0,0.25,0.49,0.11,0.98,0.25,,
24,786A,An3.Terraco,Low tide terrace,8/2/2000,ReqSistLagRFormosa,Hand-Collecting,37.0135,-8.0065,0,45,55,0,-0.89,0.96,-0.52,0.61,-0.24,-2.24,-1.24
