Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Date/Time (of collecting),Project,Sample method,Latitude (Coordinate System-WGS1984),Longitude (Coordinate System-WGS1984),Depth water [m],"Gravel [%] (Grain size, sieving)","Sdst [%] (Grain size, sieving)","Mudstone [%] (Grain size, sieving)","Grain size mean [phi] (Grain size, sieving, Folk and...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving, Folk and...)","Kurt (Grain size, sieving, Folk and...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)","Mode [phi] (3rd Mode sample value, Grain ...)"
1,2815,E1,3/27/2015,SIMCO_Oceanographic Cruise,Dredge Petit Ponar,37.1054,-8.5279,11.4,0.2,99.7,0.1,2.503,0.414,-0.095,0.985,2.737,,
2,2816,E2,3/27/2015,SIMCO_Oceanographic Cruise,Dredge Petit Ponar,37.0866,-8.5541,28.8,12.3,69.6,18.1,1.88,2.648,0.042,1.13,3.731,1.747,
3,2817,E3,3/27/2015,SIMCO_Oceanographic Cruise,Dredge Petit Ponar,37.0839,-8.5319,30,2,82.8,15.2,2.52,1.771,0.368,1.936,2.237,3.731,
4,2818,E4,3/27/2015,SIMCO_Oceanographic Cruise,Dredge Petit Ponar,37.0809,-8.516,30.1,6.4,72.1,21.5,2.786,2.437,0.199,2.119,2.237,3.731,
5,2819,E5,3/27/2015,SIMCO_Oceanographic Cruise,Dredge Petit Ponar,37.0937,-8.5213,18.8,0.6,97.3,2.1,2.202,0.692,-0.023,1.385,2.237,,
6,2820,E6,3/27/2015,SIMCO_Oceanographic Cruise,Dredge Petit Ponar,37.0976,-8.5419,20,0.8,92.3,6.9,2.818,0.862,0.072,1.17,3.237,2.237,
7,2821,E7,3/27/2015,SIMCO_Oceanographic Cruise,Dredge Petit Ponar,37.1046,-8.5277,10,0.4,98.4,1.2,2.733,0.516,-0.079,1.422,2.737,,
8,2822,E8,3/27/2015,SIMCO_Oceanographic Cruise,Dredge Petit Ponar,37.1185,-8.5253,8,0.4,78.4,21.2,3.604,1.774,0.718,2.876,2.737,,
9,2823,E9,3/27/2015,SIMCO_Oceanographic Cruise,Dredge Petit Ponar,37.124,-8.5259,9,0.3,74.7,25,3.822,1.834,0.707,2.042,2.737,,
10,2824,E10,3/27/2015,SIMCO_Oceanographic Cruise,Dredge Petit Ponar,37.1311,-8.5279,5.5,3.8,18,78.3,5.924,2.092,-0.26,0.805,7.466,3.237,4.477
11,2825,E11,3/27/2015,SIMCO_Oceanographic Cruise,Dredge Petit Ponar,37.1407,-8.5295,4,29.9,62,8.1,0.534,3.19,-0.456,0.894,2.237,-3.743,
12,2526,E12,3/27/2015,SIMCO_Oceanographic Cruise,Dredge Petit Ponar,37.1431,-8.5189,3,84.5,15.4,0.1,-2.86,1.684,0.611,1.8,-3.743,1.747,
13,2892,St1,10/30/2015,SIMCO_Oceanographic Cruise,Dredge Petit Ponar,37.1032,-8.5296,11.5,0.2,98.8,1,2.514,0.529,-0.281,1.332,2.737,,
14,2893,St2,10/30/2015,SIMCO_Oceanographic Cruise,Dredge Petit Ponar,37.0969,-8.543,20.5,1.6,90.3,8.1,2.81,0.916,0.102,1.346,3.237,2.237,
15,2894,St3,10/30/2015,SIMCO_Oceanographic Cruise,Dredge Petit Ponar,37.0936,-8.5218,20.4,0.5,93,6.5,2.548,0.891,0.153,1.485,2.237,,
16,2895,St4,10/30/2015,SIMCO_Oceanographic Cruise,Dredge Petit Ponar,37.0823,-8.5168,30,1.1,80.6,18.3,2.76,1.822,0.47,1.699,2.237,3.731,
17,2896,St5,10/30/2015,SIMCO_Oceanographic Cruise,Dredge Petit Ponar,37.0843,-8.5384,30.4,13.1,69.5,17.4,1.35,3.006,0.509,2.954,0.247,,
18,2897,St6,10/30/2015,SIMCO_Oceanographic Cruise,Dredge Petit Ponar,37.0874,-8.5533,30.2,0.6,81.8,17.6,2.247,1.993,0.579,1.313,1.247,3.731,
19,2898,St7,10/30/2015,SIMCO_Oceanographic Cruise,Dredge Petit Ponar,37.0907,-8.6086,29.8,1.6,69.4,28.9,3.898,1.468,0.399,3.5,3.731,,
20,2899,St8,10/30/2015,SIMCO_Oceanographic Cruise,Dredge Petit Ponar,37.1041,-8.6156,18.7,3.3,90.1,6.7,2.588,1.347,-0.366,1.455,3.237,,
21,2900,St9,10/30/2015,SIMCO_Oceanographic Cruise,Dredge Petit Ponar,37.1159,-8.6192,10.9,0,99.9,0.1,1.94,0.43,-0.084,1.005,2.237,,
22,2901,St10,10/30/2015,SIMCO_Oceanographic Cruise,Dredge Petit Ponar,37.1073,-8.5309,10.9,8.9,90.4,0.7,2.53,1.411,-0.527,3.615,2.737,,
