Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Date/Time (of collecting),Project,Sample method,"Latitude (Grain size, sieving)","Longitude (Grain size, sieving)","Depth water [m] (Grain size, sieving/pipette)","Gravel [%] (Grain size, sieving/pipette, ...)","Sdst [%] (Grain size, sieving/pipette, ...)","Mudstone [%] (Grain size, sieving/pipette, ...)","Grain size mean [phi] (Grain size, sieving/pipette, ...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving/pipette, ...)","Kurt (Grain size, sieving/pipette, ...)"
1,1,1,1/13/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.0049,-7.4089,-92.8,0.06,0.94,99,8.26,2.14,-0.29,2.33
2,3,3,1/13/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.0355,-7.407,-74.9,0,0.6,99.4,8.33,2.15,-0.33,2.2
3,4,4,1/13/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.0692,-7.4059,-42.5,0,1.1,98.9,7.85,2.25,-0.04,1.91
4,5,5,1/13/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.0857,-7.4043,-29.7,9.06,23.26,67.68,4.93,3.84,-0.23,2.24
5,6,6,1/13/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.1024,-7.4024,-16.9,16.45,74.75,8.8,0.38,2.63,2.25,8.86
6,7,7,1/13/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.1161,-7.4083,-12,12.59,80.72,6.69,0.49,2.22,2.53,11.47
7,8,8,1/13/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.1336,-7.4006,-8.7,1.99,63.05,34.96,3.44,2.44,1.01,4.98
8,9,9,1/13/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.1418,-7.4321,-8.7,3.78,43.56,52.66,3.7,2.6,0.2,4.4
9,10,10,1/13/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.1461,-7.4696,-8.7,26.84,51.55,21.61,1.21,3.42,1.27,3.92
10,11,11,1/13/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.1414,-7.5055,-8.7,10.2,89.02,0.78,0.42,1.21,0.72,10.05
11,12,12,1/13/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.1301,-7.5312,-9.8,7.3,92,0.7,0.48,1.04,0.19,13.17
12,13,13,1/13/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.1201,-7.56,-11.6,13.8,85.2,1,0.41,1.48,0.52,11.43
13,14,14,1/13/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.122,-7.4989,-19,15.2,68.9,15.9,1.19,2.8,0.96,5.11
14,15,15,1/13/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.1077,-7.4951,-18.1,2.3,24.3,73.4,4.76,2.79,0.14,3.64
15,16,16,1/13/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.0742,-7.4872,-42.4,0,1,99,7.92,2.22,-0.03,1.86
16,18,18,1/13/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.0399,-7.478,-79.2,0,0.7,99.3,8.44,2.05,-0.25,1.97
17,19,19,1/13/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.006,-7.4631,-91.4,1.5,19.7,78.8,6.91,3.19,-0.52,2.58
18,20,20,1/13/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.0156,-7.5312,-96,2,18.6,79.4,6.93,3.29,-0.58,2.62
19,21,21,1/13/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.0491,-7.5485,-75,0,1.5,98.5,8.04,2.22,-0.08,1.73
20,22,22,1/13/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.0797,-7.5674,-28,17.2,78,4.8,0.2,2.09,3.09,15
21,23,23,1/13/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.0936,-7.5745,-22.6,12,85.7,2.3,0.36,1.62,2.18,16.95
22,24,24,1/13/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.1075,-7.5869,-12,5.7,93.4,0.9,0.72,1.11,1.05,13.99
23,27,27,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.1383,-7.3857,-13,3.34,66.03,30.63,3.54,2.28,0.49,6.96
24,28,28,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.1319,-7.3663,-14,1.5,92,6.5,1.84,1.64,2.91,15.89
25,29,29,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,36.9955,-7.3352,-95,0,2.6,97.4,7.99,2.27,-0.13,1.85
26,30,30,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.0326,-7.317,-69,0,10.8,89.2,7.56,2.71,-0.39,2.16
27,31,31,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.0603,-7.3236,-50,0,3,97,7.82,2.35,-0.08,1.77
28,32,32,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.0856,-7.3295,-33,14.4,36.8,48.8,3.81,4.44,0.19,1.73
29,33,33,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.102,-7.3368,-23,16.8,74.2,9,0.79,2.57,2.03,8.2
30,34,34,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.1234,-7.3397,-17,0,0.3,99.7,8.33,1.94,-0.99,2.36
31,35,35,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.1412,-7.3461,-13,1,40.6,58.4,4.6,2.85,0.57,2.86
32,36,36,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.1621,-7.3205,-12,0.5,60.3,39.2,4.12,2.05,1.45,6.96
33,37,37,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.172,-7.2914,-12,7.2,62.5,30.3,3.35,2.84,0.66,4.17
34,38,38,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.1763,-7.2562,-14,1.8,50.9,47.3,4.05,2.04,0.74,7.32
35,39,39,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.1817,-7.2224,-14,7.1,76.9,16,2.28,2.47,0.94,5.88
36,40,40,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.1861,-7.187,-12,30.3,57.7,12,0.51,3.27,1.45,5.47
37,41,41,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.1599,-7.1879,-19,6.8,82,11.2,2.11,2.34,1.17,6.68
38,42,42,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.1342,-7.1905,-20,59,34.2,6.8,-0.7,2.75,2.2,8.31
39,43,43,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.1092,-7.192,-26,49.8,43.7,6.5,-0.43,2.75,2.35,9.44
40,44,44,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.0819,-7.1903,-36,1.3,12.4,86.3,7.16,3,-0.45,2.63
41,45,45,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.0518,-7.1929,-47,0,1.6,98.4,8.14,2.25,-0.2,1.85
42,46,46,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.0209,-7.1948,-60,0,0.5,99.5,8,2.26,-0.1,1.76
