/* DATA DESCRIPTION:
Citation:	CLIFF Project Members (2012): Seasonal sediment characterization over three years of beaches located at the toe of cliffs (Forte Novo, Gale and Olhos de Agua). PANGAEA, https://doi.org/10.1594/PANGAEA.883083, 
	In supplement to: Costas, Susana; Ramires, Margarida; de Sousa, Luisa B; Mendes, Isabel Maria de Paiva Pinto; Ferreira, Óscar (2018): Surficial sediment texture database for the south-western Iberian Atlantic margin. Earth System Science Data, 10(2), 1185-1195, https://doi.org/10.5194/essd-10-1185-2018
Original version:	Original data of surficial sediment texture from the Iberian Atlantic Margin Sediments Database (IBAM-Sed) (URI: https://store.pangaea.de/Publications/Coasta-etal_2017/PLOSscripts.zip)
Further details:	Costas, Susana; Ramires, Margarida; de Sousa, Luisa B; Mendes, Isabel Maria de Paiva Pinto; Ferreira, Óscar (2018): Shape files of surficial sediment texture from the Iberian Atlantic Margin Sediments Database (IBAM-Sed). PANGAEA, https://doi.org/10.1594/PANGAEA.890946
Coverage:	MEDIAN LATITUDE: 37.070160 * MEDIAN LONGITUDE: -8.165662 * SOUTH-BOUND LATITUDE: 37.059000 * WEST-BOUND LONGITUDE: -8.312615 * NORTH-BOUND LATITUDE: 37.088695 * EAST-BOUND LONGITUDE: -8.084482
	DATE/TIME START: 2010-02-06T00:00:00 * DATE/TIME END: 2012-05-09T00:00:00
	MINIMUM ELEVATION: -1.00 m a.s.l. * MAXIMUM ELEVATION: 13.31 m a.s.l.
Event(s):	IBAM-Sed_CLIFF * LATITUDE: 37.084000 * LONGITUDE: -8.187300 * DATE/TIME START: 2010-02-06T00:00:00 * DATE/TIME END: 2012-05-08T00:00:00 * METHOD/DEVICE: Sampling by hand (HAND)
Comment:	CLIFF (2012). Evolution and Dynamics of Cliff Beach Systems
Parameter(s):	Sample ID (Sample ID) * PI: CLIFF Project Members * COMMENT: Sample number
	Sample ID (Sample ID) * PI: CLIFF Project Members * COMMENT: Acess number from laboratory
	Sample ID (Sample ID) * PI: CLIFF Project Members * COMMENT: Reference sample in the collect
	Sample comment (Sample comment) * PI: CLIFF Project Members
	DATE/TIME (Date/Time) * GEOCODE * PI: CLIFF Project Members * COMMENT: of collecting
	Project (Project) * PI: CLIFF Project Members
	Sample method (Sample method) * PI: CLIFF Project Members
	LATITUDE (Latitude) * GEOCODE * PI: CLIFF Project Members
	LONGITUDE (Longitude) * GEOCODE * PI: CLIFF Project Members
	ELEVATION [m a.s.l.] (Elevation) * GEOCODE * PI: CLIFF Project Members * COMMENT: Relative to mean sea level (m)
	Gravel [%] (Gravel) * PI: CLIFF Project Members * METHOD/DEVICE: Grain size, sieving
	Sandstone [%] (Sdst) * PI: CLIFF Project Members * METHOD/DEVICE: Grain size, sieving
	Mudstone [%] (Mudstone) * PI: CLIFF Project Members * METHOD/DEVICE: Grain size, sieving/pipette
	Grain size, mean [phi] (Grain size mean) * PI: CLIFF Project Members * METHOD/DEVICE: Grain size, sieving/pipette, Folk and Ward method
	Standard deviation [±] (Std dev) * PI: CLIFF Project Members * METHOD/DEVICE: Grain size, sieving/pipette, Folk and Ward method * COMMENT: Of sample value
	Skewness (Skew) * PI: CLIFF Project Members * METHOD/DEVICE: Grain size, sieving/pipette, Folk and Ward method
	Kurtosis (Kurt) * PI: CLIFF Project Members * METHOD/DEVICE: Grain size, sieving/pipette, Folk and Ward method
	Mode, grain size [phi] (Mode) * PI: CLIFF Project Members * METHOD/DEVICE: Grain size, sieving/pipette, Folk and Ward method * COMMENT: 1st Mode sample value
	Mode, grain size [phi] (Mode) * PI: CLIFF Project Members * METHOD/DEVICE: Grain size, sieving/pipette, Folk and Ward method * COMMENT: 2nd Mode sample value
	Mode, grain size [phi] (Mode) * PI: CLIFF Project Members * METHOD/DEVICE: Grain size, sieving/pipette, Folk and Ward method * COMMENT: 3rd Mode sample value
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	3082 data points
*/
Sample ID (Sample number)	Sample ID (Acess number from laboratory)	Sample ID (Reference sample in the collect)	Sample comment	Date/Time (of collecting)	Project	Sample method	Latitude	Longitude	Elevation [m a.s.l.] (Relative to mean sea level (m))	Gravel [%] (Grain size, sieving)	Sdst [%] (Grain size, sieving)	Mudstone [%] (Grain size, sieving/pipette)	Grain size mean [phi] (Grain size, sieving/pipette, ...)	Std dev [±] (Of sample value, Grain size, ...)	Skew (Grain size, sieving/pipette, ...)	Kurt (Grain size, sieving/pipette, ...)	Mode [phi] (1st Mode sample value, Grain ...)	Mode [phi] (2nd Mode sample value, Grain ...)	Mode [phi] (3rd Mode sample value, Grain ...)
1	2243	FN_P1_Face	Beach face	2010-02-06	Graduation_EvolutionDynamicsCliffBeachSystems	Hand-collecting	37.0593	-8.0846	1.49	0.00	100.00	0.00	1.594	0.479	0.003	0.990	1.747		
2	2244	FN_P1_Berma	Berm	2010-02-06	Graduation_EvolutionDynamicsCliffBeachSystems	Hand-collecting	37.0595	-8.0845	4.29	0.20	99.30	0.50	0.979	0.630	0.098	1.019	0.747		
3	2247	FN_P2_Face	Beach face	2010-02-06	Graduation_EvolutionDynamicsCliffBeachSystems	Hand-collecting	37.0596	-8.0851	1.40	0.10	99.90	0.00	0.869	0.524	0.112	1.080	0.747		
4	2248	FN_P2_Berma	Berm	2010-02-06	Graduation_EvolutionDynamicsCliffBeachSystems	Hand-collecting	37.0597	-8.0850	3.81	0.20	99.80	0.00	1.152	0.626	-0.014	0.990	1.247		
5	2251	FN_P3_Face	Beach face	2010-02-06	Graduation_EvolutionDynamicsCliffBeachSystems	Hand-collecting	37.0598	-8.0856	1.29	0.20	99.80	0.00	1.460	0.477	0.062	1.045	1.247		
6	2252	FN_P3_Berma	Berm	2010-02-06	Graduation_EvolutionDynamicsCliffBeachSystems	Hand-collecting	37.0600	-8.0854	3.46	0.00	100.00	0.00	1.544	0.538	-0.033	1.021	1.747		
7	2254	FN_P4_ Face	Beach face	2010-02-06	Graduation_EvolutionDynamicsCliffBeachSystems	Hand-collecting	37.0601	-8.0860	1.26	0.50	99.50	0.00	1.061	0.822	-0.110	0.938	1.247		
8	2255	FN_P4_Berma	Berm	2010-02-06	Graduation_EvolutionDynamicsCliffBeachSystems	Hand-collecting	37.0602	-8.0859	3.56	0.00	100.00	0.00	1.253	0.572	-0.007	1.026	1.247		
9	2258	FN_P5_Face	Beach face	2010-02-06	Graduation_EvolutionDynamicsCliffBeachSystems	Hand-collecting	37.0603	-8.0865	1.45	0.00	100.00	0.00	1.416	0.551	-0.042	0.986	1.747		
10	2259	FN_P5_Berma	Berm	2010-02-06	Graduation_EvolutionDynamicsCliffBeachSystems	Hand-collecting	37.0604	-8.0864	3.36	0.40	99.60	0.00	1.227	0.889	-0.088	0.885	1.747		
11	2261	FN_P6_Face	Beach face	2010-02-06	Graduation_EvolutionDynamicsCliffBeachSystems	Hand-collecting	37.0606	-8.0870	0.98	0.80	99.20	0.00	1.270	0.646	-0.039	0.996	1.247		
12	2262	FN_P6_Berma	Berm	2010-02-06	Graduation_EvolutionDynamicsCliffBeachSystems	Hand-collecting	37.0607	-8.0869	2.80	0.10	99.90	0.00	1.206	0.657	-0.051	0.996	1.247		
13	2265	FN_P7_Face	Beach face	2010-02-06	Graduation_EvolutionDynamicsCliffBeachSystems	Hand-collecting	37.0608	-8.0874	1.26	0.00	100.00	0.00	1.196	0.473	0.033	0.924	1.247		
14	2266	FN_P7_Berma	Berm	2010-02-06	Graduation_EvolutionDynamicsCliffBeachSystems	Hand-collecting	37.0609	-8.0873	3.29	0.20	99.80	0.00	0.835	0.671	-0.011	0.953	0.747		
15	2268	FN_P8_Face	Beach face	2010-02-06	Graduation_EvolutionDynamicsCliffBeachSystems	Hand-collecting	37.0611	-8.0879	1.15	0.30	99.70	0.00	0.953	0.468	0.083	1.060	0.747		
16	2269	FN_P8_Berma	Berm	2010-02-06	Graduation_EvolutionDynamicsCliffBeachSystems	Hand-collecting	37.0613	-8.0878	3.52	0.10	99.90	0.00	1.272	0.538	0.016	1.010	1.247		
17	1137A	Deposito	Deposit	2010-02-06	Graduation_EvolutionDynamicsCliffBeachSystems	Hand-collecting	37.0614	-8.0879	3.66	0.00	85.90	14.10	1.522	1.713	0.451	1.890	1.247	0.247	
18	1138A	Arriba	Cliff	2010-02-06	Graduation_EvolutionDynamicsCliffBeachSystems	Hand-collecting	37.0606	-8.0866	13.31	1.50	84.40	14.20	1.415	1.722	0.461	1.925	0.247	1.247	
19	2357	FN_P1_Face	Beach face	2010-07-16	Graduation_EvolutionDynamicsCliffBeachSystems	Hand-collecting	37.0590	-8.0849	1.73	0.00	100.00	0.00	1.645	0.657	0.233	1.006	1.247		
20	2358	FN_P1_BermaI a	Berm	2010-07-16	Graduation_EvolutionDynamicsCliffBeachSystems	Hand-collecting	37.0593	-8.0847	3.89	21.20	78.80	0.00	-0.180	1.113	-0.123	1.071	-0.243	-2.743	
21	2359	FN_P1_BermaF b	Berm	2010-07-16	Graduation_EvolutionDynamicsCliffBeachSystems	Hand-collecting	37.0591	-8.0848	3.81	15.50	84.50	0.00	0.035	1.017	-0.079	1.007	0.747		
