/* DATA DESCRIPTION:
Citation:	REQLAGOONRF Project Members (2000): Processing samples for the morphological study of Ancao, Armona, Tavira and Cabanas islands before and after beach nourishment. PANGAEA, https://doi.org/10.1594/PANGAEA.883112, 
	In supplement to: Costas, Susana; Ramires, Margarida; de Sousa, Luisa B; Mendes, Isabel Maria de Paiva Pinto; Ferreira, Óscar (2018): Surficial sediment texture database for the south-western Iberian Atlantic margin. Earth System Science Data, 10(2), 1185-1195, https://doi.org/10.5194/essd-10-1185-2018
Original version:	Original data of surficial sediment texture from the Iberian Atlantic Margin Sediments Database (IBAM-Sed) (URI: https://store.pangaea.de/Publications/Coasta-etal_2017/PLOSscripts.zip)
Further details:	Costas, Susana; Ramires, Margarida; de Sousa, Luisa B; Mendes, Isabel Maria de Paiva Pinto; Ferreira, Óscar (2018): Shape files of surficial sediment texture from the Iberian Atlantic Margin Sediments Database (IBAM-Sed). PANGAEA, https://doi.org/10.1594/PANGAEA.890946
Coverage:	MEDIAN LATITUDE: 37.071666 * MEDIAN LONGITUDE: -7.748683 * SOUTH-BOUND LATITUDE: 37.013531 * WEST-BOUND LONGITUDE: -8.026198 * NORTH-BOUND LATITUDE: 37.141647 * EAST-BOUND LONGITUDE: -7.573253
	DATE/TIME START: 1999-04-23T00:00:00 * DATE/TIME END: 2000-08-02T00:00:00
Event(s):	IBAM-Sed_REQLAGOONRF * LATITUDE: 37.084800 * LONGITUDE: -7.804200 * DATE/TIME START: 1999-04-23T00:00:00 * DATE/TIME END: 2000-08-02T00:00:00 * METHOD/DEVICE: Sampling by hand (HAND)
Comment:	REQLAGOONRF (2000). Requalification of the Lagunar System of Ria Formosa
Parameter(s):	Sample ID (Sample ID) * PI: REQLAGOONRF Project Members * COMMENT: Sample number
	Sample ID (Sample ID) * PI: REQLAGOONRF Project Members * COMMENT: Acess number from laboratory
	Sample ID (Sample ID) * PI: REQLAGOONRF Project Members * COMMENT: Reference sample in the collect
	Sample comment (Sample comment) * PI: REQLAGOONRF Project Members
	DATE/TIME (Date/Time) * GEOCODE * PI: REQLAGOONRF Project Members * COMMENT: of collecting
	Project (Project) * PI: REQLAGOONRF Project Members
	Sample method (Sample method) * PI: REQLAGOONRF Project Members
	LATITUDE (Latitude) * GEOCODE * PI: REQLAGOONRF Project Members
	LONGITUDE (Longitude) * GEOCODE * PI: REQLAGOONRF Project Members
	Chart datum [m] (Chart datum) * PI: REQLAGOONRF Project Members * COMMENT: Hydrographic datum (m)
	Gravel [%] (Gravel) * PI: REQLAGOONRF Project Members * METHOD/DEVICE: Grain size, sieving
	Sandstone [%] (Sdst) * PI: REQLAGOONRF Project Members * METHOD/DEVICE: Grain size, sieving
	Mudstone [%] (Mudstone) * PI: REQLAGOONRF Project Members * METHOD/DEVICE: Grain size, sieving
	Grain size, mean [phi] (Grain size mean) * PI: REQLAGOONRF Project Members * METHOD/DEVICE: Grain size, sieving, Folk and Ward method
	Standard deviation [±] (Std dev) * PI: REQLAGOONRF Project Members * METHOD/DEVICE: Grain size, sieving, Folk and Ward method * COMMENT: Of sample value
	Skewness (Skew) * PI: REQLAGOONRF Project Members * METHOD/DEVICE: Grain size, sieving, Folk and Ward method
	Kurtosis (Kurt) * PI: REQLAGOONRF Project Members * METHOD/DEVICE: Grain size, sieving, Folk and Ward method
	Mode, grain size [phi] (Mode) * PI: REQLAGOONRF Project Members * METHOD/DEVICE: Grain size, sieving, Folk and Ward method * COMMENT: 1st Mode sample value
	Mode, grain size [phi] (Mode) * PI: REQLAGOONRF Project Members * METHOD/DEVICE: Grain size, sieving, Folk and Ward method * COMMENT: 2nd Mode sample value
	Mode, grain size [phi] (Mode) * PI: REQLAGOONRF Project Members * METHOD/DEVICE: Grain size, sieving, Folk and Ward method * COMMENT: 3rd Mode sample value
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	1504 data points
*/
Sample ID (Sample number)	Sample ID (Acess number from laboratory)	Sample ID (Reference sample in the collect)	Sample comment	Date/Time (of collecting)	Project	Sample method	Latitude	Longitude	Chart datum [m] (Hydrographic datum (m))	Gravel [%] (Grain size, sieving)	Sdst [%] (Grain size, sieving)	Mudstone [%] (Grain size, sieving)	Grain size mean [phi] (Grain size, sieving, Folk and...)	Std dev [±] (Of sample value, Grain size, ...)	Skew (Grain size, sieving, Folk and...)	Kurt (Grain size, sieving, Folk and...)	Mode [phi] (1st Mode sample value, Grain ...)	Mode [phi] (2nd Mode sample value, Grain ...)	Mode [phi] (3rd Mode sample value, Grain ...)
1	763A	An1.Duna	Dune	2000-02-03	ReqSistLagRFormosa	Hand-Collecting	37.0139	-8.0057	8	0.00	100.00	0.00	1.020	0.670	0.060	1.000	0.750		
2	764A	An1.Berma	Berm	2000-02-03	ReqSistLagRFormosa	Hand-Collecting	37.0138	-8.0060	4	1.60	98.40	0.00	0.760	0.680	-0.050	0.930	0.750		
3	765A	An1.Face	Beach face	2000-02-03	ReqSistLagRFormosa	Hand-Collecting	37.0138	-8.0061	2	0.20	99.80	0.00	1.280	0.600	-0.150	1.110	1.250		
4	766A	An1.Terraco	Low tide terrace	2000-02-03	ReqSistLagRFormosa	Hand-Collecting	37.0135	-8.0066		4.60	95.40	0.00	0.470	0.790	0.300	0.750	-0.240		
5	767A	An2.Duna	Dune	2000-02-03	ReqSistLagRFormosa	Hand-Collecting	37.0196	-8.0158	7	0.00	100.00	0.00	1.100	0.550	0.030	1.040	1.250		
6	768A	An2.Berma	Berm	2000-02-03	ReqSistLagRFormosa	Hand-Collecting	37.0195	-8.0160	6	0.90	99.10	0.00	0.950	0.710	-0.150	0.960	1.250		
7	769A	An2.Face	Beach face	2000-02-03	ReqSistLagRFormosa	Hand-Collecting	37.0194	-8.0162	2	0.30	99.70	0.00	1.350	0.650	-0.140	1.070	1.750		
8	770A	An2.Terraco	Low tide terrace	2000-02-03	ReqSistLagRFormosa	Hand-Collecting	37.0192	-8.0167		0.30	99.70	0.00	1.680	0.580	-0.170	1.060	1.750		
9	771A	An3.Duna	Dune	2000-02-03	ReqSistLagRFormosa	Hand-Collecting	37.0252	-8.0252	9	0.10	99.90	0.00	0.960	0.620	0.020	0.970	0.750		
10	772A	An3.Berma	Berm	2000-02-03	ReqSistLagRFormosa	Hand-Collecting	37.0251	-8.0254	5	0.80	99.20	0.00	0.940	0.530	-0.010	1.010	0.750		
11	773A	An3.Face	Beach face	2000-02-03	ReqSistLagRFormosa	Hand-Collecting	37.0251	-8.0256	3	0.60	99.40	0.00	0.910	0.790	-0.140	0.750	1.250	0.247	
12	774A	An3.Terraco	Low tide terrace	2000-02-03	ReqSistLagRFormosa	Hand-Collecting	37.0249	-8.0262		75.10	24.90	0.00	-1.550	0.890	0.680	0.790	-2.240	-1.243	-0.243
13	775A	An1.Duna	Dune	2000-08-02	ReqSistLagRFormosa	Hand-Collecting	37.0252	-8.0253	8	2.10	97.90	0.00	0.790	0.700	-0.100	0.970	0.750		
14	776A	An1.Berma	Berm	2000-08-02	ReqSistLagRFormosa	Hand-Collecting	37.0251	-8.0256	4	0.00	100.00	0.00	0.470	0.470	0.140	1.050	0.250		
15	777A	An1.Face	Beach face	2000-08-02	ReqSistLagRFormosa	Hand-Collecting	37.0250	-8.0257	2	6.00	94.00	0.00	0.030	0.500	-0.070	1.350	-0.240		
16	778A	An1.Terraco	Low tide terrace	2000-08-02	ReqSistLagRFormosa	Hand-Collecting	37.0249	-8.0262	0	0.00	100.00	0.00	1.660	0.470	-0.070	1.140	1.750		
17	779A	An2.aterro	Nourishment	2000-08-02	ReqSistLagRFormosa	Hand-Collecting	37.0195	-8.0159	6	4.40	95.60	0.00	0.660	0.960	0.330	0.870	-0.240		
18	780A	An2.Berma	Berm	2000-08-02	ReqSistLagRFormosa	Hand-Collecting	37.0195	-8.0161	6	1.20	98.80	0.00	0.900	0.850	0.000	0.920	1.250		
19	781A	An2.Face	Beach face	2000-08-02	ReqSistLagRFormosa	Hand-Collecting	37.0194	-8.0163	2	1.30	98.70	0.00	0.920	0.530	-0.050	1.020	0.750		
20	782A	An2.Terraco	Low tide terrace	2000-08-02	ReqSistLagRFormosa	Hand-Collecting	37.0192	-8.0167	0	11.80	88.20	0.00	-0.140	0.580	-0.040	2.960	-0.240		
21	783A	An3.Aterro	Nourishment	2000-08-02	ReqSistLagRFormosa	Hand-Collecting	37.0139	-8.0058	6	11.80	88.20	0.00	-0.140	0.580	-0.040	2.960	-0.240		
22	784A	An3.Berma	Berm	2000-08-02	ReqSistLagRFormosa	Hand-Collecting	37.0138	-8.0059	5	0.20	99.80	0.00	1.220	0.630	-0.060	1.040	1.250		
23	785A	An3.Face	Beach face	2000-08-02	ReqSistLagRFormosa	Hand-Collecting	37.0137	-8.0062	1	1.90	98.10	0.00	0.250	0.490	0.110	0.980	0.250		
24	786A	An3.Terraco	Low tide terrace	2000-08-02	ReqSistLagRFormosa	Hand-Collecting	37.0135	-8.0065	0	45.00	55.00	0.00	-0.890	0.960	-0.520	0.610	-0.240	-2.240	-1.240
