/* DATA DESCRIPTION:
Citation:	RUSH Project Members (2015): Sediment sample analysis to determine variations after overwash at Ancao peninsula within the frame of the RUSH project. PANGAEA, https://doi.org/10.1594/PANGAEA.883078, 
	In supplement to: Costas, Susana; Ramires, Margarida; de Sousa, Luisa B; Mendes, Isabel Maria de Paiva Pinto; Ferreira, Óscar (2018): Surficial sediment texture database for the south-western Iberian Atlantic margin. Earth System Science Data, 10(2), 1185-1195, https://doi.org/10.5194/essd-10-1185-2018
Original version:	Original data of surficial sediment texture from the Iberian Atlantic Margin Sediments Database (IBAM-Sed) (URI: https://store.pangaea.de/Publications/Coasta-etal_2017/PLOSscripts.zip)
Further details:	Costas, Susana; Ramires, Margarida; de Sousa, Luisa B; Mendes, Isabel Maria de Paiva Pinto; Ferreira, Óscar (2018): Shape files of surficial sediment texture from the Iberian Atlantic Margin Sediments Database (IBAM-Sed). PANGAEA, https://doi.org/10.1594/PANGAEA.890946
Coverage:	MEDIAN LATITUDE: 36.972295 * MEDIAN LONGITUDE: -7.934119 * SOUTH-BOUND LATITUDE: 36.972190 * WEST-BOUND LONGITUDE: -7.934199 * NORTH-BOUND LATITUDE: 36.972410 * EAST-BOUND LONGITUDE: -7.934035
	DATE/TIME START: 2012-09-15T00:00:00 * DATE/TIME END: 2013-12-12T00:00:00
Event(s):	IBAM-Sed_RUSH * LATITUDE: 36.970100 * LONGITUDE: -7.933800 * DATE/TIME START: 2012-09-15T00:00:00 * DATE/TIME END: 2013-12-12T00:00:00 * METHOD/DEVICE: Sampling by hand (HAND)
Comment:	RUSH (2015). From Runup to Overwash
Parameter(s):	Sample ID (Sample ID) * PI: RUSH Project Members * COMMENT: Sample number
	Sample ID (Sample ID) * PI: RUSH Project Members * COMMENT: Acess number from laboratory
	Sample ID (Sample ID) * PI: RUSH Project Members * COMMENT: Reference sample in the collect
	Sample comment (Sample comment) * PI: RUSH Project Members
	DATE/TIME (Date/Time) * GEOCODE * PI: RUSH Project Members * COMMENT: of collecting
	Project (Project) * PI: RUSH Project Members
	Sample method (Sample method) * PI: RUSH Project Members
	LATITUDE (Latitude) * GEOCODE * PI: RUSH Project Members
	LONGITUDE (Longitude) * GEOCODE * PI: RUSH Project Members
	Gravel [%] (Gravel) * PI: RUSH Project Members * METHOD/DEVICE: Grain size, sieving
	Sandstone [%] (Sdst) * PI: RUSH Project Members * METHOD/DEVICE: Grain size, sieving
	Mudstone [%] (Mudstone) * PI: RUSH Project Members * METHOD/DEVICE: Grain size, sieving
	Grain size, mean [phi] (Grain size mean) * PI: RUSH Project Members * METHOD/DEVICE: Grain size, sieving, Folk and Ward method
	Standard deviation [±] (Std dev) * PI: RUSH Project Members * METHOD/DEVICE: Grain size, sieving, Folk and Ward method * COMMENT: Of sample value
	Skewness (Skew) * PI: RUSH Project Members * METHOD/DEVICE: Grain size, sieving, Folk and Ward method
	Kurtosis (Kurt) * PI: RUSH Project Members * METHOD/DEVICE: Grain size, sieving, Folk and Ward method
	Mode, grain size [phi] (Mode) * PI: RUSH Project Members * METHOD/DEVICE: Grain size, sieving, Folk and Ward method * COMMENT: 1st Mode sample value
