,latitude,longitude,hs_mean,mstr,d50,beach_slope_average
5,41.24042,-70.10079,3.3,0.9,0.542058824,0.058
5,41.24042,-70.10079,5.1,0.9,0.542058824,0.058
14,41.24101,-70.10502,3.3,0.9,0.526303725,0.142
14,41.24101,-70.10502,5.1,0.9,0.526303725,0.142
22,41.24142,-70.10792,3.3,0.9,0.643023256,0.128
22,41.24142,-70.10792,5.1,0.9,0.643023256,0.128
32,41.24196,-70.11251,3.3,0.9,0.522023529,0.125
32,41.24196,-70.11251,5.1,0.9,0.522023529,0.125
38,41.24284,-70.11832,3.3,0.9,0.430776256,0.058
38,41.24284,-70.11832,5.1,0.9,0.430776256,0.058
41,41.24297,-70.11827,3.3,0.9,0.542744063,0.11
41,41.24297,-70.11827,5.1,0.9,0.542744063,0.11
47,41.40908,-70.53819,1,0.6,0.676857143,0.116
51,41.40923,-70.53835,1,0.6,0.771962617,0.137
57,41.41094,-70.54164,1,0.6,0.622121212,0.128
60,41.41102,-70.54156,1,0.6,0.679122807,0.138
67,41.41307,-70.54454,1,0.6,0.714440994,0.119
69,41.41309,-70.54447,1,0.6,0.652748092,0.147
72,41.41506,-70.54678,1,0.6,0.73544484,0.114
75,41.41512,-70.54679,1,0.6,0.53833935,0.118
81,41.41783,-70.54802,1,0.6,0.371859649,0.118
86,41.41813,-70.54824,1,0.6,0.530752351,0.113
93,41.42253,-70.55192,1,0.6,0.550679612,0.112
98,41.42263,-70.55192,1,0.6,0.465980066,0.113
102,41.4261,-70.5543,1,0.6,0.320909091,0.131
107,41.4262,-70.55429,1,0.6,0.443490305,0.113
112,41.43113,-70.55582,1,0.6,0.510065789,0.119
117,41.43119,-70.55583,1,0.6,0.502795031,0.124
122,41.43223,-70.55598,1,0.6,0.59213198,0.114
128,41.45201,-70.55336,0.9,0.6,0.43167756,0.109
128,41.45201,-70.55336,1.1,0.6,0.43167756,0.109
130,41.45202,-70.55329,0.9,0.6,0.545451505,0.116
130,41.45202,-70.55329,1.1,0.6,0.545451505,0.116
136,41.45367,-70.55357,0.9,0.6,0.439489559,0.115
136,41.45367,-70.55357,1.1,0.6,0.439489559,0.115
140,41.45375,-70.55345,0.9,0.6,0.782850242,0.129
140,41.45375,-70.55345,1.1,0.6,0.782850242,0.129
145,41.45445,-70.55414,0.9,0.6,0.437307692,0.095
145,41.45445,-70.55414,1.1,0.6,0.437307692,0.095
149,41.45449,-70.5541,0.9,0.6,1.220054645,0.102
149,41.45449,-70.5541,1.1,0.6,1.220054645,0.102
153,41.45535,-70.55465,0.9,0.6,0.473888889,0.112
153,41.45535,-70.55465,1.1,0.6,0.473888889,0.112
157,41.4554,-70.55466,0.9,0.6,0.530967742,0.109
157,41.4554,-70.55466,1.1,0.6,0.530967742,0.109
160,41.45633,-70.55522,0.9,0.6,0.52412,0.119
160,41.45633,-70.55522,1.1,0.6,0.52412,0.119
161,41.45633,-70.5552,0.9,0.6,1.268479532,0.08
161,41.45633,-70.5552,1.1,0.6,1.268479532,0.08
167,41.54208,-70.61841,1.1,0.6,0.372783019,0.106
167,41.54208,-70.61841,2.1,0.6,0.372783019,0.106
168,41.5421,-70.61847,1.1,0.6,0.27037037,0.116
168,41.5421,-70.61847,2.1,0.6,0.27037037,0.116
174,41.54116,-70.62399,1.1,0.6,0.307849829,0.119
174,41.54116,-70.62399,2.1,0.6,0.307849829,0.119
175,41.54116,-70.62396,1.1,0.6,0.527692308,0.121
175,41.54116,-70.62396,2.1,0.6,0.527692308,0.121
182,41.54145,-70.62233,1.1,0.6,0.421767956,0.142
182,41.54145,-70.62233,2.1,0.6,0.421767956,0.142
183,41.54149,-70.62229,1.1,0.6,0.326470588,0.107
183,41.54149,-70.62229,2.1,0.6,0.326470588,0.107
190,41.54178,-70.6199,1.1,0.6,0.349299065,0.118
190,41.54178,-70.6199,2.1,0.6,0.349299065,0.118
191,41.54179,-70.61993,1.1,0.6,0.346982759,0.094
191,41.54179,-70.61993,2.1,0.6,0.346982759,0.094
204,41.54237,-70.61635,1.1,0.6,7.057005988,0.148
204,41.54237,-70.61635,2.1,0.6,7.057005988,0.148
205,41.54242,-70.61635,1.1,0.6,0.331349206,0.095
205,41.54242,-70.61635,2.1,0.6,0.331349206,0.095
