,latitude,longitude,hs_mean,mstr,d50,beach_slope_average
0,41.24014,-70.10078,3.3,0.9,0.651904762,0.058
0,41.24014,-70.10078,5.1,0.9,0.651904762,0.058
2,41.24029,-70.10081,3.3,0.9,0.503382046,0.066
2,41.24029,-70.10081,5.1,0.9,0.503382046,0.066
8,41.24078,-70.10511,3.3,0.9,0.532750716,0.098
8,41.24078,-70.10511,5.1,0.9,0.532750716,0.098
10,41.24088,-70.10506,3.3,0.9,0.654583333,0.142
10,41.24088,-70.10506,5.1,0.9,0.654583333,0.142
17,41.24116,-70.10791,3.3,0.9,0.525682927,0.085
17,41.24116,-70.10791,5.1,0.9,0.525682927,0.085
18,41.24121,-70.10796,3.3,0.9,0.748648649,0.128
18,41.24121,-70.10796,5.1,0.9,0.748648649,0.128
26,41.24164,-70.1126,3.3,0.9,0.5809375,0.075
26,41.24164,-70.1126,5.1,0.9,0.5809375,0.075
29,41.24181,-70.11253,3.3,0.9,0.62522673,0.125
29,41.24181,-70.11253,5.1,0.9,0.62522673,0.125
34,41.24257,-70.11845,3.3,0.9,0.566939502,0.058
34,41.24257,-70.11845,5.1,0.9,0.566939502,0.058
37,41.2428,-70.11832,3.3,0.9,0.597515658,0.11
37,41.2428,-70.11832,5.1,0.9,0.597515658,0.11
50,41.40914,-70.53813,1,0.6,0.855323944,0.116
53,41.40929,-70.53831,1,0.6,0.561666667,0.137
59,41.411,-70.54158,1,0.6,0.570227273,0.128
62,41.41107,-70.54151,1,0.6,0.636451613,0.138
76,41.41512,-70.54669,1,0.6,1.280793651,0.114
78,41.41517,-70.54672,1,0.6,0.943917526,0.118
83,41.41789,-70.54792,1,0.6,0.763529412,0.118
87,41.4131,-70.54447,1,0.6,1.051630435,0.119
89,41.41312,-70.54442,1,0.6,0.74877193,0.147
91,41.41818,-70.54818,1,0.6,0.805380435,0.113
96,41.42256,-70.55181,1,0.6,0.757488584,0.112
100,41.42267,-70.55184,1,0.6,0.598793103,0.113
104,41.42612,-70.55421,1,0.6,0.827419355,0.131
109,41.42624,-70.5542,1,0.6,0.648709677,0.113
115,41.43116,-70.5557,1,0.6,1.236597222,0.119
119,41.43122,-70.55573,1,0.6,0.760714286,0.124
124,41.43225,-70.55587,1,0.6,1.125966851,0.114
131,41.45203,-70.55327,0.9,0.6,0.560802676,0.109
131,41.45203,-70.55327,1.1,0.6,0.560802676,0.109
133,41.45204,-70.5532,0.9,0.6,1.370240964,0.116
133,41.45204,-70.5532,1.1,0.6,1.370240964,0.116
138,41.4537,-70.5535,0.9,0.6,0.622555205,0.115
138,41.4537,-70.5535,1.1,0.6,0.622555205,0.115
142,41.45378,-70.55338,0.9,0.6,20.40695853,0.129
142,41.45378,-70.55338,1.1,0.6,20.40695853,0.129
148,41.45448,-70.55405,0.9,0.6,0.53260479,0.095
148,41.45448,-70.55405,1.1,0.6,0.53260479,0.095
151,41.45452,-70.55402,0.9,0.6,33.89444444,0.102
151,41.45452,-70.55402,1.1,0.6,33.89444444,0.102
155,41.45537,-70.55458,0.9,0.6,0.590652174,0.112
155,41.45537,-70.55458,1.1,0.6,0.590652174,0.112
159,41.45544,-70.55457,0.9,0.6,31.29954128,0.109
159,41.45544,-70.55457,1.1,0.6,31.29954128,0.109
164,41.45636,-70.55513,0.9,0.6,0.458702065,0.119
164,41.45636,-70.55513,1.1,0.6,0.458702065,0.119
165,41.45638,-70.55506,0.9,0.6,0.569786096,0.08
165,41.45638,-70.55506,1.1,0.6,0.569786096,0.08
170,41.54104,-70.6239,1.1,0.6,1.180420168,0.121
170,41.54104,-70.6239,2.1,0.6,1.180420168,0.121
171,41.54109,-70.62396,1.1,0.6,0.350985915,0.119
171,41.54109,-70.62396,2.1,0.6,0.350985915,0.119
178,41.54135,-70.62227,1.1,0.6,0.405572519,0.107
178,41.54135,-70.62227,2.1,0.6,0.405572519,0.107
179,41.5414,-70.62233,1.1,0.6,0.952941176,0.142
179,41.5414,-70.62233,2.1,0.6,0.952941176,0.142
186,41.54169,-70.61985,1.1,0.6,1.036292135,0.118
186,41.54169,-70.61985,2.1,0.6,1.036292135,0.118
187,41.5417,-70.61989,1.1,0.6,0.977846154,0.094
187,41.5417,-70.61989,2.1,0.6,0.977846154,0.094
195,41.542,-70.61838,1.1,0.6,0.49483871,0.106
195,41.542,-70.61838,2.1,0.6,0.49483871,0.106
196,41.54202,-70.61847,1.1,0.6,0.582666667,0.116
196,41.54202,-70.61847,2.1,0.6,0.582666667,0.116
200,41.54232,-70.61633,1.1,0.6,6.785777027,0.148
200,41.54232,-70.61633,2.1,0.6,6.785777027,0.148
201,41.54233,-70.6163,1.1,0.6,0.720881057,0.095
201,41.54233,-70.6163,2.1,0.6,0.720881057,0.095
