,latitude,longitude,hs_mean,mstr,d50,beach_slope_average
1,41.24029,-70.10079,3.3,0.9,0.445735661,0.058
1,41.24029,-70.10079,5.1,0.9,0.445735661,0.058
3,41.24035,-70.10081,3.3,0.9,0.506675824,0.066
3,41.24035,-70.10081,5.1,0.9,0.506675824,0.066
11,41.2409,-70.10508,3.3,0.9,0.430316742,0.098
11,41.2409,-70.10508,5.1,0.9,0.430316742,0.098
13,41.24095,-70.10504,3.3,0.9,0.507218045,0.142
13,41.24095,-70.10504,5.1,0.9,0.507218045,0.142
19,41.24123,-70.10793,3.3,0.9,0.396456456,0.085
19,41.24123,-70.10793,5.1,0.9,0.396456456,0.085
20,41.2413,-70.10794,3.3,0.9,0.5601875,0.128
20,41.2413,-70.10794,5.1,0.9,0.5601875,0.128
27,41.24169,-70.11258,3.3,0.9,0.447220779,0.075
27,41.24169,-70.11258,5.1,0.9,0.447220779,0.075
31,41.24191,-70.11252,3.3,0.9,0.549296482,0.125
31,41.24191,-70.11252,5.1,0.9,0.549296482,0.125
35,41.24262,-70.11843,3.3,0.9,0.455216285,0.058
35,41.24262,-70.11843,5.1,0.9,0.455216285,0.058
39,41.24288,-70.1183,3.3,0.9,0.529511628,0.11
39,41.24288,-70.1183,5.1,0.9,0.529511628,0.11
48,41.40911,-70.53815,1,0.6,0.52759434,0.116
52,41.40925,-70.53833,1,0.6,0.602258065,0.137
58,41.41097,-70.54161,1,0.6,0.434841629,0.128
61,41.41104,-70.54154,1,0.6,0.761071429,0.138
68,41.41309,-70.5445,1,0.6,0.596025105,0.119
73,41.41509,-70.54674,1,0.6,0.509402985,0.114
77,41.41514,-70.54675,1,0.6,0.67246696,0.118
82,41.41785,-70.54797,1,0.6,0.349315068,0.118
88,41.4131,-70.54445,1,0.6,0.57373494,0.147
90,41.41815,-70.54821,1,0.6,0.550338983,0.113
94,41.42255,-70.55186,1,0.6,0.459190283,0.112
99,41.42265,-70.55188,1,0.6,0.645588235,0.113
103,41.42611,-70.55426,1,0.6,0.417320574,0.131
108,41.42622,-70.55424,1,0.6,0.578691099,0.113
114,41.43114,-70.55577,1,0.6,0.490289017,0.119
118,41.4312,-70.55579,1,0.6,0.619461078,0.124
123,41.43224,-70.55591,1,0.6,1.052413793,0.114
129,41.45202,-70.55332,0.9,0.6,0.491272727,0.109
129,41.45202,-70.55332,1.1,0.6,0.491272727,0.109
132,41.45203,-70.55324,0.9,0.6,0.96,0.116
132,41.45203,-70.55324,1.1,0.6,0.96,0.116
137,41.45369,-70.55353,0.9,0.6,0.445239437,0.115
137,41.45369,-70.55353,1.1,0.6,0.445239437,0.115
141,41.45376,-70.55342,0.9,0.6,0.812681159,0.129
141,41.45376,-70.55342,1.1,0.6,0.812681159,0.129
147,41.45447,-70.55408,0.9,0.6,0.478613861,0.095
147,41.45447,-70.55408,1.1,0.6,0.478613861,0.095
150,41.4545,-70.55407,0.9,0.6,0.804025157,0.102
150,41.4545,-70.55407,1.1,0.6,0.804025157,0.102
154,41.45536,-70.55461,0.9,0.6,0.461498559,0.112
154,41.45536,-70.55461,1.1,0.6,0.461498559,0.112
158,41.45542,-70.55461,0.9,0.6,0.929448819,0.109
158,41.45542,-70.55461,1.1,0.6,0.929448819,0.109
162,41.45635,-70.55516,0.9,0.6,0.460373832,0.119
162,41.45635,-70.55516,1.1,0.6,0.460373832,0.119
163,41.45635,-70.55513,0.9,0.6,32.64361702,0.08
163,41.45635,-70.55513,1.1,0.6,32.64361702,0.08
166,41.54205,-70.6184,1.1,0.6,0.283657588,0.106
166,41.54205,-70.6184,2.1,0.6,0.283657588,0.106
172,41.54112,-70.62394,1.1,0.6,0.327892562,0.121
172,41.54112,-70.62394,2.1,0.6,0.327892562,0.121
173,41.54113,-70.62398,1.1,0.6,0.311842105,0.119
173,41.54113,-70.62398,2.1,0.6,0.311842105,0.119
180,41.54143,-70.62233,1.1,0.6,0.296621622,0.142
180,41.54143,-70.62233,2.1,0.6,0.296621622,0.142
181,41.54143,-70.62228,1.1,0.6,0.335863874,0.107
181,41.54143,-70.62228,2.1,0.6,0.335863874,0.107
188,41.54174,-70.61991,1.1,0.6,0.42754717,0.094
188,41.54174,-70.61991,2.1,0.6,0.42754717,0.094
189,41.54174,-70.61987,1.1,0.6,0.35,0.118
189,41.54174,-70.61987,2.1,0.6,0.35,0.118
197,41.54205,-70.61848,1.1,0.6,0.338186813,0.116
197,41.54205,-70.61848,2.1,0.6,0.338186813,0.116
202,41.54235,-70.61634,1.1,0.6,6.033092105,0.148
202,41.54235,-70.61634,2.1,0.6,6.033092105,0.148
203,41.54237,-70.61632,1.1,0.6,0.289179104,0.095
203,41.54237,-70.61632,2.1,0.6,0.289179104,0.095
