Beach,Latitude,Longitude,Season,Sample Date,,,Hsig: prior 30 day avg.,Hsig: prior 30 days 12 hr-avg max ,Mean Tidal Range
Name,degrees,degrees,,year,month,day,meters,meters,meters
Salisbury,42.8494,-70.8155,summer,2015,8,27,0.8,1.2,2.7
Salisbury,42.8494,-70.8155,winter,2016,3,9,0.9,1.8,2.7
Plum Island,42.8046,-70.8088,summer,2015,8,31,0.9,1.3,2.7
Plum Island,42.8046,-70.8088,winter,2016,3,17,0.9,2,2.7
Rockport,42.6295,-70.6169,summer,2015,8,24,1.2,1.8,2.7
Rockport,42.6295,-70.6169,winter,2016,3,7,2.5,7.6,2.7
Nahant,42.4465,-70.9367,summer,2015,8,25,0.7,0.9,2.8
Nahant,42.4465,-70.9367,winter,2016,3,22,0.7,1.4,2.8
Revere,42.4196,-70.9817,summer,2015,9,2,0.7,1.2,2.8
Revere,42.4196,-70.9817,winter,2016,3,8,0.8,1.4,2.8
Nantasket,42.2841,-70.8672,summer,2015,8,17,0.7,1,2.8
Nantasket,42.2841,-70.8672,winter,2016,3,14,0.9,1.4,2.8
Peggotty,42.1888,-70.7187,summer,2015,8,19,0.6,1.4,2.7
Peggotty,42.1888,-70.7187,winter,2016,3,16,1.2,2.8,2.7
Humarock,42.145,-70.6936,summer,2015,9,10,0.6,1.3,2.8
Humarock,42.145,-70.6936,winter,2016,3,23,1.1,2.8,2.8
Marshfield,42.1008,-70.655,summer,2015,8,20,0.5,1.2,2.8
Marshfield,42.1008,-70.655,winter,2016,3,17,1.1,2.8,2.8
Plymouth,41.959,-70.6359,summer,2015,9,8,0.4,1.1,2.9
Plymouth,41.959,-70.6359,winter,2016,3,29,0.9,2.7,2.9
Low,41.2523,-69.9673,summer,2014,9,22,1.5,3.6,0.9
Low,41.2523,-69.9673,winter,2015,3,16,2.3,6.2,0.9
Miacomet,41.2414,-70.1089,summer,2014,9,22,1.4,3.3,0.9
Miacomet,41.2414,-70.1089,winter,2015,3,15,2,5.1,0.9
Sylvia,41.4191,-70.5481,summer,2014,9,19,0.5,1,0.6
Sylvia,41.4191,-70.5481,winter,2015,3,24,0.5,1,0.6
Town,41.4544,-70.5541,summer,2014,9,19,0.5,0.9,0.6
Town,41.4544,-70.5541,winter,2015,3,23,0.6,1.1,0.6
Surf,41.5417,-70.6202,summer,2014,9,18,0.4,1.1,0.6
Surf,41.5417,-70.6202,winter,2015,3,18,0.8,2.1,0.6
Barges,41.4234,-70.9202,summer,2014,8,14,1.1,2.3,1
Barges,41.4234,-70.9202,winter,2015,3,13,1.5,3.2,1
East,41.5038,-71.0247,summer,2014,8,12,1.1,2.3,1.1
East,41.5038,-71.0247,winter,2015,3,10,1.5,3.1,1.1
Horseneck,41.499,-71.0428,summer,2014,8,11,1.1,2.3,1.1
Horseneck,41.499,-71.0428,winter,2015,3,11,1.5,3.1,1.1
