ID,Sample_ID,Sample_Type_Code,Project,dataset,Date,Location_Type,latitude,longitude,Contact,num_orig_dists,Measured_Distributions,Grainsize,Mean,Median,Wentworth,Kurtosis,Kurtosis_Class,Skewness,Skewness_Class,Std,Sorting,d5,d10,d16,d25,d30,d50,d65,d75,d84,d90,d95,Notes
239276,,1,,UMASS,3/16/2015,low tide,41.24014,-70.10078,"Jonathan Woodruff, UMASS",0,,,0.617621608,,CoarseSand,0.785206275,Platykurtic,0.524668215,VeryCoarseSkewed,0.708514135,VeryWellSorted,0.348275862,0.41125,0.4624,0.523742331,0.551349693,0.651904762,,0.752020202,0.781565657,0.801262626,0.817676768,Season: winter; Beach Face: 0.058; Transect: E
239277,,1,,UMASS,3/16/2015,mid tide ,41.24029,-70.10079,"Jonathan Woodruff, UMASS",0,,,0.431931199,,MediumSand,0.708953928,Platykurtic,0.550560995,VeryCoarseSkewed,0.793657262,VeryWellSorted,0.301980198,0.326732673,0.3540625,0.3821875,0.3978125,0.445735661,,0.495610973,0.510606586,0.519965338,0.527764298,Season: winter; Beach Face: 0.058; Transect: E
239278,,1,,UMASS,9/23/2014,low tide,41.24029,-70.10081,"Jonathan Woodruff, UMASS",0,,,0.485659168,,MediumSand,0.771027036,Platykurtic,0.52927329,VeryCoarseSkewed,0.796158746,VeryWellSorted,0.334042553,0.368846154,0.401153846,0.43533101,0.449268293,0.503382046,,0.550354906,0.567265136,0.578538622,0.587933194,Season: summer; Beach Face: 0.066; Transect: E
239279,,1,,UMASS,9/23/2014,mid tide ,41.24035,-70.10081,"Jonathan Woodruff, UMASS",0,,,0.487813454,,MediumSand,0.739908729,Platykurtic,0.559721373,VeryCoarseSkewed,0.762734423,VeryWellSorted,0.318965517,0.357153285,0.387810219,0.42864,0.44464,0.506675824,,0.568489011,0.590761099,0.605983087,0.618668076,Season: summer; Beach Face: 0.066; Transect: E
239280,,1,,UMASS,9/22/2014,berm crest,41.2404,-70.10081,"Jonathan Woodruff, UMASS",0,,,0.371102393,,MediumSand,0.749494251,Platykurtic,0.575959878,VeryCoarseSkewed,0.795666109,VeryWellSorted,0.255294118,0.284705882,0.308292683,0.330243902,0.342439024,0.380333333,,0.423866667,0.435866667,0.443866667,0.450533333,Season: summer; Beach Face: 0.066; Transect: E
239281,,1,,UMASS,3/16/2015,high tide,41.24042,-70.10079,"Jonathan Woodruff, UMASS",0,,,0.524050052,,CoarseSand,0.750169776,Platykurtic,0.569716876,VeryCoarseSkewed,0.7532324,VeryWellSorted,0.330681818,0.373333333,0.415757576,0.455183246,0.476125654,0.542058824,,0.61389016,0.638604119,0.655080092,0.668810069,Season: winter; Beach Face: 0.058; Transect: E
239282,,1,,UMASS,9/22/2014,storm high tide,41.24057,-70.10083,"Jonathan Woodruff, UMASS",0,,,0.43072287,,MediumSand,0.722490247,Platykurtic,0.552851201,VeryCoarseSkewed,0.780736597,VeryWellSorted,0.291025641,0.320673077,0.349519231,0.378063063,0.393828829,0.444893617,,0.498085106,0.513885714,0.524171429,0.532742857,Season: summer; Beach Face: 0.066; Transect: E
239283,,1,,UMASS,3/16/2015,toe of dune,41.24073,-70.10079,"Jonathan Woodruff, UMASS",0,,,0.40872219,,MediumSand,0.726778236,Platykurtic,0.543927775,VeryCoarseSkewed,0.788186262,VeryWellSorted,0.280612245,0.311567164,0.333955224,0.36175,0.37425,0.423015521,,0.467361419,0.483325942,0.493968958,0.50238806,Season: winter; Beach Face: 0.058; Transect: E
239284,,1,,UMASS,9/23/2014,low tide,41.24078,-70.10511,"Jonathan Woodruff, UMASS",0,,,0.515490375,,CoarseSand,0.770064406,Platykurtic,0.559798886,VeryCoarseSkewed,0.766713629,VeryWellSorted,0.331395349,0.3738,0.4158,0.452463768,0.47178744,0.532750716,,0.596733467,0.618376754,0.632805611,0.644829659,Season: summer; Beach Face: 0.098; Transect: D
239285,,1,,UMASS,9/22/2014,dune,41.24086,-70.10077,"Jonathan Woodruff, UMASS",0,,,0.363118496,,MediumSand,0.748084188,Platykurtic,0.586963711,VeryCoarseSkewed,0.809275667,VeryWellSorted,0.256521739,0.283695652,0.306382979,0.325531915,0.336170213,0.370543478,,0.408586957,0.421736614,0.428683068,0.43447178,Season: summer; Beach Face: 0.066; Transect: E
