,latitude,longitude,d50,Location_Type
5,41.24042,-70.10079,0.542058824,high tide
14,41.24101,-70.10502,0.526303725,high tide
22,41.24142,-70.10792,0.643023256,high tide
32,41.24196,-70.11251,0.522023529,high tide
38,41.24284,-70.11832,0.430776256,high tide
41,41.24297,-70.11827,0.542744063,high tide
47,41.40908,-70.53819,0.676857143,high tide
51,41.40923,-70.53835,0.771962617,high tide
57,41.41094,-70.54164,0.622121212,high tide
60,41.41102,-70.54156,0.679122807,high tide
67,41.41307,-70.54454,0.714440994,high tide
69,41.41309,-70.54447,0.652748092,high tide
72,41.41506,-70.54678,0.73544484,high tide
75,41.41512,-70.54679,0.53833935,high tide
81,41.41783,-70.54802,0.371859649,high tide
86,41.41813,-70.54824,0.530752351,high tide
93,41.42253,-70.55192,0.550679612,high tide
98,41.42263,-70.55192,0.465980066,high tide
102,41.4261,-70.5543,0.320909091,high tide
107,41.4262,-70.55429,0.443490305,high tide
112,41.43113,-70.55582,0.510065789,high tide
117,41.43119,-70.55583,0.502795031,high tide
122,41.43223,-70.55598,0.59213198,high tide
128,41.45201,-70.55336,0.43167756,high tide
130,41.45202,-70.55329,0.545451505,high tide
136,41.45367,-70.55357,0.439489559,high tide
140,41.45375,-70.55345,0.782850242,high tide
145,41.45445,-70.55414,0.437307692,high tide
149,41.45449,-70.5541,1.220054645,high tide
153,41.45535,-70.55465,0.473888889,high tide
157,41.4554,-70.55466,0.530967742,high tide
160,41.45633,-70.55522,0.52412,high tide
161,41.45633,-70.5552,1.268479532,high tide
167,41.54208,-70.61841,0.372783019,high tide
168,41.5421,-70.61847,0.27037037,high tide
174,41.54116,-70.62399,0.307849829,high tide
175,41.54116,-70.62396,0.527692308,high tide
182,41.54145,-70.62233,0.421767956,high tide
183,41.54149,-70.62229,0.326470588,high tide
190,41.54178,-70.6199,0.349299065,high tide
191,41.54179,-70.61993,0.346982759,high tide
204,41.54237,-70.61635,7.057005988,high tide
205,41.54242,-70.61635,0.331349206,high tide
