,latitude,longitude,d50,Location_Type
0,41.24014,-70.10078,0.651904762,low tide
2,41.24029,-70.10081,0.503382046,low tide
8,41.24078,-70.10511,0.532750716,low tide
10,41.24088,-70.10506,0.654583333,low tide
17,41.24116,-70.10791,0.525682927,low tide
18,41.24121,-70.10796,0.748648649,low tide
26,41.24164,-70.1126,0.5809375,low tide
29,41.24181,-70.11253,0.62522673,low tide
34,41.24257,-70.11845,0.566939502,low tide
37,41.2428,-70.11832,0.597515658,low tide
50,41.40914,-70.53813,0.855323944,low tide
53,41.40929,-70.53831,0.561666667,low tide
59,41.411,-70.54158,0.570227273,low tide
62,41.41107,-70.54151,0.636451613,low tide
76,41.41512,-70.54669,1.280793651,low tide
78,41.41517,-70.54672,0.943917526,low tide
83,41.41789,-70.54792,0.763529412,low tide
87,41.4131,-70.54447,1.051630435,low tide
89,41.41312,-70.54442,0.74877193,low tide
91,41.41818,-70.54818,0.805380435,low tide
96,41.42256,-70.55181,0.757488584,low tide
100,41.42267,-70.55184,0.598793103,low tide
104,41.42612,-70.55421,0.827419355,low tide
109,41.42624,-70.5542,0.648709677,low tide
115,41.43116,-70.5557,1.236597222,low tide
119,41.43122,-70.55573,0.760714286,low tide
124,41.43225,-70.55587,1.125966851,low tide
131,41.45203,-70.55327,0.560802676,low tide
133,41.45204,-70.5532,1.370240964,low tide
138,41.4537,-70.5535,0.622555205,low tide
142,41.45378,-70.55338,20.40695853,low tide
148,41.45448,-70.55405,0.53260479,low tide
151,41.45452,-70.55402,33.89444444,low tide
155,41.45537,-70.55458,0.590652174,low tide
159,41.45544,-70.55457,31.29954128,low tide
164,41.45636,-70.55513,0.458702065,low tide
165,41.45638,-70.55506,0.569786096,low tide
170,41.54104,-70.6239,1.180420168,low tide
171,41.54109,-70.62396,0.350985915,low tide
178,41.54135,-70.62227,0.405572519,low tide
179,41.5414,-70.62233,0.952941176,low tide
186,41.54169,-70.61985,1.036292135,low tide
187,41.5417,-70.61989,0.977846154,low tide
195,41.542,-70.61838,0.49483871,low tide
196,41.54202,-70.61847,0.582666667,low tide
200,41.54232,-70.61633,6.785777027,low tide
201,41.54233,-70.6163,0.720881057,low tide
