,latitude,longitude,d50,Location_Type
1,41.24029,-70.10079,0.445735661,mid tide 
3,41.24035,-70.10081,0.506675824,mid tide 
11,41.2409,-70.10508,0.430316742,mid tide 
13,41.24095,-70.10504,0.507218045,mid tide 
19,41.24123,-70.10793,0.396456456,mid tide 
20,41.2413,-70.10794,0.5601875,mid tide 
27,41.24169,-70.11258,0.447220779,mid tide 
31,41.24191,-70.11252,0.549296482,mid tide 
35,41.24262,-70.11843,0.455216285,mid tide 
39,41.24288,-70.1183,0.529511628,mid tide 
48,41.40911,-70.53815,0.52759434,mid tide 
52,41.40925,-70.53833,0.602258065,mid tide 
58,41.41097,-70.54161,0.434841629,mid tide 
61,41.41104,-70.54154,0.761071429,mid tide 
68,41.41309,-70.5445,0.596025105,mid tide 
73,41.41509,-70.54674,0.509402985,mid tide 
77,41.41514,-70.54675,0.67246696,mid tide 
82,41.41785,-70.54797,0.349315068,mid tide 
88,41.4131,-70.54445,0.57373494,mid tide 
90,41.41815,-70.54821,0.550338983,mid tide 
94,41.42255,-70.55186,0.459190283,mid tide 
99,41.42265,-70.55188,0.645588235,mid tide 
103,41.42611,-70.55426,0.417320574,mid tide 
108,41.42622,-70.55424,0.578691099,mid tide 
114,41.43114,-70.55577,0.490289017,mid tide 
118,41.4312,-70.55579,0.619461078,mid tide 
123,41.43224,-70.55591,1.052413793,mid tide 
129,41.45202,-70.55332,0.491272727,mid tide 
132,41.45203,-70.55324,0.96,mid tide 
137,41.45369,-70.55353,0.445239437,mid tide 
141,41.45376,-70.55342,0.812681159,mid tide 
147,41.45447,-70.55408,0.478613861,mid tide 
150,41.4545,-70.55407,0.804025157,mid tide 
154,41.45536,-70.55461,0.461498559,mid tide 
158,41.45542,-70.55461,0.929448819,mid tide 
162,41.45635,-70.55516,0.460373832,mid tide 
163,41.45635,-70.55513,32.64361702,mid tide 
166,41.54205,-70.6184,0.283657588,mid tide 
172,41.54112,-70.62394,0.327892562,mid tide 
173,41.54113,-70.62398,0.311842105,mid tide 
180,41.54143,-70.62233,0.296621622,mid tide 
181,41.54143,-70.62228,0.335863874,mid tide 
188,41.54174,-70.61991,0.42754717,mid tide 
189,41.54174,-70.61987,0.35,mid tide 
197,41.54205,-70.61848,0.338186813,mid tide 
202,41.54235,-70.61634,6.033092105,mid tide 
203,41.54237,-70.61632,0.289179104,mid tide 
