ID,Sample_ID,Sample_Type_Code,Project,dataset,Date,Location_Type,latitude,longitude,Contact,num_orig_dists,Measured_Distributions,Grainsize,Mean,Median,Wentworth,Kurtosis,Kurtosis_Class,Skewness,Skewness_Class,Std,Sorting,d5,d10,d16,d25,d30,d50,d65,d75,d84,d90,d95,Notes
876,SPIbeach5,1,"SandSnap, image taken by: ",sandsnap,11/8/2021,Beach?Y,26.12871,-97.16718,"Sandsnap, USACE",8,"d10,d16,d25,d50,d65,d75,d84,d90",,0.795193098,,CoarseSand,0.545201308,VeryPlatykurtic,1.198463887,,0.643317552,VeryWellSorted,0.479055608,0.518420064,0.565657411,0.624975826,0.657068444,0.785438915,0.889341647,1.016926919,1.131753664,1.276941584,1.397931517,
878,SPI6,1,"SandSnap, image taken by: ",sandsnap,11/8/2021,Beach?Y,26.12899,-97.16713,"Sandsnap, USACE",8,"d10,d16,d25,d50,d65,d75,d84,d90",,0.795193098,,CoarseSand,0.545201308,VeryPlatykurtic,1.198463887,,0.643317552,VeryWellSorted,0.479055608,0.518420064,0.565657411,0.624975826,0.657068444,0.785438915,0.889341647,1.016926919,1.131753664,1.276941584,1.397931517,
877,SPI6,1,"SandSnap, image taken by: ",sandsnap,11/8/2021,Beach?Y,26.12899,-97.16713,"Sandsnap, USACE",8,"d10,d16,d25,d50,d65,d75,d84,d90",,0.795193098,,CoarseSand,0.545201308,VeryPlatykurtic,1.198463887,,0.643317552,VeryWellSorted,0.479055608,0.518420064,0.565657411,0.624975826,0.657068444,0.785438915,0.889341647,1.016926919,1.131753664,1.276941584,1.397931517,
1429,SPIbeach4,1,"SandSnap, image taken by: ",sandsnap,11/8/2021,Beach?Y,26.16883,-97.17248,"Sandsnap, USACE",8,"d10,d16,d25,d50,d65,d75,d84,d90",,0.795193098,,CoarseSand,0.545201308,VeryPlatykurtic,1.198463887,,0.643317552,VeryWellSorted,0.479055608,0.518420064,0.565657411,0.624975826,0.657068444,0.785438915,0.889341647,1.016926919,1.131753664,1.276941584,1.397931517,
1430,SPIbeach3,1,"SandSnap, image taken by: ",sandsnap,11/8/2021,Beach?Y,26.16885,-97.17284,"Sandsnap, USACE",8,"d10,d16,d25,d50,d65,d75,d84,d90",,0.795193098,,CoarseSand,0.545201308,VeryPlatykurtic,1.198463887,,0.643317552,VeryWellSorted,0.479055608,0.518420064,0.565657411,0.624975826,0.657068444,0.785438915,0.889341647,1.016926919,1.131753664,1.276941584,1.397931517,
7517,MustangW,1,"SandSnap, image taken by: rose.dopsovic",sandsnap,6/11/2021,Beach?Y,27.64188,-97.18734,"Sandsnap, USACE",8,"d10,d16,d25,d50,d65,d75,d84,d90",,0.514421602,,CoarseSand,0.545671714,VeryPlatykurtic,1.205009535,,0.644532492,VeryWellSorted,0.31043664,0.336060247,0.366808575,0.404900417,0.425443975,0.507618207,0.574679715,0.657009847,0.731106966,0.82459981,0.902510512,
7518,MustangD,1,"SandSnap, image taken by: rose.dopsovic",sandsnap,6/11/2021,Beach?Y,27.64246,-97.18724,"Sandsnap, USACE",8,"d10,d16,d25,d50,d65,d75,d84,d90",,0.530969045,,CoarseSand,0.545671714,VeryPlatykurtic,1.205009535,,0.644532492,VeryWellSorted,0.320422481,0.346870325,0.378607737,0.417924883,0.439129267,0.523946804,0.593165486,0.678143938,0.754624545,0.851124781,0.931541644,
7519,5_MustangIsland_Dry,1,"Brian McFall/David Young, August 20 2021",sandsnap,4/2/2021,Beach?Y,27.64272,-97.18775,"Sandsnap, USACE",8,"d10,d16,d25,d50,d65,d75,d84,d90",,0.18234253,,FineSand,0.610105636,VeryPlatykurtic,0.616672837,VeryCoarseSkewed,0.860118684,VeryWellSorted,0.149833333,0.154,0.159,0.168,0.1716,0.186,0.194,0.199789474,0.205,0.209,0.212333333,Coin: dime;
7550,5_MustangIsland_Wet,1,"Brian McFall/David Young, August 20 2021",sandsnap,4/2/2021,Beach?Y,27.64272,-97.18775,"Sandsnap, USACE",8,"d10,d16,d25,d50,d65,d75,d84,d90",,0.186364203,,FineSand,0.601730155,VeryPlatykurtic,0.864255434,VeryCoarseSkewed,0.837254553,VeryWellSorted,0.150166667,0.156,0.163,0.174,0.1772,0.19,0.198,0.203789474,0.209,0.225,0.238333333,Coin: dime;
70675,ID: [AE711] ACAD87-1_ID4-2;SampleID: [AE711] ACAD87-1_ID4-2;GrabID: [AE711] ACAD87-1_ID4-2,1,,BOEM,5/1/1987,,29.04167,-90.66618,ContactID: nan;ContactName: JWILLIAMS,1,d50,,0.148657023,,FineSand,8.69E-15,VeryPlatykurtic,0.030187797,Symmetrical,0.697377274,VeryWellSorted,,,,,,0.159326413,,,,,,Equipment: HAND SAMPLE;Comments_1: nan;Comments_2: nan;Sediment Description: nan;AnalysisDate: 7/15/1987 0:00:00;AnalysisDate: 7/15/1987 0:00:00;TopInterval: nan;BottomInterval: nan;SandUnitThickness: nan;PctGravel: nan;PctSand: 99.19999695000001;PctClay: 0.30000001;PctSilt: 0.60000002;PctFines: 0.90000003;PctPanFraction: nan;PctCarbonate: nan;PctCarbonateSand: nan;PctShellFragments: nan;PctHeavyMinerals: nan;PctOrganics: nan;CarbonateDissolved: nan;HeavyMineralsDissolved: nan;OrganicsRemoved: nan;ShellFragmentsRemoved: nan;Sphericity: nan;SpherDesc: nan;Roundness: nan;RoundDesc: nan;Porosity: nan;OilPresent: nan
70693,ID: [AE706] ACAD87-1_ID2-1;SampleID: [AE706] ACAD87-1_ID2-1;GrabID: [AE706] ACAD87-1_ID2-1,1,,BOEM,5/1/1987,,29.04167,-90.64217,ContactID: nan;ContactName: JWILLIAMS,1,d50,,0.147630196,,FineSand,680.1911002,ExtremelyLeptokurtic,0.057515283,Symmetrical,0.73204779,VeryWellSorted,,,,,,0.157132966,,,,,,Equipment: HAND SAMPLE;Comments_1: nan;Comments_2: nan;Sediment Description: nan;AnalysisDate: 7/15/1987 0:00:00;AnalysisDate: 7/15/1987 0:00:00;TopInterval: nan;BottomInterval: nan;SandUnitThickness: nan;PctGravel: nan;PctSand: 99.19999695000001;PctClay: 0.1;PctSilt: 0.69999999;PctFines: 0.79999999;PctPanFraction: nan;PctCarbonate: nan;PctCarbonateSand: nan;PctShellFragments: nan;PctHeavyMinerals: nan;PctOrganics: nan;CarbonateDissolved: nan;HeavyMineralsDissolved: nan;OrganicsRemoved: nan;ShellFragmentsRemoved: nan;Sphericity: nan;SpherDesc: nan;Roundness: nan;RoundDesc: nan;Porosity: nan;OilPresent: nan
70825,ID: [AE707] ACAD87-1_ID2-2;SampleID: [AE707] ACAD87-1_ID2-2;GrabID: [AE707] ACAD87-1_ID2-2,1,,BOEM,5/1/1987,,29.04167,-90.64217,ContactID: nan;ContactName: JWILLIAMS,1,d50,,0.161550478,,FineSand,2570360151,ExtremelyLeptokurtic,0.00161999,Symmetrical,0.773786792,VeryWellSorted,,,,,,0.168410691,,,,,,Equipment: HAND SAMPLE;Comments_1: nan;Comments_2: nan;Sediment Description: nan;AnalysisDate: 7/15/1987 0:00:00;AnalysisDate: 7/15/1987 0:00:00;TopInterval: nan;BottomInterval: nan;SandUnitThickness: nan;PctGravel: nan;PctSand: 99.59999847;PctClay: 0.1;PctSilt: 0.30000001;PctFines: 0.40000001;PctPanFraction: nan;PctCarbonate: nan;PctCarbonateSand: nan;PctShellFragments: nan;PctHeavyMinerals: nan;PctOrganics: nan;CarbonateDissolved: nan;HeavyMineralsDissolved: nan;OrganicsRemoved: nan;ShellFragmentsRemoved: nan;Sphericity: nan;SpherDesc: nan;Roundness: nan;RoundDesc: nan;Porosity: nan;OilPresent: nan
