Lat,Lon,Dep,Ele,Type,eMean,gMean,gMed,dataset,SITE,Mean,Grain_Size
34.47088,-120.22726,0,BF,B,0.225,0.2405,0.236,Barnard_Santa_Barbara,,,0.225
34.46264,-120.07158,0,BF,E,0.2967,,,Barnard_Santa_Barbara,,,0.2967
34.46245,-120.06668,0,BF,E,0.1988,,,Barnard_Santa_Barbara,,,0.1988
34.46083,-120.02948,0,BF,E,0.2708,,,Barnard_Santa_Barbara,,,0.2708
34.45901,-120.0212,0,BF,E,0.3691,,,Barnard_Santa_Barbara,,,0.3691
34.46079,-120.00835,0,BF,B,0.2248,0.1964,0.1931,Barnard_Santa_Barbara,,,0.2248
34.45653,-119.9995,0,BF,E,0.2661,,,Barnard_Santa_Barbara,,,0.2661
34.45016,-119.99054,0,BF,E,0.2785,,,Barnard_Santa_Barbara,,,0.2785
34.44465,-119.97148,0,BF,E,0.2568,,,Barnard_Santa_Barbara,,,0.2568
34.4412,-119.96503,0,BF,E,0.3641,,,Barnard_Santa_Barbara,,,0.3641
34.43529,-119.95495,0,BF,E,0.2871,,,Barnard_Santa_Barbara,,,0.2871
34.43537,-119.94251,0,BF,E,0.2221,,,Barnard_Santa_Barbara,,,0.2221
34.43531,-119.93288,0,BF,E,0.1574,,,Barnard_Santa_Barbara,,,0.1574
34.43177,-119.9184,0,BF,E,0.247,,,Barnard_Santa_Barbara,,,0.247
34.42761,-119.91105,0,BF,B,0.2172,0.1943,0.1872,Barnard_Santa_Barbara,,,0.2172
34.42189,-119.9022,0,BF,E,0.2032,,,Barnard_Santa_Barbara,,,0.2032
34.41938,-119.89113,0,BF,E,0.2269,,,Barnard_Santa_Barbara,,,0.2269
34.41225,-119.88411,0,BF,E,0.2493,,,Barnard_Santa_Barbara,,,0.2493
34.40859,-119.87558,0,BF,E,0.2405,,,Barnard_Santa_Barbara,,,0.2405
34.40936,-119.86249,0,BF,E,0.2527,,,Barnard_Santa_Barbara,,,0.2527
34.40771,-119.85208,0,BF,E,0.2096,,,Barnard_Santa_Barbara,,,0.2096
34.41047,-119.84152,0,BF,E,0.292,,,Barnard_Santa_Barbara,,,0.292
34.41647,-119.83084,0,BF,E,0.3174,,,Barnard_Santa_Barbara,,,0.3174
34.41712,-119.82249,0,BF,E,0.4231,,,Barnard_Santa_Barbara,,,0.4231
34.4179,-119.8,0,BF,B,0.1692,0.141,0.1438,Barnard_Santa_Barbara,,,0.1692
34.4168,-119.788,0,BF,E,0.2483,,,Barnard_Santa_Barbara,,,0.2483
34.4135,-119.778,0,BF,E,0.2807,,,Barnard_Santa_Barbara,,,0.2807
34.4098,-119.768,0,BF,E,0.2921,,,Barnard_Santa_Barbara,,,0.2921
34.4062,-119.758,0,BF,E,0.2778,,,Barnard_Santa_Barbara,,,0.2778
34.40346,-119.74721,0,BF,E,0.26,,,Barnard_Santa_Barbara,,,0.26
34.39999,-119.73776,0,BF,E,0.2271,,,Barnard_Santa_Barbara,,,0.2271
34.39675,-119.73046,0,BF,E,0.2162,,,Barnard_Santa_Barbara,,,0.2162
34.39584,-119.70799,0,BF,E,0.2324,,,Barnard_Santa_Barbara,,,0.2324
34.39837,-119.70231,0,BF,B,0.2183,0.2699,0.2602,Barnard_Santa_Barbara,,,0.2183
34.40254,-119.69552,0,BF,E,0.2575,,,Barnard_Santa_Barbara,,,0.2575
34.41016,-119.68905,0,BF,E,0.2545,,,Barnard_Santa_Barbara,,,0.2545
34.41432,-119.68025,0,BF,E,0.2229,,,Barnard_Santa_Barbara,,,0.2229
34.41595,-119.66995,0,BF,E,0.2467,,,Barnard_Santa_Barbara,,,0.2467
34.41698,-119.65844,0,BF,E,0.2403,,,Barnard_Santa_Barbara,,,0.2403
34.41726,-119.64718,0,BF,E,0.2217,,,Barnard_Santa_Barbara,,,0.2217
34.41629,-119.63595,0,BF,E,0.2746,,,Barnard_Santa_Barbara,,,0.2746
34.41887,-119.62498,0,BF,E,0.2027,,,Barnard_Santa_Barbara,,,0.2027
34.42095,-119.61541,0,BF,E,0.1575,,,Barnard_Santa_Barbara,,,0.1575
34.41963,-119.60283,0,BF,B,0.2463,0.2177,0.2142,Barnard_Santa_Barbara,,,0.2463
34.41758,-119.59187,0,BF,E,0.2116,,,Barnard_Santa_Barbara,,,0.2116
34.41372,-119.58161,0,BF,E,0.1983,,,Barnard_Santa_Barbara,,,0.1983
34.4149,-119.56602,0,BF,E,0.2645,,,Barnard_Santa_Barbara,,,0.2645
34.41307,-119.55904,0,BF,E,0.1535,,,Barnard_Santa_Barbara,,,0.1535
34.40795,-119.55146,0,BF,E,0.2391,,,Barnard_Santa_Barbara,,,0.2391
34.314,-119.363,0,BF,E,0.2417,,,Barnard_Santa_Barbara,,,0.2417
34.39613,-119.53439,0,BF,E,0.3068,,,Barnard_Santa_Barbara,,,0.3068
34.39247,-119.52412,0,BF,E,0.2581,,,Barnard_Santa_Barbara,,,0.2581
34.38714,-119.51315,0,BF,E,0.275,,,Barnard_Santa_Barbara,,,0.275
34.38518,-119.50318,0,BF,B,0.1848,0.2112,0.2075,Barnard_Santa_Barbara,,,0.1848
34.38183,-119.48836,0,BF,E,0.2713,,,Barnard_Santa_Barbara,,,0.2713
34.37726,-119.48154,0,BF,E,0.2402,,,Barnard_Santa_Barbara,,,0.2402
34.37527,-119.47334,0,BF,E,0.321,,,Barnard_Santa_Barbara,,,0.321
34.37029,-119.45634,0,BF,E,0.25,,,Barnard_Santa_Barbara,,,0.25
34.36263,-119.44888,0,BF,E,0.2997,,,Barnard_Santa_Barbara,,,0.2997
34.35574,-119.4396,0,BF,E,0.2814,,,Barnard_Santa_Barbara,,,0.2814
34.35312,-119.42918,0,BF,E,0.2607,,,Barnard_Santa_Barbara,,,0.2607
34.34958,-119.42507,0,BF,E,0.2452,,,Barnard_Santa_Barbara,,,0.2452
