,Ele,dataset,Grain_Size,Hs,Tp,Ta,Dp,Da,Ea,Es,geometry,Lon,Lat,Beach face slope,index_right,MEAN_SIG_WAVEHEIGHT,TIDAL_RANGE,ERODIBILITY,CHLOROPHYLL,TURBIDITY,REGIONAL_SINUOSITY,OUTFLOW_DENSITY_RESCALED
0,MB,SC_Beach,0.266108674,0.6538082631661094,12.969021750107022,6.893015694479124,221.56709361621867,229.80555288106737,0.1297265504816812,2.5952426468748557,POINT (-117.8413409 33.5753632),-117.84034034081772,33.57605323066716,0.07,649,0.825399,2.485209,Medium,2.490266,0.0492,1.430946,9.3116692910302e-05
1,BF,SC_Beach,0.233241614,0.6538082631661094,12.969021750107022,6.893015694479124,221.56709361621867,229.80555288106737,0.1297265504816812,2.5952426468748557,POINT (-117.8413409 33.5753632),-117.84034034081772,33.57605323066716,0.07,649,0.825399,2.485209,Medium,2.490266,0.0492,1.430946,9.3116692910302e-05
2,MB,SC_Beach,0.288942125,0.6538082631661094,12.969021750107022,6.893015694479124,221.56709361621867,229.80555288106737,0.1297265504816812,2.5952426468748557,POINT (-117.8413409 33.5753632),-117.84034034081772,33.57605323066716,0.07,649,0.825399,2.485209,Medium,2.490266,0.0492,1.430946,9.3116692910302e-05
3,BF,SC_Beach,0.255909802,0.6538082631661094,12.969021750107022,6.893015694479124,221.56709361621867,229.80555288106737,0.1297265504816812,2.5952426468748557,POINT (-117.8413409 33.5753632),-117.84034034081772,33.57605323066716,0.07,649,0.825399,2.485209,Medium,2.490266,0.0492,1.430946,9.3116692910302e-05
4,MB,SC_Beach,0.291111853,0.6538082631661094,12.969021750107022,6.893015694479124,221.56709361621867,229.80555288106737,0.1297265504816812,2.5952426468748557,POINT (-117.8413409 33.5753632),-117.84034034081772,33.57605323066716,0.07,649,0.825399,2.485209,Medium,2.490266,0.0492,1.430946,9.3116692910302e-05
5,BF,SC_Beach,0.24486598,0.6538082631661094,12.969021750107022,6.893015694479124,221.56709361621867,229.80555288106737,0.1297265504816812,2.5952426468748557,POINT (-117.8413409 33.5753632),-117.84034034081772,33.57605323066716,0.07,649,0.825399,2.485209,Medium,2.490266,0.0492,1.430946,9.3116692910302e-05
12,MB,SC_Beach,0.251052047,0.4718788719001896,13.503772172553493,6.7597573441020815,190.16311097107965,198.50785561911377,0.07182679326161871,1.4370817834439393,POINT (-120.2148716 34.4716558),-120.23901844387711,34.47024690057668,0.125,1586,1.595954,2.44302,Medium,1.387715,0.0586,1.04449,5.662221553096118e-06
13,BF,SC_Beach,0.221015005,0.4718788719001896,13.503772172553493,6.7597573441020815,190.16311097107965,198.50785561911377,0.07182679326161871,1.4370817834439393,POINT (-120.2148716 34.4716558),-120.23901844387711,34.47024690057668,0.125,1586,1.595954,2.44302,Medium,1.387715,0.0586,1.04449,5.662221553096118e-06
14,MB,SC_Beach,0.278718558,0.4718788719001896,13.503772172553493,6.7597573441020815,190.16311097107965,198.50785561911377,0.07182679326161871,1.4370817834439393,POINT (-120.2148716 34.4716558),-120.23901844387711,34.47024690057668,0.125,1586,1.595954,2.44302,Medium,1.387715,0.0586,1.04449,5.662221553096118e-06
15,BF,SC_Beach,0.220282698,0.4718788719001896,13.503772172553493,6.7597573441020815,190.16311097107965,198.50785561911377,0.07182679326161871,1.4370817834439393,POINT (-120.2148716 34.4716558),-120.23901844387711,34.47024690057668,0.125,1586,1.595954,2.44302,Medium,1.387715,0.0586,1.04449,5.662221553096118e-06
16,MB,SC_Beach,0.24544543,0.4718788719001896,13.503772172553493,6.7597573441020815,190.16311097107965,198.50785561911377,0.07182679326161871,1.4370817834439393,POINT (-120.2148716 34.4716558),-120.23901844387711,34.47024690057668,0.125,1586,1.595954,2.44302,Medium,1.387715,0.0586,1.04449,5.662221553096118e-06
17,BF,SC_Beach,0.262320596,0.4718788719001896,13.503772172553493,6.7597573441020815,190.16311097107965,198.50785561911377,0.07182679326161871,1.4370817834439393,POINT (-120.2148716 34.4716558),-120.23901844387711,34.47024690057668,0.125,1586,1.595954,2.44302,Medium,1.387715,0.0586,1.04449,5.662221553096118e-06
18,MB,SC_Beach,0.245811433,0.4255127632702166,12.522129688461108,8.432951475183105,206.05423076983735,206.6090062757501,0.05950923873778737,1.1902915068111033,POINT (-119.8562131 34.4115125),-119.85160531244104,34.40953216000086,0.07,1482,1.229692,2.452912,Medium,1.160437,0.0574,1.237038,7.719963797474846e-05
19,BF,SC_Beach,0.274313953,0.4255127632702166,12.522129688461108,8.432951475183105,206.05423076983735,206.6090062757501,0.05950923873778737,1.1902915068111033,POINT (-119.8562131 34.4115125),-119.85160531244104,34.40953216000086,0.07,1482,1.229692,2.452912,Medium,1.160437,0.0574,1.237038,7.719963797474846e-05
20,MB,SC_Beach,0.301687781,0.4255127632702166,12.522129688461108,8.432951475183105,206.05423076983735,206.6090062757501,0.05950923873778737,1.1902915068111033,POINT (-119.8562131 34.4115125),-119.85160531244104,34.40953216000086,0.07,1482,1.229692,2.452912,Medium,1.160437,0.0574,1.237038,7.719963797474846e-05
21,BF,SC_Beach,0.301737955,0.4255127632702166,12.522129688461108,8.432951475183105,206.05423076983735,206.6090062757501,0.05950923873778737,1.1902915068111033,POINT (-119.8562131 34.4115125),-119.85160531244104,34.40953216000086,0.07,1482,1.229692,2.452912,Medium,1.160437,0.0574,1.237038,7.719963797474846e-05
22,MB,SC_Beach,0.273783065,0.4255127632702166,12.522129688461108,8.432951475183105,206.05423076983735,206.6090062757501,0.05950923873778737,1.1902915068111033,POINT (-119.8562131 34.4115125),-119.85160531244104,34.40953216000086,0.07,1482,1.229692,2.452912,Medium,1.160437,0.0574,1.237038,7.719963797474846e-05
