,PROJECT,SITE CODE,SITE,Year,Month,Month #,Day,DATE,TRANSECT,LEVEL,-2.5,-2,-1.5,-1,-0.5,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,BOTTOM PAN,TOTAL,d5,d10,d16,d25,d30,d50,d75,d84,d90,d95,Mean,Std,Skewness,Kurtosis,contact
0,SC_Beach,CRY,"CRYSTAL COVE, California",2011,September,9,29,29-Sep-11,A,HTS,0,0,0,0,0,0,0.084,1.231,15.605,40.346,33.251,3.481,1.408,0.057,0.006,0.0074,95.4764,0.460717106,0.412295744,0.360859605,0.329854294,1.662097854,0.266108674,0.207816252,0.189208531,0.177738503,0.097682828,0.262893191,1.731822658,2.027017839,0.522365432,Karina Nielsen
1,SC_Beach,CRY,"CRYSTAL COVE, California",2011,September,9,29,29-Sep-11,A,WTO,0,0,0,0,0,0.0312,0.1861,1.1575,8.8183,30.1256,48.3348,5.5067,0.4803,0.0192,0.0103,0.003,94.673,0.433611905,0.356254725,0.330714084,0.298186119,1.828738681,0.233241614,0.19496538,0.182781412,0.162419483,0.044197158,0.241581451,2.052612077,3.685320446,0.490219066,Karina Nielsen
2,SC_Beach,CRY,"CRYSTAL COVE, California",2011,September,9,29,29-Sep-11,B,HTS,0,0,0,0,0.0242,0.2036,2.4487,8.894,21.0621,29.8218,18.7111,1.7487,0.3686,0.0147,0.0025,0.0252,83.3252,0.6459041,0.531561894,0.464860771,0.400874153,1.437503858,0.288942125,0.198169342,0.044197158,0.044197158,0.044197158,0.181068415,3.52107734,4.148708642,0.49849565,Karina Nielsen
3,SC_Beach,CRY,"CRYSTAL COVE, California",2011,September,9,29,29-Sep-11,B,WTO,0,0,0,0,0.0166,0.1243,1.0818,2.8731,9.6859,38.8329,41.1636,4.1558,0.5094,0.0189,0.0069,0.0006,98.4698,0.484089786,0.404789844,0.34663061,0.319877706,1.708821644,0.255909802,0.207062969,0.191952859,0.182497121,0.15965813,0.257266244,1.529684275,0.807894608,0.65419798,Karina Nielsen
4,SC_Beach,CRY,"CRYSTAL COVE, California",2011,September,9,29,29-Sep-11,C,HTS,0,0,0,0,0,0.041,0.438,3.191,20.42,46.203,25.375,2.573,1.386,0.0167,0.003,0.0131,99.6598,0.488847452,0.449075493,0.405596832,0.351156206,1.563956886,0.291111853,0.234440956,0.207324205,0.191012165,0.17840357,0.290358683,1.521610828,0.963134864,0.610050346,Karina Nielsen
5,SC_Beach,CRY,"CRYSTAL COVE, California",2011,September,9,29,29-Sep-11,C,WTO,0,0,0,0.0146,0.1293,0.825,2.7605,3.8484,9.8076,29.6898,48.7797,7.5054,0.6995,0.0257,0.0087,0.001,104.0952,0.630659329,0.458991216,0.371300674,0.323491404,1.712439963,0.24486598,0.205017031,0.192318062,0.184292148,0.177860344,0.259552224,1.617541157,0.547762006,0.867234512,Karina Nielsen
6,SC_Beach,EUC,"EAST CAMPUS, California",2011,September,9,26,26-Sep-11,A,HTS,0,0,0,0,0.0026,0.0055,0.0202,0.1121,3.6672,24.4795,52.0413,14.9236,1.7057,0.0372,0.022,0.0111,97.028,0.347642874,0.323885068,0.297508954,0.261917015,2.016457122,0.216349487,0.183168961,0.162334727,0.141220754,0.125739319,0.21861961,1.500333162,1.099598313,0.567973981,Karina Nielsen
7,SC_Beach,EUC,"EAST CAMPUS, California",2011,September,9,26,26-Sep-11,A,WTO,0,0,0,0.0535,0.093,0.2124,0.7726,2.8018,10.634,21.7806,46.9119,17.0121,1.7979,0.0501,0.0028,0.0023,102.125,0.482923833,0.41030757,0.345592501,0.299482252,1.854276283,0.226022544,0.187906573,0.174137579,0.154102078,0.139178395,0.238709402,1.619924059,0.665905856,0.665377726,Karina Nielsen
8,SC_Beach,EUC,"EAST CAMPUS, California",2011,September,9,26,26-Sep-11,B,HTS,0,0,0,0,0.0017,0.0059,0.0171,0.1572,2.9128,20.9611,52.0656,17.5324,1.033,0.0057,0.0202,0.0027,94.7154,0.342597132,0.315414089,0.285626125,0.248441154,2.057083756,0.210355221,0.178107847,0.151288278,0.134368237,0.044197158,0.208698263,1.955894871,5.404457434,0.486115833,Karina Nielsen
9,SC_Beach,EUC,"EAST CAMPUS, California",2011,September,9,26,26-Sep-11,B,WTO,0,0,0,0.0889,0.2105,0.4477,1.1165,3.2106,11.7589,25.844,47.9475,14.5606,1.4165,0.0405,0,0.0066,106.6488,0.504028378,0.432441329,0.362350033,0.31688518,1.754738044,0.237118678,0.197919415,0.185454146,0.177583241,0.159299035,0.251638375,1.57682465,0.596332324,0.686390519,Karina Nielsen
