Sid,Sur,Yr,Sea,Tran,Lat,Lon,Dep,Ele,Type,eMean,gMean,gMed
1,K,,,24,34.47088,-120.22726,0,BF,B,0.225,0.2405,0.236
2,K,,,38,34.46264,-120.07158,0,BF,E,0.2967,,
3,K,,,39,34.46245,-120.06668,0,BF,E,0.1988,,
4,K,,,42,34.46083,-120.02948,0,BF,E,0.2708,,
5,K,,,43,34.45901,-120.0212,0,BF,E,0.3691,,
6,K,,,44,34.46079,-120.00835,0,BF,B,0.2248,0.1964,0.1931
7,K,,,45,34.45653,-119.9995,0,BF,E,0.2661,,
8,K,,,46,34.45016,-119.99054,0,BF,E,0.2785,,
9,K,,,48,34.44465,-119.97148,0,BF,E,0.2568,,
10,K,,,49,34.4412,-119.96503,0,BF,E,0.3641,,
11,K,,,50,34.43529,-119.95495,0,BF,E,0.2871,,
12,K,,,51,34.43537,-119.94251,0,BF,E,0.2221,,
13,K,,,52,34.43531,-119.93288,0,BF,E,0.1574,,
14,K,,,53,34.43177,-119.9184,0,BF,E,0.247,,
15,K,,,54,34.42761,-119.91105,0,BF,B,0.2172,0.1943,0.1872
16,K,,,55,34.42189,-119.9022,0,BF,E,0.2032,,
17,K,,,56,34.41938,-119.89113,0,BF,E,0.2269,,
18,K,,,57,34.41225,-119.88411,0,BF,E,0.2493,,
19,K,,,58,34.40859,-119.87558,0,BF,E,0.2405,,
20,K,,,59,34.40936,-119.86249,0,BF,E,0.2527,,
21,K,,,60,34.40771,-119.85208,0,BF,E,0.2096,,
22,K,,,61,34.41047,-119.84152,0,BF,E,0.292,,
23,K,,,62,34.41647,-119.83084,0,BF,E,0.3174,,
24,K,,,63,34.41712,-119.82249,0,BF,E,0.4231,,
25,K,,,65,34.4179,-119.8,0,BF,B,0.1692,0.141,0.1438
26,K,,,66,34.4168,-119.788,0,BF,E,0.2483,,
27,K,,,67,34.4135,-119.778,0,BF,E,0.2807,,
28,K,,,68,34.4098,-119.768,0,BF,E,0.2921,,
29,K,,,69,34.4062,-119.758,0,BF,E,0.2778,,
30,K,,,70,34.40346,-119.74721,0,BF,E,0.26,,
31,K,,,71,34.39999,-119.73776,0,BF,E,0.2271,,
32,K,,,72,34.39675,-119.73046,0,BF,E,0.2162,,
33,K,,,73,34.39584,-119.70799,0,BF,E,0.2324,,
34,K,,,74,34.39837,-119.70231,0,BF,B,0.2183,0.2699,0.2602
35,K,,,75,34.40254,-119.69552,0,BF,E,0.2575,,
36,K,,,76,34.41016,-119.68905,0,BF,E,0.2545,,
37,K,,,77,34.41432,-119.68025,0,BF,E,0.2229,,
38,K,,,78,34.41595,-119.66995,0,BF,E,0.2467,,
39,K,,,79,34.41698,-119.65844,0,BF,E,0.2403,,
40,K,,,80,34.41726,-119.64718,0,BF,E,0.2217,,
41,K,,,81,34.41629,-119.63595,0,BF,E,0.2746,,
42,K,,,82,34.41887,-119.62498,0,BF,E,0.2027,,
43,K,,,83,34.42095,-119.61541,0,BF,E,0.1575,,
44,K,,,84,34.41963,-119.60283,0,BF,B,0.2463,0.2177,0.2142
45,K,,,85,34.41758,-119.59187,0,BF,E,0.2116,,
46,K,,,86,34.41372,-119.58161,0,BF,E,0.1983,,
47,K,,,87,34.4149,-119.56602,0,BF,E,0.2645,,
48,K,,,88,34.41307,-119.55904,0,BF,E,0.1535,,
49,K,,,89,34.40795,-119.55146,0,BF,E,0.2391,,
50,K,,,90,34.314,-119.363,0,BF,E,0.2417,,
51,K,,,91,34.39613,-119.53439,0,BF,E,0.3068,,
52,K,,,92,34.39247,-119.52412,0,BF,E,0.2581,,
53,K,,,93,34.38714,-119.51315,0,BF,E,0.275,,
54,K,,,94,34.38518,-119.50318,0,BF,B,0.1848,0.2112,0.2075
55,K,,,95,34.38183,-119.48836,0,BF,E,0.2713,,
56,K,,,96,34.37726,-119.48154,0,BF,E,0.2402,,
57,K,,,97,34.37527,-119.47334,0,BF,E,0.321,,
58,K,,,99,34.37029,-119.45634,0,BF,E,0.25,,
59,K,,,100,34.36263,-119.44888,0,BF,E,0.2997,,
60,K,,,101,34.35574,-119.4396,0,BF,E,0.2814,,
61,K,,,102,34.35312,-119.42918,0,BF,E,0.2607,,
62,K,,,103,34.34958,-119.42507,0,BF,E,0.2452,,
63,K,,,104,34.33748,-119.41106,0,BF,B,0.3494,0.202,0.1993
64,K,,,105,34.33392,-119.40495,0,BF,E,0.1709,,
65,K,,,106,34.32853,-119.39887,0,BF,E,0.3191,,
66,K,,,107,34.31951,-119.39165,0,BF,E,0.3381,,
67,K,,,108,34.32094,-119.3767,0,BF,E,0.2808,,
68,K,,,109,34.3195,-119.36983,0,BF,E,0.2076,,
69,K,,,111,34.30828,-119.35439,0,BF,E,0.3116,,
70,K,,,112,34.30207,-119.34703,0,BF,E,0.2851,,
71,K,,,113,34.296,-119.34201,0,BF,E,0.3122,,
72,K,,,114,34.29134,-119.3381,0,BF,B,0.3114,0.2159,0.2119
73,K,,,115,34.28409,-119.32164,0,BF,E,0.2883,,
74,K,,,116,34.27864,-119.31549,0,BF,E,0.3304,,
75,K,,,117,34.27312,-119.30472,0,BF,E,0.3276,,
76,K,,,118,34.2752,-119.2928,0,BF,E,0.1684,,
77,K,,,119,34.2701,-119.282,0,BF,E,0.272,,
78,K,,,120,34.2657,-119.2779,0,BF,E,0.2534,,
79,K,,,121,34.2545,-119.2707,0,BF,E,0.324,,
80,K,,,122,34.244,-119.2681,0,BF,E,0.2145,,
81,K,,,123,34.2382,-119.2677,0,BF,E,0.3522,,
82,K,,,124,34.2277,-119.2656,0,BF,B,0.3812,0.2684,0.2614
83,K,,,125,34.2203,-119.2619,0,BF,E,0.4015,,
84,K,,,126,34.2138,-119.2586,0,BF,E,0.242,,
85,K,,,127,34.2021,-119.2517,0,BF,E,0.2609,,
86,K,,,128,34.19209,-119.24625,0,BF,E,0.3155,,
87,K,,,129,34.18343,-119.24166,0,BF,E,0.356,,
88,K,,,130,34.1762,-119.23763,0,BF,E,0.2964,,
89,K,,,131,34.16569,-119.23147,0,BF,E,0.3513,,
90,K,,,132,34.1564,-119.22499,0,BF,E,0.1773,,
91,K,,,133,34.1478,-119.2172,0,BF,E,0.5842,,
92,K,,,135,34.14337,-119.19935,0,BF,E,0.212,,
93,K,,,136,34.13923,-119.19108,0,BF,B,0.2552,0.2688,0.261
94,K,,,149,34.08819,-119.06486,0,BF,B,0.3986,0.4271,0.4192
95,K,,,150,34.0856,-119.0551,0,BF,E,0.4206,,
96,K,,,153,34.0756,-119.0226,0,BF,E,0.4363,,
97,K,,,154,34.0698,-119.0127,0,BF,E,0.476,,
98,K,,,158,34.0607,-118.9774,0,BF,E,0.4207,,
99,K,,,160,34.0519,-118.9607,0,BF,E,0.2923,,
100,K,,,162,34.0457,-118.9316,0,BF,E,0.3734,,
101,K,,,164,34.0425,-118.9162,0,BF,E,0.3838,,
102,K,,,166,34.0392,-118.8931,0,BF,E,0.3171,,
103,K,,,167,34.038,-118.8755,0,BF,E,0.3495,,
104,K,,,168,34.0378,-118.8742,0,BF,E,0.2673,,
105,K,,,169,34.0351,-118.8563,0,BF,E,0.2085,,
106,K,,,171,34.028,-118.8409,0,BF,E,0.2369,,
107,K,,,172,34.0219,-118.8324,0,BF,E,0.2767,,
108,K,,,173,34.0163,-118.8247,0,BF,E,0.2719,,
