,Sid,Sur,Yr,Sea,Tran,Lat,Lon,Dep,Ele,Type,eMean,gMean,gMed,dataset,PROJECT ,SITE,Year,DATE,TRANSECT,d95,Mean,Std,Skewness,Kurtosis,Contact,Unnamed: 0.1,Unnamed: 0,Sample_ID,Sample_Type_Code,Project,Date,Location_Type,num_orig_dists,Measured_Distributions,Grainsize,Median,Wentworth,Kurtosis_Class,Skewness_Class,Sorting,d5,d10,d16,d25,d30,d50,d65,d75,d84,d90,Notes,geometry
0,1.0,K,,,24.0,34.47088,-120.22726,0.0,BF,B,0.225,0.2405,0.236,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,K,,,38.0,34.46264,-120.07158,0.0,BF,E,0.2967,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3.0,K,,,39.0,34.46245,-120.06668,0.0,BF,E,0.1988,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4.0,K,,,42.0,34.46083,-120.02948,0.0,BF,E,0.2708,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5.0,K,,,43.0,34.45901,-120.0212,0.0,BF,E,0.3691,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6.0,K,,,44.0,34.46079,-120.00835,0.0,BF,B,0.2248,0.1964,0.1931,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7.0,K,,,45.0,34.45653,-119.9995,0.0,BF,E,0.2661,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8.0,K,,,46.0,34.45016,-119.99054,0.0,BF,E,0.2785,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.0,K,,,48.0,34.44465,-119.97148,0.0,BF,E,0.2568,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10.0,K,,,49.0,34.4412,-119.96503,0.0,BF,E,0.3641,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11.0,K,,,50.0,34.43529,-119.95495,0.0,BF,E,0.2871,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12.0,K,,,51.0,34.43537,-119.94251,0.0,BF,E,0.2221,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13.0,K,,,52.0,34.43531,-119.93288,0.0,BF,E,0.1574,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
